classification,class_id,class_name,class_order,model_id,fit_mode,region,n_galaxies,n_failures,median_loss,mean_loss,median_rms_kms,mean_rms_kms
detailed,5,Sc,5,A_nfw,full,all,14,0,2.2018493357497237,3.8031328303969874,12.011113985003567,11.590375265075542
detailed,5,Sc,5,A_nfw,inner,outer,13,0,4.203525088102142,30.29569460440429,12.96673477077358,14.197221638906514
detailed,5,Sc,5,B_core,full,all,14,0,1.3413237676407452,1.7855443547802845,8.023984326250229,8.195415251007743
detailed,5,Sc,5,B_core,inner,outer,13,0,4.496707119353791,21.403131307984356,12.036224707117448,14.708924410933273
detailed,5,Sc,5,B_nfw,full,all,14,0,1.4301053757874287,1.8376144119921167,6.83586336763913,8.284628230068275
detailed,5,Sc,5,B_nfw,inner,outer,13,0,3.4084328840015217,28.721542424407854,9.762273815754325,12.570882452604403
detailed,5,Sc,5,C_core,full,all,14,0,1.3267379882534707,1.724865903086,8.000563587801294,8.045617993024857
detailed,5,Sc,5,C_core,inner,outer,13,0,4.152602056579311,21.84471819936598,12.56090463129978,15.34158448977043
detailed,5,Sc,5,C_nfw,full,all,14,0,1.4301053757874287,1.8376144119921167,6.83586336763913,8.284628230068275
detailed,5,Sc,5,C_nfw,inner,outer,13,0,3.4084328840015217,28.721542424407854,9.762273815754325,12.570882452604403
detailed,6,Scd,6,A_core,full,all,16,0,2.8001074359663036,11.067156620852868,8.860237128964478,10.021520177377958
detailed,6,Scd,6,A_core,inner,outer,16,0,6.235505215080174,38.79841873003646,14.614559175315286,18.451290041752948
detailed,6,Scd,6,A_nfw,full,all,16,0,2.277857900802171,2.902203368874826,4.178247785869113,5.857587897026301
detailed,6,Scd,6,A_nfw,inner,outer,16,0,1.4263470201048416,3.4551079707877257,5.840154907749714,7.809238890913213
detailed,6,Scd,6,B_core,full,all,16,0,1.313799944050274,3.4575658338173945,5.403837089914497,5.9912021211788655
detailed,6,Scd,6,B_core,inner,outer,16,0,5.925501943738839,23.02008517879502,10.875580687376669,14.522718754973281
detailed,6,Scd,6,B_nfw,full,all,16,0,1.5309598068039074,2.268685443982963,4.146188558359528,5.189801018946044
detailed,6,Scd,6,B_nfw,inner,outer,16,0,1.2748481537360221,4.38603690982719,5.412030995174586,8.35642243454785
detailed,6,Scd,6,C_core,full,all,16,0,1.2384210719269606,3.282362013839194,5.305493319296806,5.873472583626762
detailed,6,Scd,6,C_core,inner,outer,16,0,5.458321150810433,21.52345678671294,10.339784563836012,13.740116063209584
detailed,6,Scd,6,C_nfw,full,all,16,0,1.5309598068039074,2.268685443982963,4.146188558359528,5.189801018946044
detailed,6,Scd,6,C_nfw,inner,outer,16,0,1.2748481537360221,4.38603690982719,5.412030995174586,8.35642243454785
detailed,7,Sd,7,A_core,full,all,16,0,1.0090514368275274,2.196543833357169,5.841800975266626,5.688622252084226
detailed,7,Sd,7,A_core,inner,outer,15,0,4.072847632828943,8.269036133355252,12.998451833231812,12.904286138656516
detailed,7,Sd,7,A_nfw,full,all,16,0,1.018934034556188,1.41353259752244,4.53812203037376,4.9104507650341045
detailed,7,Sd,7,A_nfw,inner,outer,15,0,1.125183855933973,3.227923901238446,5.3430811337637,6.306854143347891
detailed,7,Sd,7,B_core,full,all,16,0,0.567849670715322,0.7994492452806115,3.8406301154798648,4.10768563539927
detailed,7,Sd,7,B_core,inner,outer,15,0,3.20898959785627,6.137140591959865,10.659203122294308,11.774086984095572
detailed,7,Sd,7,B_nfw,full,all,16,0,0.9569407481869459,1.3002157985580225,4.343505016735741,4.7870081471300505
detailed,7,Sd,7,B_nfw,inner,outer,15,0,1.1245161148610092,6.695448323575658,5.31644200856263,7.024982621417475
detailed,7,Sd,7,C_core,full,all,16,0,0.5491008091207952,0.7645123828183951,3.778198324375623,3.962293800009678
detailed,7,Sd,7,C_core,inner,outer,15,0,3.237815517694601,6.347615796151542,10.653415243855978,12.231022661506643
detailed,7,Sd,7,C_nfw,full,all,16,0,0.9569407481869459,1.3002157985580225,4.343505016735741,4.7870081471300505
detailed,7,Sd,7,C_nfw,inner,outer,15,0,1.1245161148610092,6.695448323575658,5.31644200856263,7.024982621417475
detailed,8,Sdm,8,A_core,full,all,10,0,1.041149278932332,9.11620802895112,6.967285364679755,7.147281679207788
detailed,8,Sdm,8,A_core,inner,outer,9,0,2.695021926982796,19.18256351272749,7.990361902572815,12.245850288632294
detailed,8,Sdm,8,A_nfw,full,all,10,0,0.8116419793964771,0.8674212921304834,3.124266168308968,3.828573088058397
detailed,8,Sdm,8,A_nfw,inner,outer,9,0,1.3697158370481475,1.5070222798737403,3.8944184064165035,4.885777152602577
detailed,8,Sdm,8,B_core,full,all,10,0,0.6950456207400129,1.7155151953778045,4.143041709265105,4.278725487151814
detailed,8,Sdm,8,B_core,inner,outer,9,0,7.220291818200653,11.581116116604814,7.3817815436772385,12.330909626911042
detailed,8,Sdm,8,B_nfw,full,all,10,0,0.7918054578406937,0.8173383343748373,3.0520594408247037,3.639539537894579
detailed,8,Sdm,8,B_nfw,inner,outer,9,0,0.8144600315220792,1.5037737078077207,3.6098975753272096,4.381909268615669
detailed,8,Sdm,8,C_core,full,all,10,0,0.6862347744398107,1.7062636863302127,4.136041962010773,4.2530663703860805
detailed,8,Sdm,8,C_core,inner,outer,9,0,8.811815736194712,11.734102505924884,11.016379239099761,13.077733921460053
detailed,8,Sdm,8,C_nfw,full,all,10,0,0.7918054578406937,0.8173383343748373,3.0520594408247037,3.639539537894579
detailed,8,Sdm,8,C_nfw,inner,outer,9,0,0.8144600315220792,1.5037737078077207,3.6098975753272096,4.381909268615669
detailed,9,Sm,9,A_core,full,all,21,0,0.8326499437828914,3.4996938815631617,2.9977136438154783,3.867204632478007
detailed,9,Sm,9,A_core,inner,outer,18,0,5.0007780612511255,33.84254991395771,7.669230298645161,8.206464181186462
detailed,9,Sm,9,A_nfw,full,all,21,0,1.5057226184727,3.193357868540617,3.8301892108655187,3.970537721076604
detailed,9,Sm,9,A_nfw,inner,outer,18,0,3.7602487638264352,9.498444074168239,5.623124156604405,6.488153904549702
detailed,9,Sm,9,B_core,full,all,21,0,0.36306541369384593,0.6849587436880146,2.1855716279981126,2.388181691229231
detailed,9,Sm,9,B_core,inner,outer,18,0,3.398325537125594,26.792499045791367,4.782139024404117,6.658063104258047
detailed,9,Sm,9,B_nfw,full,all,21,0,1.4267276602794292,2.8044400550628676,3.5090905216443002,3.7773844102129237
detailed,9,Sm,9,B_nfw,inner,outer,18,0,4.271660594884773,9.706308966649965,5.490537512160579,6.429459145699426
detailed,9,Sm,9,C_core,full,all,21,0,0.3416543158661357,0.6496883883764026,2.08328102744541,2.30271298170826
detailed,9,Sm,9,C_core,inner,outer,18,0,3.320361352022913,25.69588360637444,4.415468457729556,6.678126708288924
detailed,9,Sm,9,C_nfw,full,all,21,0,1.4267276602794292,2.8044400550628676,3.5090905216443002,3.7773844102129237
detailed,9,Sm,9,C_nfw,inner,outer,18,0,4.271660594884773,9.706308966649965,5.490537512160579,6.429459145699426
detailed,10,Im,10,A_core,full,all,30,0,0.26089938959259973,1.015513492662502,1.9065999834214642,1.953713923506176
detailed,10,Im,10,A_core,inner,outer,18,0,3.19733947961604,7.789469921216821,6.00865885276766,5.692174393592469
detailed,10,Im,10,A_nfw,full,all,30,0,0.4747835083815252,1.6313673324522968,2.513168699341654,2.5993133337249206
detailed,10,Im,10,A_nfw,inner,outer,18,0,1.209036818917406,4.168560738267605,3.131850618695739,3.853728541556111
detailed,10,Im,10,B_core,full,all,30,0,0.24818897956850985,0.7060357380144804,1.5321180010277464,1.6791174135073468
detailed,10,Im,10,B_core,inner,outer,18,0,2.593940033392353,7.149936037732238,5.915312463141588,5.284254018120539
detailed,10,Im,10,B_nfw,full,all,30,0,0.43614935146743705,1.4048278071482436,2.2681608103388546,2.488614279205284
