galaxy,model_id,fit_mode,region,n_rows,failed,chi2,loss,rms_kms,signed_kms,signed_standardized
ESO563-G021,A_nfw,full,middle_third,10,False,27.318688522568355,2.7318688522568353,11.047323570081632,-5.218324293326293,-0.6162828792950789
ESO563-G021,A_nfw,full,outer_third,10,False,9.379231605195432,0.9379231605195433,9.78738882474038,8.983846868928406,0.8845025378605275
F565-V2,A_nfw,full,inner_third,3,False,1.3196523062061425,0.43988410206871414,6.5286049727632705,4.332601702922694,0.4049164053748247
F565-V2,A_nfw,full,middle_third,2,False,0.4644257862258118,0.2322128931129059,3.373193110767954,-3.055213347870911,-0.4364590496958444
F565-V2,A_nfw,full,outer_third,2,False,0.0856928546618035,0.04284642733090175,1.234249769285605,1.0075429718544555,0.17283450693327515
F568-3,A_nfw,full,inner_third,6,False,24.7402033030157,4.1233672171692834,8.283881253516169,3.840554536115466,1.1728060361760757
F568-3,A_nfw,full,middle_third,6,False,25.92668777452792,4.321114629087987,14.469003314329068,-14.249727464953684,-1.9726720246597012
F568-3,A_nfw,full,outer_third,6,False,0.3669029653098499,0.061150494218308316,2.851590272181308,0.8386755735422943,0.08144184262035137
F568-V1,A_nfw,full,inner_third,5,False,1.219187992928539,0.2438375985857078,12.703265402884325,9.904198523318161,0.45372554681784383
F568-V1,A_nfw,full,middle_third,5,False,0.9848694089660416,0.19697388179320832,3.2274049343936397,-2.607270464656088,-0.3148299977314573
F568-V1,A_nfw,full,outer_third,5,False,0.6198634038174337,0.12397268076348673,5.356073801736551,5.003441924008664,0.3124382522049701
F571-8,A_nfw,full,inner_third,5,False,184.51810117253055,36.90362023450611,26.227641240326786,25.596075386446994,5.562968423481093
F571-8,A_nfw,full,middle_third,4,False,7.207965460063619,1.8019913650159047,9.234343271931486,1.1062929510451553,-0.13283893144487868
F571-8,A_nfw,full,outer_third,4,False,18.612305039258512,4.653076259814628,9.026183221588363,-4.516293920604639,-1.2394922174953382
F571-V1,A_nfw,full,inner_third,3,False,1.262491770603155,0.4208305902010517,6.234149212624706,2.8765962284863797,0.24414868700328088
F571-V1,A_nfw,full,middle_third,2,False,0.16940808769851112,0.08470404384925556,1.7462375492965438,-1.7421675616361014,-0.2903612602726836
F571-V1,A_nfw,full,outer_third,2,False,0.16196077785579532,0.08098038892789766,1.7074232051264606,1.276184985863594,0.21269749764393234
F574-1,A_nfw,full,inner_third,5,False,15.232388214840954,3.046477642968191,7.9816092818402,2.1984408802553252,0.5988822572349042
F574-1,A_nfw,full,middle_third,5,False,2.7207319414211297,0.5441463882842259,3.24571626566196,-2.851344622895172,-0.6480328688398118
F574-1,A_nfw,full,outer_third,4,False,1.7715589956777755,0.4428897489194439,3.209225690767507,2.714284985540317,0.5711880488273218
F583-1,A_nfw,full,inner_third,9,False,20.76106109228112,2.3067845658090134,8.827360629007602,7.272851886853705,1.1932941745564825
F583-1,A_nfw,full,middle_third,8,False,9.333150008646658,1.1666437510808323,4.200565795152563,-3.443559798612182,-0.7794857030570376
F583-1,A_nfw,full,outer_third,8,False,5.863325051889241,0.7329156314861551,6.331069529556727,-0.3156028717118673,0.056844446764414025
F583-4,A_nfw,full,inner_third,4,False,0.883836451657557,0.22095911291438924,2.3065665690117814,-0.1006398552091996,-0.014491965616211234
F583-4,A_nfw,full,middle_third,4,False,0.2883790025723194,0.07209475064307985,1.0608093643045347,0.24902888554813352,0.017461828872606916
F583-4,A_nfw,full,outer_third,4,False,0.3449130024153457,0.08622825060383643,1.2544731801562448,0.16887827076307182,0.05761122447668891
IC2574,A_nfw,full,inner_third,12,False,793.5049651049659,66.12541375874716,3.64997190072129,1.7950807362867487,3.070456632801793
IC2574,A_nfw,full,middle_third,11,False,165.2244248650578,15.020402260459802,2.7114652275861606,-1.8085049836030216,-2.2869887656680654
IC2574,A_nfw,full,outer_third,11,False,105.9307121500729,9.630064740915719,7.487982066648202,-7.046762973556293,-2.2206957258899984
IC4202,A_nfw,full,inner_third,11,False,1184.8387316422964,107.7126119674815,43.10209240803616,14.370517137685466,3.180253645323019
IC4202,A_nfw,full,middle_third,11,False,10.364631874099015,0.9422392612817286,5.532802493445443,-2.126021225681463,-0.35357316462066135
IC4202,A_nfw,full,outer_third,10,False,10.04053998980628,1.004053998980628,9.092885329950372,7.430728810509504,0.7489316665280008
KK98-251,A_nfw,full,inner_third,5,False,12.961293517348231,2.5922587034696463,3.220098572074865,3.161091576841053,1.5805457884205265
KK98-251,A_nfw,full,middle_third,5,False,2.540656885628043,0.5081313771256086,1.425666689132644,0.941358667852716,0.470679333926358
KK98-251,A_nfw,full,outer_third,5,False,8.02172164966677,1.604344329933354,2.533254294328427,-2.39771710560476,-1.19885855280238
NGC0024,A_nfw,full,inner_third,10,False,15.177093698329303,1.5177093698329303,9.162363247846569,4.281009334415462,0.5387224381511782
NGC0024,A_nfw,full,middle_third,10,False,1.6941299375106866,0.16941299375106866,3.432984874830575,-3.1561381699092124,-0.3851788829492263
NGC0024,A_nfw,full,outer_third,9,False,8.271250147319462,0.9190277941466068,5.055092077592423,-2.953721752076381,-0.216889500474227
NGC0055,A_nfw,full,inner_third,7,False,34.54205308452586,4.934579012075123,4.15804902088252,2.8313813425376897,1.3786984327253171
NGC0055,A_nfw,full,middle_third,7,False,15.179656948860423,2.1685224212657745,3.2005129474217586,-2.936074155028024,-1.1942587805359717
NGC0055,A_nfw,full,outer_third,7,False,6.682810484043726,0.9546872120062465,4.059358740788436,3.232649310986921,0.7205044264779789
NGC0100,A_nfw,full,inner_third,7,False,8.979446694673133,1.282778099239019,5.346041934093948,4.327071598287553,0.9223900374901542
NGC0100,A_nfw,full,middle_third,7,False,4.699021987219806,0.6712888553171151,3.0600772238061182,-2.5084426863794147,-0.6468067308259252
NGC0100,A_nfw,full,outer_third,7,False,0.6665600925923278,0.09522287037033254,2.1699636624041907,1.9712074239428858,0.28083331080065416
NGC0247,A_nfw,full,inner_third,9,False,42.32728886392221,4.703032095991357,3.4148498336635433,-0.4285232260708085,-0.08796255584834621
NGC0247,A_nfw,full,middle_third,9,False,1.6811205551550366,0.18679117279500407,2.0755338881684477,1.2276125281395798,0.28074982645625707
NGC0247,A_nfw,full,outer_third,8,False,0.3842783445841909,0.048034793073023864,1.858765389566597,-1.705124112736172,-0.19675129350884754
NGC0289,A_nfw,full,inner_third,10,False,12.395056367975169,1.2395056367975168,12.29258914775772,-2.871515299829059,-0.42348459804712507
NGC0289,A_nfw,full,middle_third,9,False,32.594616573023075,3.6216240636692305,9.699673970032595,2.821014016922899,0.47069128657818127
NGC0289,A_nfw,full,outer_third,9,False,5.777763852849162,0.6419737614276847,4.950289142868988,-0.5313015672071073,0.01823957263141277
NGC0300,A_nfw,full,inner_third,9,False,12.008695092512095,1.334299454723566,5.5706365861287725,-1.5031683511180103,-0.1317261128829174
NGC0300,A_nfw,full,middle_third,8,False,1.6477306549950992,0.2059663318743874,2.0779348711609016,0.7205792165230456,0.1170653125600743
NGC0300,A_nfw,full,outer_third,8,False,1.2311403515889725,0.15389254394862156,2.9491682584682835,1.8140173908543655,0.13866212702276348
NGC0801,A_nfw,full,inner_third,5,False,69.63006426716387,13.926012853432775,23.136895515301006,-9.302292726450906,-1.5003697945888559
NGC0801,A_nfw,full,middle_third,4,False,7.334943150321898,1.8337357875804745,3.8133335731926103,2.2731409468777315,0.8053237776043982
NGC0801,A_nfw,full,outer_third,4,False,7.007378722754239,1.7518446806885597,5.323010496845981,-2.307269564159256,-0.5231937379995619
NGC0891,A_nfw,full,inner_third,6,False,255.62333977960077,42.603889963266795,41.870153718671695,34.21145178976573,5.681620013796135
NGC0891,A_nfw,full,middle_third,6,False,27.91058075947363,4.651763459912272,6.120919538310285,-0.7982950895001864,-0.4956967018525407
NGC0891,A_nfw,full,outer_third,6,False,6.540532946119663,1.0900888243532771,3.7932312336883567,0.8647043873142337,0.01352131991155762
NGC1003,A_nfw,full,inner_third,12,False,48.472332169606375,4.039361014133864,5.370975626350152,-2.1483612349260177,-1.1044558470786459
NGC1003,A_nfw,full,middle_third,12,False,34.49700979587835,2.874750816323196,3.1130288083741005,1.145703965342695,0.9086582656832105
NGC1003,A_nfw,full,outer_third,12,False,4.328585040232825,0.3607154200194021,1.5125917465004548,-0.8742529691929247,-0.36679101641377504
NGC1090,A_nfw,full,inner_third,8,False,45.46258548756281,5.6828231859453515,15.387450661955658,2.3334179983875813,0.34153170515143605
NGC1090,A_nfw,full,middle_third,8,False,5.540265477952316,0.6925331847440395,3.987618199390028,-1.3848450879357834,-0.11215542812961696
NGC1090,A_nfw,full,outer_third,8,False,2.1937934234191325,0.27422417792739157,1.1965083140807395,-0.13149353164026678,-0.041486635109284326
NGC2403,A_nfw,full,inner_third,25,False,229.1620934505627,9.166483738022508,3.9232885769003794,1.6689312258651783,1.2159428457237085
NGC2403,A_nfw,full,middle_third,24,False,324.59440550693466,13.524766896122278,5.755702015936568,3.157925959392998,0.5545128766353398
NGC2403,A_nfw,full,outer_third,24,False,157.1343692241292,6.547265384338716,2.99216544783604,-1.8193707518964135,-0.1972355436399301
NGC2683,A_nfw,full,inner_third,4,False,2.209494612462453,0.5523736531156133,4.890765315129511,0.72225396473263,-0.0391270201626433
NGC2683,A_nfw,full,middle_third,4,False,5.380712841933405,1.3451782104833512,12.166918043398441,4.895290462567729,0.43410490968163207
NGC2683,A_nfw,full,outer_third,3,False,0.047606024713150584,0.01586867490438353,1.268020345509893,-0.7091571003755822,-0.07343882176406726
NGC2841,A_nfw,full,inner_third,17,False,15.142102052806246,0.8907118854591909,7.592352672238375,-6.064080949765472,-0.7449339575606564
NGC2841,A_nfw,full,middle_third,17,False,12.166743744677113,0.7156908085104184,4.537084136452997,1.7520194502875617,0.43183372393956754
NGC2841,A_nfw,full,outer_third,16,False,133.02153169695515,8.313845731059697,14.478753719029068,-6.580636636648645,-0.8345058444668012
NGC2903,A_nfw,full,inner_third,12,False,368.4362707563246,30.703022563027048,41.05188358450717,26.39952497375968,4.050366422074314
NGC2903,A_nfw,full,middle_third,11,False,67.30787888514074,6.11889808046734,4.1111104580366336,0.7115630753194803,-0.08723553884143365
NGC2903,A_nfw,full,outer_third,11,False,20.64957150204534,1.8772337729132127,4.454681576627071,3.6250605334867676,1.0378113591584517
NGC2915,A_nfw,full,inner_third,10,False,23.068277100241396,2.3068277100241397,15.982829324966294,5.715107496801633,0.4045325220516481
NGC2915,A_nfw,full,middle_third,10,False,1.8522412579013883,0.18522412579013883,3.0679878378923267,-1.5525325630258948,-0.1984003162098427
