classification,class_id,class_name,class_order,model_id,fit_mode,region,n_galaxies,n_failures,n_signed_defined,median_signed_standardized,mean_signed_standardized,median_signed_kms,mean_signed_kms,median_loss,mean_loss
detailed,7,Sd,7,A_nfw,full,inner_third,16,0,16,0.526303902026374,0.5540958271479206,2.770412234958645,2.7960009517724065,1.4062863792005778,2.170924692655432
detailed,7,Sd,7,A_nfw,full,middle_third,16,0,16,-0.2581831600158581,-0.36946676216649604,-1.609013575475152,-1.9748473520994492,0.46362655102625017,1.3038364977386052
detailed,7,Sd,7,A_nfw,full,outer_third,16,0,16,0.11656229625309775,0.037874341913954335,1.0048512165135965,0.20909664515272908,0.2196071116477623,0.7132743808447892
detailed,7,Sd,7,A_nfw,inner,withheld_outer,15,0,15,1.0278114437742891,1.0326746199526307,4.63648023870967,4.450828886480475,1.125183855933973,3.227923901238446
detailed,7,Sd,7,B_core,full,inner_third,16,0,16,-0.38954956827637444,-0.3461390871200953,-1.6785184413369814,-1.705247211134373,0.8689241248533092,1.3400813323146448
detailed,7,Sd,7,B_core,full,middle_third,16,0,16,0.322801619903494,0.27382221252469097,1.349345660979902,1.2609904346677951,0.4597032857629292,0.5522406215300344
detailed,7,Sd,7,B_core,full,outer_third,16,0,16,-0.15035042361852213,-0.25737389004129735,-0.6916813482572326,-1.83607200578526,0.41220673008848896,0.4835242218318978
detailed,7,Sd,7,B_core,inner,withheld_outer,15,0,15,-1.3384936151018858,-0.635915474676655,-7.985388484074761,-4.12295648455084,3.20898959785627,6.137140591959865
detailed,7,Sd,7,B_nfw,full,inner_third,16,0,16,0.3474553795531795,0.47774714798297,2.415243651161286,2.6445264715045598,1.3359096061890376,2.0673279632448747
detailed,7,Sd,7,B_nfw,full,middle_third,16,0,16,-0.22519208751029507,-0.3504237584273321,-1.1969694494214593,-1.9123112388454073,0.4534217372857887,1.1754540795318857
detailed,7,Sd,7,B_nfw,full,outer_third,16,0,16,0.12042217690130878,0.047419586105313716,0.9526858253126296,0.16899905664756237,0.21792337910968845,0.6077414150117272
detailed,7,Sd,7,B_nfw,inner,withheld_outer,15,0,15,1.0275193955065611,1.351835731939587,5.1271572538507,4.991326623639515,1.1245161148610092,6.695448323575658
detailed,7,Sd,7,C_core,full,inner_third,16,0,16,-0.3808384104062309,-0.34358374962977306,-1.713607691404616,-1.6963751964020712,0.8597147679688639,1.319952031942962
detailed,7,Sd,7,C_core,full,middle_third,16,0,16,0.2993868028467137,0.2666327455825223,1.196853972431242,1.2232900740482329,0.40680930845810837,0.5265874450592594
detailed,7,Sd,7,C_core,full,outer_third,16,0,16,-0.15257138788622934,-0.2377935994925952,-0.6077459120086459,-1.6503053911517862,0.30065891999214484,0.42391835985527726
detailed,7,Sd,7,C_core,inner,withheld_outer,15,0,15,-1.5395534307753518,-0.8220017407290274,-7.985338904290583,-4.816840824609808,3.237815517694601,6.347615796151542
detailed,7,Sd,7,C_nfw,full,inner_third,16,0,16,0.3474553795531795,0.47774714798297,2.415243651161286,2.6445264715045598,1.3359096061890376,2.0673279632448747
detailed,7,Sd,7,C_nfw,full,middle_third,16,0,16,-0.22519208751029507,-0.3504237584273321,-1.1969694494214593,-1.9123112388454073,0.4534217372857887,1.1754540795318857
detailed,7,Sd,7,C_nfw,full,outer_third,16,0,16,0.12042217690130878,0.047419586105313716,0.9526858253126296,0.16899905664756237,0.21792337910968845,0.6077414150117272
detailed,7,Sd,7,C_nfw,inner,withheld_outer,15,0,15,1.0275193955065611,1.351835731939587,5.1271572538507,4.991326623639515,1.1245161148610092,6.695448323575658
detailed,8,Sdm,8,A_core,full,inner_third,10,0,10,-0.46060632056393447,-0.598995441036151,-1.9239210443747077,-0.370118386280034,1.910901812257313,12.690408576454184
detailed,8,Sdm,8,A_core,full,middle_third,10,0,10,0.604696437847901,0.7742001134521382,1.5398631091226218,1.7646737424597585,0.6619898035735006,4.525070065590895
detailed,8,Sdm,8,A_core,full,outer_third,10,0,10,-0.5257032376503742,-1.8161419860123487,-2.856216379444964,-6.294113694548725,0.5261381643017204,9.729548462687712
detailed,8,Sdm,8,A_core,inner,withheld_outer,9,0,9,-1.5823586995012953,-2.8866593812565084,-5.468586424104619,-10.07728033677761,2.695021926982796,19.18256351272749
detailed,8,Sdm,8,A_nfw,full,inner_third,10,0,10,0.6208319731755616,0.5705747861945779,2.709044583872717,3.732530389843869,1.6112987153860483,1.5036027804521195
detailed,8,Sdm,8,A_nfw,full,middle_third,10,0,10,-0.02057341560723233,0.03710550772471564,-0.09587580750012478,-0.135292426892,0.267273948020857,0.406453766560207
detailed,8,Sdm,8,A_nfw,full,outer_third,10,0,10,-0.3030397655018531,-0.30086145607626474,-1.3873094845076772,-1.406680129254434,0.4022291930795111,0.6275715362435526
detailed,8,Sdm,8,A_nfw,inner,withheld_outer,9,0,9,-0.6206454818882985,-0.3721242810548844,-2.401898014907715,-1.357294743918241,1.3697158370481475,1.5070222798737403
detailed,8,Sdm,8,B_core,full,inner_third,10,0,10,-0.30261641476803963,-0.3221863011906775,-1.2169359160977713,-0.39652791729292364,0.6646775835211514,2.0391926323733376
detailed,8,Sdm,8,B_core,full,middle_third,10,0,10,0.0030634795567692752,0.18777098604165446,0.050109714557974784,0.359363279783987,0.40555874645701256,0.7702374575766278
detailed,8,Sdm,8,B_core,full,outer_third,10,0,10,-0.15414844545550427,-0.6024291584636023,-0.628454085666662,-2.681471746408495,0.2626055423316971,2.2367167759571176
detailed,8,Sdm,8,B_core,inner,withheld_outer,9,0,9,-1.5095903833901854,-1.4107294180746264,-5.08672432797709,-3.5716870363339246,7.220291818200653,11.581116116604814
detailed,8,Sdm,8,B_nfw,full,inner_third,10,0,10,0.5889590558295372,0.5355987090141177,2.587561463293358,3.4316845273221523,1.5826009707823225,1.4048511164424855
detailed,8,Sdm,8,B_nfw,full,middle_third,10,0,10,-0.1360035214463053,-0.020349031940015496,-0.687454121176259,-0.5109845590973772,0.24700476021667972,0.39055796338369847
detailed,8,Sdm,8,B_nfw,full,outer_third,10,0,10,-0.20706626552300983,-0.255023113410503,-1.1285847694573778,-1.190822445715664,0.38335267450400645,0.5919331204156355
detailed,8,Sdm,8,B_nfw,inner,withheld_outer,9,0,9,-0.2211065134414553,-0.23913722994758788,-1.463733429569724,-0.34295664316413793,0.8144600315220792,1.5037737078077207
detailed,8,Sdm,8,C_core,full,inner_third,10,0,10,-0.2946833391169403,-0.30837451492390416,-1.1843089499984965,-0.3346092516686054,0.6143279194388267,2.0152562433897163
detailed,8,Sdm,8,C_core,full,middle_third,10,0,10,0.0018400773570916968,0.18740928842436175,0.04713104937168786,0.3587761686453699,0.42996344499205486,0.7644284981466276
detailed,8,Sdm,8,C_core,full,outer_third,10,0,10,-0.15600767123203768,-0.6157099912256399,-0.5968468989660538,-2.75510820201624,0.30529547763419634,2.243525327941189
detailed,8,Sdm,8,C_core,inner,withheld_outer,9,0,9,-1.3973550712734575,-1.4754278977508055,-8.10450684077517,-4.242131677007626,8.811815736194712,11.734102505924884
detailed,8,Sdm,8,C_nfw,full,inner_third,10,0,10,0.5889590558295372,0.5355987090141177,2.587561463293358,3.4316845273221523,1.5826009707823225,1.4048511164424855
detailed,8,Sdm,8,C_nfw,full,middle_third,10,0,10,-0.1360035214463053,-0.020349031940015496,-0.687454121176259,-0.5109845590973772,0.24700476021667972,0.39055796338369847
detailed,8,Sdm,8,C_nfw,full,outer_third,10,0,10,-0.20706626552300983,-0.255023113410503,-1.1285847694573778,-1.190822445715664,0.38335267450400645,0.5919331204156355
detailed,8,Sdm,8,C_nfw,inner,withheld_outer,9,0,9,-0.2211065134414553,-0.23913722994758788,-1.463733429569724,-0.34295664316413793,0.8144600315220792,1.5037737078077207
detailed,9,Sm,9,A_core,full,inner_third,21,0,21,-0.6907821267614866,-1.09512887988185,-2.31327840412249,-3.0891210767524315,0.9657857095394476,4.102891517847243
detailed,9,Sm,9,A_core,full,middle_third,21,0,21,0.4759923660316724,0.37286808467014587,0.9422655721944526,0.622042672934239,0.45551824875910674,2.1639413890837234
detailed,9,Sm,9,A_core,full,outer_third,21,0,21,-0.4189216390500897,-0.5249684511188979,-1.3005369877609438,-1.4201795426497381,0.727076152355816,4.223676866886812
detailed,9,Sm,9,A_core,inner,withheld_outer,18,0,18,-1.837573175362065,-3.4722232827740127,-6.217756610515435,-6.638983388581277,5.0007780612511255,33.84254991395771
detailed,9,Sm,9,A_nfw,full,inner_third,21,0,21,0.7021503422945224,0.8803789694926206,1.9499402786814788,2.3014847835101087,1.6382554669724698,5.9674907887025
detailed,9,Sm,9,A_nfw,full,middle_third,21,0,21,-0.6531441319903528,-0.8218689139454279,-1.8085049836030216,-2.3078876783191435,0.7484167189721941,1.8438457235204797
detailed,9,Sm,9,A_nfw,full,outer_third,21,0,21,0.2928473083682947,0.13349355965704884,0.5671872444379886,0.33863111409602326,0.6640237500170674,1.4620737687105403
detailed,9,Sm,9,A_nfw,inner,withheld_outer,18,0,18,1.2715948642647632,1.1510313488000807,3.319838200189051,2.925367795486388,3.7602487638264352,9.498444074168239
detailed,9,Sm,9,B_core,full,inner_third,21,0,21,-0.40073134226941526,-0.28875644434373704,-1.4783408144242975,-0.9092093343671137,0.548950029091508,0.8379255736721402
detailed,9,Sm,9,B_core,full,middle_third,21,0,21,0.29325418101137307,0.18388153334729748,0.6424642585297811,0.38516030174085647,0.2826280425056661,0.5532877264758059
detailed,9,Sm,9,B_core,full,outer_third,21,0,21,-0.21041171315650362,-0.27644187009266863,-0.6500140324554602,-0.7478064976262547,0.319686598081251,0.6551835971604533
detailed,9,Sm,9,B_core,inner,withheld_outer,18,0,18,-1.177712645665593,-2.706564031243769,-4.4638269118078515,-4.861941782441404,3.398325537125594,26.792499045791367
detailed,9,Sm,9,B_nfw,full,inner_third,21,0,21,0.6981999158094142,0.8334924172514638,1.901775592067145,2.1684207977659575,1.5170057874318224,5.301374846053195
detailed,9,Sm,9,B_nfw,full,middle_third,21,0,21,-0.6815588367408525,-0.7808516800745954,-1.8347945260356375,-2.2138448665569075,0.6543544181374246,1.6052365285276164
