galaxy,model_id,fit_mode,region,n_rows,failed,chi2,loss,rms_kms,signed_kms,signed_standardized,halo_bound_hit,eta_bound_hit,nuisance_bound_hit,guard_active,optimizer_success,eta
UGC00731,B_nfw,full,all,12,False,3.1953503673324426,0.26627919727770355,1.3777341407692705,0.2250268903927465,0.05889850934972399,False,False,False,False,True,
UGC00891,B_nfw,full,all,5,False,8.986887364638841,1.7973774729277683,3.2820037465050294,1.7585918971639287,0.6520737458375759,True,False,False,False,True,
UGC01281,B_nfw,full,all,25,False,21.212039637224983,0.8484815854889993,4.060437381897976,0.7703062079890227,0.2125796520645564,True,False,True,False,True,
UGC02259,B_nfw,full,all,8,False,4.189120131821832,0.523640016477729,1.5613388808978739,-0.34244299670442313,-0.08157993021236785,False,False,False,False,True,
UGC02487,B_nfw,full,all,17,False,57.67805722445983,3.3928268955564604,10.520644161518955,-0.06904695224219427,0.039991892986941446,False,False,False,False,True,
UGC02885,B_nfw,full,all,19,False,12.870843665278528,0.6774128244883436,8.230509246020828,-0.15462520329195908,-0.015462520329195898,False,False,False,False,True,
UGC02916,B_nfw,full,all,43,False,87.74966778362358,2.0406899484563623,14.935619158160995,3.855607429398472,0.26422128869864464,True,False,True,False,True,
UGC02953,B_nfw,full,all,115,False,614.5661771528012,5.344053714372184,22.072261955480364,0.40415537464218215,0.2093675369323886,False,False,False,False,True,
UGC03205,B_nfw,full,all,48,False,128.57641099806858,2.6786752291264286,9.584358325603706,-0.9811847673013677,-0.1732548510428734,False,False,False,False,True,
UGC03546,B_nfw,full,all,30,False,22.91762843751947,0.7639209479173156,5.545588159586619,1.8343115581429221,0.17320550734765494,False,False,False,False,True,
UGC03580,B_nfw,full,all,47,False,95.36106535317144,2.02895883730152,8.939311630146516,-2.517636552952239,-0.06909633522756616,False,False,False,False,True,
UGC04278,B_nfw,full,all,25,False,26.509796546343868,1.0603918618537547,4.814060780195589,0.8127169976110522,0.21310902398406534,True,False,True,False,True,
UGC04325,B_nfw,full,all,8,False,15.980078457074777,1.9975098071343471,4.31170745815813,0.19339612512785376,0.06403674411946553,False,False,False,False,True,
UGC04483,B_nfw,full,all,8,False,3.5487001968700302,0.4435875246087538,1.2506794647280022,0.35780195851901153,0.12036239637119661,False,False,False,False,True,
UGC04499,B_nfw,full,all,9,False,7.146975164102872,0.7941083515669858,3.3348843430576793,0.6740290549071154,0.13344353982494545,False,False,False,False,True,
UGC05005,B_nfw,full,all,11,False,1.9516062111800365,0.1774187464709124,4.451117375492873,0.5036332437897577,0.06067359340883863,False,False,False,False,True,
UGC05253,B_nfw,full,all,73,False,161.79778697233044,2.216408040716855,15.998140906071805,-1.4708780505662173,0.07835081920822365,False,False,False,False,True,
UGC05414,B_nfw,full,all,6,False,3.835553685977617,0.6392589476629361,1.9684193524425935,0.4801286018799675,0.19348369648965677,True,False,False,False,True,
UGC05716,B_nfw,full,all,12,False,17.36634797295607,1.447195664413006,1.3046779493293574,-0.5223606636577488,-0.23615419249498773,False,False,False,False,True,
UGC05721,B_nfw,full,all,23,False,19.630261593963155,0.8534896345201372,4.552696186806844,0.280473817449132,0.09166732978149962,False,False,False,False,True,
UGC05750,B_nfw,full,all,11,False,8.684528205258417,0.7895025641144016,6.789420864959297,1.7446237528421777,0.2374092911690648,False,False,False,False,True,
UGC05764,B_nfw,full,all,10,False,52.86349403327502,5.286349403327502,4.150858967240744,2.59572577138898,1.046102953662371,False,False,False,False,True,
UGC05829,B_nfw,full,all,11,False,0.7587974041660466,0.06898158219691332,1.328975860554619,0.0898452165544454,0.01775597165107616,False,False,False,False,True,
UGC05918,B_nfw,full,all,8,False,0.8775857613062331,0.10969822016327914,1.3016443602612158,0.09639367321616099,0.02452765221785267,False,False,False,False,True,
UGC05986,B_nfw,full,all,15,False,58.623737715994324,3.9082491810662883,6.9412590420630105,2.020271595631044,0.4249033253108016,False,False,True,False,True,
UGC06399,B_nfw,full,all,9,False,4.550030441648428,0.5055589379609364,4.0633998811856795,1.2234324962757417,0.1513008554107684,False,False,False,False,True,
