guard,model,galaxy,anchor_offset,T,n_test,r_anchor,r_max,radial_factor,core_mass_growth,nfw_mass_growth,core_mass_fraction_anchor,core_mass_fraction_final,core_effective_halo_speed_slope,nfw_effective_halo_speed_slope,core_anchor_halo2,nfw_anchor_halo2,core_original_loss,nfw_original_loss,core_with_nfw_growth_loss,nfw_with_core_growth_loss,core_swap_admissible,nfw_swap_admissible,core_signed_fraction,core_swapped_signed_fraction,core_guard_active,nfw_guard_active,core_nuisance_bound,nfw_nuisance_bound
0.001,variable_core,UGC06818,0,9,2,5.24,6.98,1.33206106870229,2.3635443210285683,1.773564487045081,4.381260132442747e-07,1.035530250498393e-06,0.9999652423153145,0.4991917744436739,3847.546090409262,2769.2638938509212,4.046627481596412,0.9135379502017915,0.5621401979324928,0.03417545922176507,True,True,0.16722793616672654,0.06206517530175905,True,False,False,False
0.001,variable_core,UGC06818,1,9,2,4.37,6.98,1.597254004576659,4.074833771801395,2.549447167642262,2.5412821933116734e-07,1.035530250498393e-06,0.9999703500200763,0.4992576365648116,2676.008784329697,2310.016919998457,4.046627481596412,0.9135379502017915,0.0811853894486269,1.2204934695955667,True,True,0.16722793616672654,-0.014758215638373737,True,False,False,False
0.001,variable_core,UGC06818,2,9,2,3.5,6.98,1.9942857142857144,7.931353144248495,3.9734899420200853,1.305616118290381e-07,1.035530250498393e-06,0.9999752366031487,0.4993284598724258,1716.577979052284,1850.5569379532476,4.046627481596412,0.9135379502017915,1.443638974379656,5.855302236470167,True,True,0.16722793616672654,-0.09806468744446584,True,False,False,False
0.001,variable_core,UGC06917,0,9,3,7.85,10.47,1.3337579617834396,1.1336266272309075,1.5784328858848418,0.8501893475236213,0.9637972825408488,-0.2822540217513582,0.2924161961754075,7409.498722579825,8716.901693442604,3.8418170956720394,0.5608491950199719,0.17590919713191633,1.4440944799667763,True,True,-0.08901196237238451,-0.016319692465465847,False,False,False,False
0.001,variable_core,UGC06917,1,9,3,6.98,10.47,1.5,1.2452692787330535,1.914474180355762,0.7739669636124192,0.9637972825408488,-0.22950595466497364,0.3008617665158414,7585.947380172353,8082.6354135591755,3.8418170956720394,0.5608491950199719,0.258406268758947,3.4268378316843706,True,True,-0.08901196237238451,0.020388829758295715,False,False,False,False
0.001,variable_core,UGC06917,2,9,3,6.11,10.47,1.7135842880523733,1.4344320227056524,2.393013702484433,0.6719016776569979,0.9637972825408488,-0.16507843740238565,0.31003916471005755,7523.281987009404,7387.058357102564,3.8418170956720394,0.5608491950199719,1.4589750185011363,5.809497810370864,True,True,-0.08901196237238451,0.05241587197493491,False,False,False,False
0.001,variable_core,UGC06930,0,7,2,13.94,16.61,1.1915351506456242,1.0215227769366528,1.2198526579332654,0.9711296589677482,0.9920310659942787,-0.43924296234169824,0.06701444718369243,5992.943561158545,8656.689884699439,3.0263134282422453,0.003504360997351476,1.3199694903425885,0.5750286126856294,True,True,-0.1185155641493995,-0.078576498961103,False,False,False,False
0.001,variable_core,UGC06930,1,7,2,12.19,16.61,1.3625922887612798,1.0590160399012833,1.4316964672208252,0.93674791373958,0.9920310659942787,-0.40733313650768144,0.07994968289830506,6610.659259657928,8434.655541615173,3.0263134282422453,0.003504360997351476,0.3750582364138809,1.808903961801666,True,True,-0.1185155641493995,-0.04172375470366037,False,False,False,False
0.001,variable_core,UGC06930,2,7,2,10.47,16.61,1.586437440305635,1.138748576624587,1.7312123549311893,0.8711589953726224,0.9920310659942787,-0.3592280801206039,0.09461838550681922,7157.749367003113,8121.289382729257,3.0263134282422453,0.003504360997351476,0.006952170126771262,3.475766626205858,True,True,-0.1185155641493995,-0.0038971263722467234,False,False,False,False
0.001,variable_core,UGC06983,0,6,4,12.19,15.68,1.2863002461033635,1.0481108599370952,1.329183177587611,0.9440162945625045,0.9894337302885369,-0.4066819927795726,0.06512793550075413,7489.604875631759,10035.282559748206,0.7504765979669785,0.2157805528233125,0.12164505914048435,0.09472937749795171,True,True,-0.08096789654860434,-0.03233590905524201,False,False,False,False
