tier,model,fit_mode,galaxy,n_rows,n_train,n_outer,n_parameters,eta,chi2_data,prior_penalty,objective,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,halo_bound_hit,eta_bound_hit,nuisance_bound_hit,maximum_abs_pull,regime_ratio,guard_active,guard_refitted_here,optimizer_success,train_admissible,outer_admissible,current_display,nfw_reused_from_matched_tier
matched_nuisance,nfw,inner,NGC2915,30,24,6,5,,23.86534127640285,1.112480160159785,24.977821436562635,4.898272549838421,178.55379919505964,4.950829681050093,174.81549962842794,0.403019971309822,0.7,0.9893841770778662,54.26043651729538,False,False,False,0.936434365702286,3.547290737372822e-07,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC2955,24,19,5,6,0.3,48.20477518427844,5.542788295335146,53.74756347961359,9.43518106023083,282.52307151723704,9.69731634441161,270.590104798279,0.3239022626067344,0.9428864913744526,0.9729682651497862,52.56292151055491,False,False,False,1.8855602256793085,1.4346108896249867e-06,False,False,True,True,True,True,False
matched_nuisance,nfw,inner,NGC2955,24,19,5,6,,51.82464715974194,7.233091999272132,59.05773915901408,4784.755193379873,5544.120741185192,4999.999999267159,5132.293603656942,0.3018278161635762,0.931407346411524,0.9569510388162332,50.12591380117712,True,False,False,2.1921074288693023,0.0003419983052118873,False,False,True,True,True,True,False
matched_nuisance,core,inner,NGC2976,27,21,6,5,0.3,6.307247604238419,0.0596318402714131,6.366879444509832,1.6568625738103715,108.18652883202672,1.6598451539337815,106.62746069357324,0.4782961719808813,0.7,0.9982030973694496,59.54365623597541,False,False,False,0.1927309930397244,2.10364599642739e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC2976,27,21,6,5,,10.951097214226069,4.215626154752746,15.166723368978811,728.8765733833017,0.0023337616182937,712.9588364520515,0.0025308439182415,0.7405554933405935,0.7,1.02232630569594,71.52823242183983,False,False,False,1.7058760348893154,6.059985433047181e-17,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC2998,13,10,3,5,0.3,21.08201904759705,4.632329661274049,25.7143487088711,22.73029449483762,200.21567061335432,19.66535789336588,201.6910264414153,0.7660544283002594,0.7,1.1558546057534858,58.68218129142366,False,False,False,1.852896230912369,7.204808086354414e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC2998,13,10,3,5,,15.666349941001622,2.5402670616058067,18.20661700260743,7.396524687884416,398.32269522257496,8.29879145923621,396.65227626773424,0.3617193725097261,0.7,0.8912773292612857,57.61751595065678,False,False,False,1.405982355556703,1.7653413664038206e-06,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC3109,25,20,5,5,0.3,5.9527337831128655,0.013111721539161,5.965845504652027,2.233523470996396,68.87526808750727,2.234095791412291,68.86238989467479,0.5133282471598225,0.7,0.9997438245852774,69.9705868024301,False,False,False,0.1142515871318537,8.526148439282476e-08,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC3109,25,20,5,5,,171.81000550086654,1.4191918143160716,173.2291973151826,5198.093264340187,2209.359066681188,4999.999999999791,2257.5173468618177,0.4424230409001601,0.7,1.0396186528680809,73.77574109235842,True,False,False,0.7551482184716828,5.431142541383621e-05,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC3198,43,34,9,5,0.3,44.57711152881215,3.842762836046621,48.41987436485877,8.310329829323855,140.63833988144725,7.714972704199176,141.18195894444702,0.7550011022446853,0.7,1.0771690513954293,73.74004629230541,False,False,False,1.789775813308318,3.5549520509239017e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC3198,43,34,9,5,,40.4099061984392,0.0938198064186557,40.50372600485786,15.93519996190243,293.7469625871211,16.05982523473954,293.633597202209,0.4670982226030908,0.7,0.9922399359261064,72.92782330355307,False,False,False,0.2956178961757554,9.600754473585854e-07,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC3521,41,32,9,5,0.3,3.3850698878209053,0.2396374189416988,3.624707306762604,501.6484608507208,7459.10735207914,451.3393085966444,7470.06831073308,0.5370443807589996,0.7,1.1114663653172672,75.31750335299576,False,False,False,0.3731700056273725,0.0010000000000053044,True,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC3521,41,32,9,5,,2.5460631797296718,0.1982565045884701,2.7443196843181417,1.758849277929985,263.7071347549866,1.9651252001793689,263.3956460655974,0.4699916214393757,0.7,0.8950316640229561,74.7494682568003,False,False,False,0.3514157334883644,7.737530149024987e-07,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC3726,12,9,3,5,0.3,17.25234370270341,0.6793390628014325,17.931682765504842,11.897943344896092,136.22088630875743,11.499975111549414,136.5675190619377,0.5983222087412774,0.7,1.0346060082292698,53.193914964090105,False,False,False,0.7796511910569132,3.335137074051483e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC3726,12,9,3,5,,17.623652058141726,0.2121230443281746,17.8357751024699,5071.537296659843,2429.140989354345,4999.999997111834,2431.6602427991447,0.5542251183863822,0.7,1.0143074599178663,53.07892682582909,True,False,False,0.4471620049055247,6.56544305475353e-05,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC3741,21,16,5,5,0.3,17.712014135272682,6.338365355353432,24.050379490626117,1.6793685862051069,48.40658978639986,1.6221939215452643,49.07916805846691,0.860533899687092,0.7,1.0352452711728688,72.31650854288473,False,False,False,2.357979791678299,4.211485024163106e-08,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC3741,21,16,5,5,,5.298108293184001,0.0063574512861568,5.304465744470157,47.12470441155908,214.1317916780052,47.04907727581392,214.2890821496514,0.507866190273505,0.7,1.0016074095417815,70.11595444783434,False,False,False,0.067792975526451,5.101770236437166e-07,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC3769,12,9,3,5,0.3,1.5308738176872787,0.3065844828845758,1.8374583005718543,3.701264278563517,120.13473286323804,3.851974026647507,120.05855773064918,0.448293326903485,0.7,0.9608746717809108,69.9004214123205,False,False,False,0.4740773013800163,2.5939610991466723e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC3769,12,9,3,5,,6.422164484335353,1.2248268079909004,7.646991292326253,11.41902941024076,238.40078798242192,12.292426653943965,238.13381936302324,0.3992312845122248,0.7,0.9289483461409974,69.82445603229249,False,False,False,0.9774543825707044,6.323739440424706e-07,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC3877,13,10,3,5,0.3,14.264176916515693,4.578377095457261,18.842554011972958,1.80174990232723,158.6956750243804,2.184418929070663,158.65033191949615,0.3359314489775955,0.7,0.8248188469478996,75.93449066484787,False,False,False,1.727193411371244,4.526436860479241e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC3877,13,10,3,5,,42.79554020515242,5.503950294147416,48.29949049929984,9.633660059528475,342.2569548970029,12.03748015302894,342.1487126033624,0.3263841148346902,0.7,0.8003053743024778,75.92750703658785,False,False,False,1.85240990919389,1.303356308221854e-06,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC3893,10,8,2,5,0.3,3.9854096076123913,0.0087956086738003,3.994205216286192,4.022767341546679,168.45373678856828,4.032053278264405,168.41676267066936,0.5107076520902422,0.7,0.9976969707300786,48.98553515794097,False,False,False,0.0920236073642034,5.100204421903933e-07,False,False,True,True,True,False,False
