galaxy,model,n_inner,n_outer,outer_loss,inner_loss,outer_rms_kms,invalid_outer_rows,invalid_inner_rows,inference_allowed
DDO170,posthoc_gate_80,6,2,24.375867096135156,0.36018429055460444,5.073392172324621,0,0,False
DDO170,posthoc_gate_90,6,2,54.16752330807257,0.6284894600509564,7.639394994510652,0,0,False
DDO170,posthoc_gate_95,6,2,54.16752330807257,0.6284894600509564,7.639394994510652,0,0,False
DDO170,scalar_core,6,2,54.16752330807257,0.6284894600509564,7.639394994510652,0,0,True
ESO079-G014,adaptive_conservative,12,3,15.660279308606782,0.47780265273353534,8.24177815268729,0,0,False
ESO079-G014,adaptive_primary,12,3,15.660279308606782,0.47780265273353534,8.24177815268729,0,0,True
ESO079-G014,baryon_only,12,3,1685.7502882923616,210.52558739807844,87.76941060282793,0,0,True
ESO079-G014,compact_plummer,12,3,15.660279308606782,0.47780265273353534,8.24177815268729,0,0,True
ESO079-G014,core,12,3,15.660279308606782,0.47780265273353534,8.24177815268729,0,0,False
ESO079-G014,envelope_a0.5,12,3,15.660279308606782,0.47780265273353534,8.24177815268729,0,0,False
ESO079-G014,envelope_a1,12,3,15.660279308606782,0.47780265273353534,8.24177815268729,0,0,False
ESO079-G014,envelope_a2,12,3,15.660279308606782,0.47780265273353534,8.24177815268729,0,0,False
ESO079-G014,extended,12,3,15.66027931252575,0.4778026527335351,8.241778153746376,0,0,True
ESO079-G014,inverse_extended,12,3,0.0,0.4778026527335351,0.0,0,0,False
ESO079-G014,nfw,12,3,48.17110123119022,2.4055060492946967,14.523850827400068,0,0,True
ESO079-G014,posthoc_gate_80,12,3,15.66027898749796,0.477802652733535,8.241778065908676,0,0,False
ESO079-G014,posthoc_gate_90,12,3,15.66027898749796,0.477802652733535,8.241778065908676,0,0,False
ESO079-G014,posthoc_gate_95,12,3,15.66027898749796,0.477802652733535,8.241778065908676,0,0,False
ESO079-G014,scalar_core,12,3,15.66027898749796,0.477802652733535,8.241778065908676,0,0,True
ESO116-G012,adaptive_conservative,12,3,1.3926647454228627,0.5911656222527275,4.498913451211841,0,0,False
ESO116-G012,adaptive_primary,12,3,1.3926647454228627,0.5911656222527275,4.498913451211841,0,0,True
ESO116-G012,baryon_only,12,3,415.14342246717365,175.39101353229316,53.469077595741375,0,0,True
ESO116-G012,compact_plummer,12,3,1.558018895535417,0.5738098186543179,4.680770664620327,0,0,True
ESO116-G012,core,12,3,1.3926647454228627,0.5911656222527275,4.498913451211841,0,0,False
ESO116-G012,envelope_a0.5,12,3,1.5156444230488655,0.571780305070093,4.6219651141125,0,0,False
ESO116-G012,envelope_a1,12,3,1.3841333739967743,0.5863158990677259,4.464899345395559,0,0,False
ESO116-G012,envelope_a2,12,3,0.9998674209149749,0.5901502941550368,3.9247699634587607,0,0,False
