baseline,fit_mode,galaxy,n_rows,n_train,n_outer,n_parameters,fit_status,fit_success,train_admissible,outer_admissible,invalid_training_rows,invalid_outer_rows,chi2_data,prior_penalty,objective,ml_disk,ml_bulge,distance_ratio,inclination_deg,inclination_factor,parameters_json,parameter_names_json,disk_pull,bulge_pull,distance_pull,inclination_pull,maximum_abs_pull,nuisance_bound_hit,n_bound_parameters,kkt_relative,n_starts,near_best_starts,seconds
profiled,full,IC2574,34,34,7,3,converged,True,True,True,0,0,1184.592605609571,69.79831245927247,1254.3909180688433,1.7615533152365102,0.7,1.3069053708439897,88.7982247296782,1.0350484549620695,"[3.5231066304730203, 6.0, 1.9711749613825984]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",5.469257877526966,0.0,6.0,1.9711749613825984,6.0,True,1,9.977216849586601e-09,10,10,0.01199650764465332
fixed,full,IC4202,32,32,7,0,fixed_inputs,True,True,True,0,0,4832.568482251778,0.0,4832.568482251778,0.5,0.7,1.0,90.0,1.0,"[1.0, 1.0, 0.0, 0.0]","[""disk_scale"", ""bulge_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,IC4202,32,32,7,4,converged,True,True,True,0,0,970.0384656312829,21.957402824002614,991.9958684552855,1.2751417870738053,0.44585591188922113,1.1255203606059137,90.0,1.0,"[2.5502835741476106, 0.6369370169846017, 1.2602244204833726, 0.0]","[""disk_scale"", ""bulge_scale"", ""distance_pull"", ""inclination_pull""]",4.065884737046543,-1.9590351040938296,1.2602244204833726,0.0,4.065884737046543,True,1,9.978601757370476e-09,12,12,0.022691965103149414
fixed,full,KK98-251,15,15,3,0,fixed_inputs,True,True,True,0,0,320.32667118542884,0.0,320.32667118542884,0.5,0.7,1.0,59.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,KK98-251,15,15,3,3,converged,True,True,True,0,0,9.066340991935448,16.18756047476764,25.253901466703088,0.638262296165385,0.7,2.0449982740892754,67.55828635906232,1.0782823297560227,"[1.27652459233077, 3.4833275802975847, 1.711657271812465]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",1.0602918593280448,0.0,3.4833275802975847,1.711657271812465,3.4833275802975847,False,0,4.551206737335488e-09,10,10,0.013687610626220703
fixed,full,NGC0024,29,29,6,0,fixed_inputs,True,True,True,0,0,2593.771884973251,0.0,2593.771884973251,0.5,0.7,1.0,64.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,NGC0024,29,29,6,3,converged,True,True,True,0,0,356.8117669035546,80.52590001527538,437.33766691883,1.9905358527674861,0.7,1.2697210538828685,75.46776465270375,1.0770060439476705,"[3.9810717055349722, 5.469343592624833, 3.8225882175679176]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",5.999999999999999,0.0,5.469343592624833,3.8225882175679176,5.999999999999999,True,1,1.1742658972769162e-11,10,10,0.010686635971069336
fixed,full,NGC0055,21,21,5,0,fixed_inputs,True,True,True,0,0,2501.1598652073803,0.0,2501.1598652073803,0.5,0.7,1.0,77.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,NGC0055,21,21,5,3,converged,True,True,True,0,0,293.14785907242236,51.70339683480655,344.8512559072289,1.4769381044757763,0.7,1.2680966599423935,82.30784938104415,1.0170689576879823,"[2.9538762089515527, 5.142581386167729, 1.7692831270147162]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",4.703922909435143,0.0,5.142581386167729,1.7692831270147162,5.142581386167729,False,0,6.521732674347457e-10,10,10,0.01369166374206543
fixed,full,NGC0100,21,21,5,0,fixed_inputs,True,True,True,0,0,1081.6603720984226,0.0,1081.6603720984226,0.5,0.7,1.0,89.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,NGC0100,21,21,5,3,converged,True,True,True,0,0,152.7699546741248,25.42866388892375,178.19861856304854,0.7186202933787575,0.7,2.437077471074643,89.0231609415968,1.000006974239705,"[1.437240586757515, 4.790258236915475, 0.023160941596804138]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",1.5752947290496282,0.0,4.790258236915475,0.023160941596804138,4.790258236915475,False,0,5.521101667611365e-10,10,10,0.01500082015991211
fixed,full,NGC0247,26,26,6,0,fixed_inputs,True,True,True,0,0,9240.956648737436,0.0,9240.956648737436,0.5,0.7,1.0,74.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,NGC0247,26,26,6,3,converged,True,True,True,0,0,63.39643785929643,50.06086968310895,113.45730754240537,1.9905358527674861,0.7,1.174035542868898,78.81383759684691,1.0205358652479508,"[3.9810717055349722, 3.389113203236435, 1.604612532282305]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",5.999999999999999,0.0,3.389113203236435,1.604612532282305,5.999999999999999,True,1,1.2603566843208255e-08,10,10,0.012999296188354492
fixed,full,NGC0289,28,28,6,0,fixed_inputs,True,True,True,0,0,4161.142927278398,0.0,4161.142927278398,0.5,0.7,1.0,46.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,NGC0289,28,28,6,3,converged,True,True,True,0,0,105.96026301288065,81.18316304300048,187.14342605588112,0.24884714511712872,0.7,2.5,76.0,1.3488697911879757,"[0.49769429023425743, 6.0, 6.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",-3.03037341642915,0.0,6.0,6.0,6.0,True,2,2.9427970376320386e-09,10,10,0.01299738883972168
fixed,full,NGC0300,25,25,5,0,fixed_inputs,True,True,True,0,0,4034.9988682811177,0.0,4034.9988682811177,0.5,0.7,1.0,42.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0009958744049072266
profiled,full,NGC0300,25,25,5,3,converged,True,True,True,0,0,471.0018675038327,62.98030082553973,533.9821683293725,0.937390862425509,0.7,1.2884615384615385,86.192863382208,1.49117854744614,"[1.874781724851018, 6.0, 4.419286338220799]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",2.729507114179175,0.0,6.0,4.419286338220799,6.0,True,1,4.705283859256936e-09,10,10,0.013999223709106445
fixed,full,NGC0801,13,13,3,0,fixed_inputs,True,True,True,0,0,2540.6798834586,0.0,2540.6798834586,0.5,0.7,1.0,80.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0009999275207519531
profiled,full,NGC0801,13,13,3,3,converged,True,True,True,0,0,523.7209285871119,36.77867974062376,560.4996083277356,0.5496943160792148,0.7,1.6,80.7806005822089,1.002309407401089,"[1.0993886321584296, 6.0, 0.7806005822089053]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.41151241983550507,0.0,6.0,0.7806005822089053,6.0,True,1,3.5185286353851295e-08,10,10,0.017072677612304688
fixed,full,NGC0891,18,18,4,0,fixed_inputs,True,True,True,0,0,2954.952459614038,0.0,2954.952459614038,0.5,0.7,1.0,90.0,1.0,"[1.0, 1.0, 0.0, 0.0]","[""disk_scale"", ""bulge_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,NGC0891,18,18,4,4,converged,True,True,True,0,0,1231.5586351705713,44.29454508715798,1275.8531802577293,0.6307835992775275,0.24922595552581572,1.2428126268239885,90.0,1.0,"[1.261567198555055, 0.35603707932259393, 4.81254626365145, -3.868710802228162e-23]","[""disk_scale"", ""bulge_scale"", ""distance_pull"", ""inclination_pull""]",1.0091038857090056,-4.48504770266933,4.81254626365145,-3.868710802228162e-23,4.81254626365145,True,1,4.723159559621026e-09,12,12,0.022072553634643555
fixed,full,NGC1003,36,36,8,0,fixed_inputs,True,True,True,0,0,21327.782120065363,0.0,21327.782120065363,0.5,0.7,1.0,67.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,NGC1003,36,36,8,3,converged,True,True,True,0,0,3917.4853029565725,58.12307142486442,3975.608374381437,0.7233969935347762,0.7,2.8,89.10771394785083,1.086228643341899,"[1.4467939870695523, 6.0, 4.4215427895701644]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",1.604066951490651,0.0,6.0,4.4215427895701644,6.0,True,1,2.394451510700354e-09,10,10,0.013071537017822266
fixed,full,NGC1090,24,24,5,0,fixed_inputs,True,True,True,0,0,9051.769618476894,0.0,9051.769618476894,0.5,0.7,1.0,64.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,NGC1090,24,24,5,3,converged,True,True,True,0,0,541.1802522465605,72.36220943284152,613.542461679402,0.37781722073193763,0.7,2.5,81.71814483946511,1.1009991213030952,"[0.7556344414638753, 6.0, 5.9060482798217055]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",-1.2168825536002248,0.0,6.0,5.9060482798217055,6.0,True,1,1.1565151229043527e-08,10,10,0.017073869705200195
fixed,full,NGC2403,73,73,15,0,fixed_inputs,True,True,True,0,0,319317.3362433957,0.0,319317.3362433957,0.5,0.7,1.0,63.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
