galaxy,model,n_outer,loss,rms,pipeline_failure,invalid_outer_rows
UGC06614,fixed_catalogue_baryons,3,40.98716836773905,104.36436819064973,False,0
UGC06667,fixed_catalogue_baryons,2,301.8242071833546,55.34239797993353,False,0
UGC06786,fixed_catalogue_baryons,9,4524.0438608253135,128.67467909578227,False,0
UGC06787,fixed_catalogue_baryons,15,2594.4796764735024,139.30860658167785,False,0
UGC06818,fixed_catalogue_baryons,2,42.120061146617616,38.93998204003482,False,0
UGC06917,fixed_catalogue_baryons,3,128.48878820139018,54.394653370358284,False,0
UGC06930,fixed_catalogue_baryons,2,51.215257701725335,52.95797873546987,False,0
UGC06983,fixed_catalogue_baryons,4,34.095499136597965,57.95911132004832,False,0
UGC07089,fixed_catalogue_baryons,3,29.09914121904058,34.98691022104956,False,0
UGC07125,fixed_catalogue_baryons,3,51.01534660731701,23.277501386048275,False,0
UGC07151,fixed_catalogue_baryons,3,92.69360383520946,31.358515960840077,False,0
UGC07323,fixed_catalogue_baryons,2,71.08263353388801,32.62817025476126,False,0
UGC07399,fixed_catalogue_baryons,2,208.70772140027265,70.74050564814216,False,0
UGC07524,fixed_catalogue_baryons,7,130.72331578213726,38.285985733048676,False,0
UGC07577,fixed_catalogue_baryons,2,1.9945554222489925,4.476950746058963,False,0
UGC07603,fixed_catalogue_baryons,3,190.85054995401575,39.924965601374474,False,0
UGC08286,fixed_catalogue_baryons,4,651.9815479295739,51.18870206276754,False,0
UGC08490,fixed_catalogue_baryons,6,184.22989666544868,50.0848549562282,False,0
UGC08550,fixed_catalogue_baryons,3,265.9962615857167,33.91487699798156,False,0
UGC08699,fixed_catalogue_baryons,9,311.1876681354235,84.02144995552985,False,0
UGC08837,fixed_catalogue_baryons,2,37.42758405806494,18.801482980940918,False,0
UGC09037,fixed_catalogue_baryons,5,22.839322221030343,51.73695706632582,False,0
UGC09133,fixed_catalogue_baryons,14,3754.0732085894697,121.92445371654843,False,0
UGC11455,fixed_catalogue_baryons,8,235.82707739670198,96.7047113597226,False,0
UGC11557,fixed_catalogue_baryons,3,4.033661072615363,13.456264175086028,False,0
UGC11820,fixed_catalogue_baryons,2,2409.8162907392443,45.26128148999004,False,0
UGC11914,fixed_catalogue_baryons,13,700.6622888686026,70.43122525044838,False,0
UGC12506,fixed_catalogue_baryons,7,72.98152057718664,117.20979545794778,False,0
UGC12632,fixed_catalogue_baryons,3,168.194321807413,37.16401653021267,False,0
UGC12732,fixed_catalogue_baryons,4,232.2663772901763,49.927857496129135,False,0
UGCA442,fixed_catalogue_baryons,2,1808.3365547697008,37.68757957358075,False,0
UGCA444,fixed_catalogue_baryons,8,15.192336766834694,20.455341435204897,False,0
CamB,frozen_core_baryons,2,23.613066862697867,7.288991730072836,False,0
D631-7,frozen_core_baryons,4,109.1023259117705,39.36971346403505,False,0
DDO064,frozen_core_baryons,3,13.226302356588276,21.852054640152982,False,0
DDO154,frozen_core_baryons,3,1611.4922193209443,29.610733358377882,False,0
DDO161,frozen_core_baryons,7,947.3869820694362,32.976334586239325,False,0
DDO168,frozen_core_baryons,2,132.53788130308465,29.759903644370663,False,0
DDO170,frozen_core_baryons,2,847.7590910269892,32.09452222645283,False,0
ESO079-G014,frozen_core_baryons,3,1685.7502882923616,87.76941060282793,False,0
ESO116-G012,frozen_core_baryons,3,415.14342246717365,53.469077595741375,False,0
ESO563-G021,frozen_core_baryons,6,599.1129539396942,223.66674307287786,False,0
F568-3,frozen_core_baryons,4,39.61726418077201,70.61617422096178,False,0
F568-V1,frozen_core_baryons,3,22.672064860107856,70.60432885485167,False,0
F571-8,frozen_core_baryons,3,662.5133231928752,110.78463494787692,False,0
F574-1,frozen_core_baryons,3,120.57977595696146,51.44466149921336,False,0
F583-1,frozen_core_baryons,5,39.236097687932855,48.720526646717516,False,0
F583-4,frozen_core_baryons,3,50.57742999706996,34.84772724625883,False,0
IC2574,frozen_core_baryons,7,117.07613801825097,30.78436260157142,False,0
IC4202,frozen_core_baryons,7,108.90174888791078,76.0405743428762,False,0
KK98-251,frozen_core_baryons,3,53.11240606821824,14.575651761512175,False,0
NGC0024,frozen_core_baryons,6,324.28971532396116,63.30639870013276,False,0
NGC0055,frozen_core_baryons,5,95.2428769904138,39.24222689651145,False,0
NGC0100,frozen_core_baryons,5,54.2985842595034,51.952896692162966,False,0
NGC0247,frozen_core_baryons,6,4.7083089754663225,18.44063700575709,False,0
NGC0289,frozen_core_baryons,6,59.05512524094985,65.93857109719822,False,0
NGC0300,frozen_core_baryons,5,305.67005017483416,47.52272016088289,False,0
NGC0801,frozen_core_baryons,3,282.7157229244833,64.26796956695507,False,0
NGC0891,frozen_core_baryons,4,592.0415477916838,91.65363573981874,False,0
NGC1003,frozen_core_baryons,8,821.0354919783024,60.89936687172888,False,0
NGC1090,frozen_core_baryons,5,568.5506161223615,53.17278776700439,False,0
NGC2403,frozen_core_baryons,15,2116.5957411628287,68.2345845810499,False,0
NGC2683,frozen_core_baryons,3,44.97940353403745,70.72700477340314,False,0
NGC2841,frozen_core_baryons,10,741.1303937334717,133.5569891277046,False,0
NGC2903,frozen_core_baryons,7,699.8462604770842,88.96186672833267,False,0
NGC2915,frozen_core_baryons,6,104.58644171918338,62.387938664151825,False,0
NGC2955,frozen_core_baryons,5,45.31680748609867,88.57500637106679,False,0
NGC2976,frozen_core_baryons,6,29.954704141595855,23.550576461550932,False,0
NGC2998,frozen_core_baryons,3,525.6254481170012,59.349893224826914,False,0
NGC3109,frozen_core_baryons,5,203.60998802885192,44.621572877264185,False,0
NGC3198,frozen_core_baryons,9,1028.0723857734847,69.17295403541102,False,0
NGC3521,frozen_core_baryons,9,39.51861677312313,51.43827170103359,False,0
NGC3726,frozen_core_baryons,3,41.747327324948905,75.88841513043147,False,0
NGC3741,frozen_core_baryons,5,197.25040940343547,35.359381428721385,False,0
NGC3769,frozen_core_baryons,3,48.60325280611509,72.21378551841785,False,0
NGC3877,frozen_core_baryons,3,123.318828070587,63.577969540863236,False,0
NGC3893,frozen_core_baryons,2,34.92305151986329,73.53343223024214,False,0
NGC3917,frozen_core_baryons,4,207.85024072696336,69.4212321105224,False,0
NGC3953,frozen_core_baryons,2,42.300117181819914,47.779018261417725,False,0
NGC3972,frozen_core_baryons,2,121.25744504179048,59.13526606137559,False,0
NGC3992,frozen_core_baryons,2,91.5206010771193,69.01281745215161,False,0
NGC4010,frozen_core_baryons,3,119.76525307846812,50.11850893055692,False,0
NGC4013,frozen_core_baryons,8,209.12165676180314,80.92279512558552,False,0
NGC4088,frozen_core_baryons,3,51.7253279297499,52.38582788876157,False,0
NGC4100,frozen_core_baryons,5,50.97564871356222,51.822029833453016,False,0
NGC4157,frozen_core_baryons,4,43.768616470035305,77.0134583516331,False,0
NGC4183,frozen_core_baryons,5,64.76411019115866,50.68167352011682,False,0
NGC4217,frozen_core_baryons,4,148.9999495404918,99.64162185649741,False,0
NGC4559,frozen_core_baryons,7,51.963043180942016,43.00110714477019,False,0
NGC5005,frozen_core_baryons,4,7.127427660298388,58.75921488252189,False,0
NGC5033,frozen_core_baryons,5,678.5068541965845,90.18605384029621,False,0
NGC5055,frozen_core_baryons,6,6819.454347985801,85.70068993490885,False,0
NGC5371,frozen_core_baryons,4,88.14293243056204,43.01716317985296,False,0
NGC5585,frozen_core_baryons,5,789.869469991866,45.00709726185599,False,0
NGC5907,frozen_core_baryons,4,356.95525537594216,70.41711216745504,False,0
NGC5985,frozen_core_baryons,7,165.24635983093327,54.61376536104229,False,0
NGC6015,frozen_core_baryons,9,172.6264554848584,61.14665731319756,False,0
NGC6195,frozen_core_baryons,5,60.59871464219043,42.33661115276355,False,0
NGC6503,frozen_core_baryons,7,682.0864123310039,64.72501713057503,False,0
NGC6674,frozen_core_baryons,3,895.0169643682274,89.84198090197874,False,0
