galaxy,point_index,radius_kpc,radius_fraction_of_last,comparator,z_envelope,z_comparator,delta_squared,delta_absolute,delta_absolute_kms,comparison_valid,comparator_fit_failed
UGC08837,7,4.2,1.0,scalar_core,0.8765332738429876,0.8765332738486791,-9.97746330000382e-12,-5.6914473134384025e-12,-1.7074341940315207e-11,True,False
UGC09037,17,23.14,0.8276108726752504,scalar_core,-0.5735989924242316,-0.5794853700034306,-0.006787489937919111,-0.005886377579198965,-0.046678974203047785,True,False
UGC09037,18,24.28,0.8683834048640916,scalar_core,-0.40182749996651757,-0.4326743340409094,-0.02574173960840276,-0.030846834074391816,-0.28039772173622163,True,False
UGC09037,19,25.51,0.9123748211731044,scalar_core,-0.16025666508123937,-0.20155517124364838,-0.014942288352095899,-0.041298506162409016,-0.5533999825762809,True,False
UGC09037,20,26.73,0.9560085836909871,scalar_core,0.33658010077812517,0.2955067061485698,0.02596195086103574,0.04107339462955539,0.8255752320540635,True,False
UGC09037,21,27.96,1.0,scalar_core,-0.3211162132355838,-0.39026519329278564,-0.049191298693094396,-0.06914898005720183,-1.1063836809152292,True,False
UGC09133,54,63.62,0.5873880528113747,scalar_core,-0.12993197717516836,0.5729252024222973,-0.31136096887798187,-0.4429932252471289,-1.7719729009885157,True,False
UGC09133,55,66.46,0.6136090850336995,scalar_core,0.7677185405298661,1.4468831277302676,-1.5040790278372143,-0.6791645872004015,-3.171698622225875,True,False
UGC09133,56,69.19,0.6388145138953005,scalar_core,1.6543498225928932,2.3345794199426226,-2.7133877325064946,-0.6802295973497294,-3.482775538430615,True,False
UGC09133,57,71.93,0.6641122703351492,scalar_core,5.921015868315803,7.709798504025562,-24.382564059827253,-1.788782635709759,-3.756443534990494,True,False
UGC09133,58,74.76999999999998,0.6903333025574737,scalar_core,10.969080024834927,13.99905819648754,-75.65291379741241,-3.0299781716526137,-3.9995711865814503,True,False
UGC09133,59,77.5,0.7155387314190749,scalar_core,9.137590110677998,11.759379403786472,-54.787450931437135,-2.621789293108474,-4.1948628689735585,True,False
UGC09133,60,80.23,0.7407441602806759,scalar_core,4.931972091063238,6.311242814970913,-15.507437162495286,-1.3792707239076751,-4.358495487548254,True,False
UGC09133,61,83.06999999999998,0.7669651925030004,scalar_core,4.673050521878808,5.965893948131153,-13.754489420316112,-1.292843426252345,-4.499095123358161,True,False
UGC09133,62,85.81,0.7922629489428492,scalar_core,4.756184290414934,5.998501532492528,-13.3607316309254,-1.2423172420775943,-4.608996968107875,True,False
UGC09133,63,88.54,0.8174683778044503,scalar_core,12.55704385992758,15.708816834630177,-89.0875758438155,-3.151772974702597,-4.696141732306869,True,False
UGC09133,64,91.38,0.8436894100267749,scalar_core,14.902966445150943,18.93850629704089,-136.56861189776257,-4.035539851889949,-4.761937025230139,True,False
UGC09133,65,94.12,0.8689871664666236,scalar_core,11.838923016793222,15.774841982364833,-108.68554137102373,-3.935918965571611,-4.801821137997366,True,False
