,squared_standardized__scalar_core,squared_standardized__compact_plummer,squared_standardized__nfw,squared_standardized__baryon_only,absolute_standardized__scalar_core,absolute_standardized__compact_plummer,absolute_standardized__nfw,absolute_standardized__baryon_only,absolute_kms__scalar_core,absolute_kms__compact_plummer,absolute_kms__nfw,absolute_kms__baryon_only,correlated_quadratic__scalar_core__rho0.25,correlated_quadratic__compact_plummer__rho0.25,correlated_quadratic__nfw__rho0.25,correlated_quadratic__baryon_only__rho0.25,correlated_quadratic__scalar_core__rho0.5,correlated_quadratic__compact_plummer__rho0.5,correlated_quadratic__nfw__rho0.5,correlated_quadratic__baryon_only__rho0.5,correlated_quadratic__scalar_core__rho0.75,correlated_quadratic__compact_plummer__rho0.75,correlated_quadratic__nfw__rho0.75,correlated_quadratic__baryon_only__rho0.75
NGC5985,-8.76774131798458,-7.1496406904976695,41.00499252104582,-117.28696491856385,-0.5853447362984447,-0.4746695354582645,4.020392330072213,-6.036410896169447,-2.529033103181056,-2.043595629396574,17.21355903838612,-26.59129675954145,-4.260564074705737,-3.5569244061999825,20.925053846307065,-49.05147732612231,-3.604686981080974,-3.0944129163761396,18.73197970130283,-33.328037527197395,-4.676502024909546,-4.151577021003334,25.958867522462242,-30.065912816225627
NGC6015,-4.082124860360636e-09,8.623127355604922,71.26898948667863,-94.97274397235614,-2.0637420167841153e-10,0.44414941285352355,5.280326204661615,-4.297791396456269,-1.0546012285672646e-09,2.2535142962376344,25.42633461984806,-24.29061675315232,-2.3678694560658187e-09,5.076958542173941,44.23045767459904,-44.12234793074096,-2.6293278665434627e-09,5.68927443367113,51.10722801960681,-41.431128686391276,-4.4679353550236556e-09,9.72755168483674,89.15292018867785,-61.645920335879524
NGC6195,-8.964750001831533,-6.620854620453521,36.39423288381386,-22.233728383945696,-0.6379075795147766,-0.45849264524204764,4.106974336972611,-1.6242984910932716,-3.7946354798235964,-2.688673371169971,24.379296653261342,-9.96688091418154,-6.166871366116176,-4.737607649138454,27.112204919497493,-13.576641374977896,-6.357242731011333,-5.061312217974567,29.961587916452412,-12.330797160658662,-9.821421143859737,-8.077525180216014,49.216456370111,-16.62742941950914
NGC6503,-9.250849670530593,-10.195466407170963,8.105276251491054,-672.9936162638076,-1.2192297905611866,-1.3257108570685803,2.023623980791821,-21.656089599379982,-3.514913290800184,-3.791623799440505,5.720419658463882,-56.326206767225116,-4.477984521501307,-4.919577808190741,3.8920211002066263,-344.70018620769366,-3.7707961425496546,-4.126475186772158,3.244901437141897,-309.8160410075218,-4.863246249006303,-5.2957762594407205,4.1324117714037545,-431.2373199204812
NGC6674,0.16530575980354567,0.1101951984684586,-1.271468440757115,-893.4142257112736,-0.012408033633701132,-0.009237981107467874,-0.1606614528185574,-27.050860563745392,-0.18585470029772932,-0.12655129378937127,-0.08070569606500537,-87.28393887597576,0.15374270664082412,0.10073206739692142,-1.3119778830441367,-669.0992653017491,0.18061533013830866,0.11645195317461488,-1.6804817960921916,-612.0591212176622,0.3012321844891046,0.19132852884430918,-3.015981558015568,-754.2105103533704
NGC6946,8.317916434671252e-05,8.317923724456694e-05,-0.4632497914913153,-16.954085832504347,-0.00033627887689400535,-0.00033627893697011957,-0.47093878566776487,-3.8166258787382503,0.0035529813050392245,0.003552984344814554,-5.636468876129889,-47.456445064828294,-0.0002977646334405004,-0.00029776472351304706,-0.12552684855401117,-5.303464934129082,-0.0005409554545998257,-0.0005409556329247361,-0.07471960973076852,-3.962432129837456,-0.001158377264150301,-0.001158377655840176,-0.05735489802890334,-4.687487012629372
NGC7331,-0.1588670190992474,-0.7666237918645908,7.087939422080794,-484.1562684067884,-0.023196351604014342,-0.1256477879617689,1.743293837089484,-18.612092123047823,-0.28322597324661525,-0.7778449049387991,9.252450551811428,-88.57808081059652,-0.0807930673162982,-0.29993355281604384,2.589405354898952,-204.91319923617016,-0.07751305936910358,-0.2091564948895952,1.597047851945504,-160.49363486329491,-0.11659076212550468,-0.20645841556485656,1.181482745136434,-191.73624541454473
NGC7793,0.0,3.049042801893229,12.832078284402867,9.428554290247707,0.0,0.17962996023227612,0.9580853961674007,-0.4011512314806499,0.0,1.121426445529964,5.872352034495176,-7.647154783112091,0.0,2.5293556852656955,12.126867837171746,17.406912706791545,0.0,3.3751149686461908,16.831419062476144,27.429143692858567,0.0,6.398878887596865,32.52313005961943,55.96435643247368
NGC7814,-11.787614656225394,-12.66302610111287,4.437333440567296,-440.4482783221996,-1.734238476936183,-1.8416956184057178,1.2519272073513532,-18.811659582999113,-8.358607751206662,-8.873082074110776,6.027648011027104,-90.03363509658894,-7.370226175569014,-7.8694850783788475,2.739484973320429,-251.96163468065038,-6.047383243714615,-6.395497783705281,2.2030516915190654,-176.76081017160612,-6.701583081664255,-6.96620959248119,2.3532987093102773,-136.86446758235286
UGC00128,0.42703246948967344,-0.4181665889591937,2.5031313504140416,-284.77604374255844,0.07604307833794555,-0.07328550624570347,0.5519351785975536,-13.575158716666204,0.2231320682647207,-0.21949999238338785,1.8886481964359718,-39.8134182072016,0.25543396322376655,-0.24587769845356888,1.2777373511818357,-169.22553477968975,0.22617961345441895,-0.2129776709343414,0.8867204687543104,-148.60037373100727,0.2953878955276048,-0.2701164651226726,0.7435553794901777,-191.96281902348713
