galaxy,model,epsilon,analysis,holdout,n,n_outer,T,D,e_D,distance_method,inc,e_inc,L36,Rdisk,MHI,RHI,Vflat,Q,morphology,morphology_alt,Rmax_kpc,Rmin_kpc,coverage,median_speed,baryon_fraction_outer_nominal,quality2,raw_residual_kms_mean,raw_residual_kms_median,fractional_error_mean,fractional_error_median,fractional_residual_mean,standardized_residual_mean,outer_loss,predicted_outer_slope,observed_outer_slope,nuisance_bound_hit,scale_bound_hit,eta_bound_hit,eta_boundary,guard_active,maximum_abs_pull,ml_disk,ml_bulge,distance_ratio,fitted_inclination,eta,length_catalogue_kpc,amplitude_catalogue_kms,slope_residual,log10_coverage,log10_speed
UGC11557,fixed_core,0.01,outer_holdout,True,12,3,8,24.2,6.05,1,30.0,10.0,12.101,2.75,2.605,16.66,0.0,2,spiral_T1_9,late_T8_11,10.56,0.33,3.8400000000000003,64.9,0.7069414367911382,1,35.340983961394585,35.41374057921733,0.08239507865009744,0.08210784313725492,0.4293487667030346,5.274773725581281,31.763017505431907,0.8322765598484878,0.19433114475703797,False,True,False,not applicable,False,1.058554135645981,0.4728813990252278,0.7,0.9280197729111356,19.414458643540183,,469.638682978516,9999.999885294485,0.6379454150914499,0.5843312243675308,1.8122446968003694
UGC11820,fixed_core,0.01,outer_holdout,True,10,2,9,18.1,5.43,1,45.0,10.0,0.97,2.08,1.977,12.99,0.0,1,spiral_T1_9,late_T8_11,15.82,0.26,7.605769230769231,51.875,0.22462527073954858,0,-10.452402151244698,-10.452402151244698,0.012248376371999818,0.012248376371999818,-0.1255297243941822,-10.267041193991671,105.41688155058952,-0.1945690743309579,0.20811378774694256,False,False,False,not applicable,False,1.9234568819819404,0.7700306616307645,0.7,1.577037064594582,62.99112472925185,,3.201926155938525,50.61723711930596,-0.4026828620779005,0.8811431441988962,1.7149581097201492
UGC11914,fixed_core,0.01,outer_holdout,True,65,13,2,16.9,5.1,1,31.0,5.0,150.028,2.44,0.888,9.26,288.1,1,spiral_T1_9,spiral_T1_7,9.83,0.28,4.028688524590164,288.0,0.6263765522730962,0,-14.567019584634266,-6.173283014772608,0.02896761950510017,0.028056537102473498,-0.04956626461069568,-4.4241031386382295,60.40114457488323,-0.2749588931724575,0.14680534225150813,False,False,False,not applicable,False,1.608090881551245,0.7240675633863694,0.5107459966497818,1.1054690857788552,32.737766907922065,,0.4436810499780192,170.83694810692063,-0.42176423542396557,0.6051636914934062,2.459392487759231
UGC12506,fixed_core,0.01,outer_holdout,True,31,7,6,100.6,10.1,1,86.0,4.0,139.571,7.38,35.556,59.01,234.0,2,spiral_T1_9,spiral_T1_7,49.99,0.82,6.773712737127371,238.0,0.23453830465152922,1,20.871914540416274,20.646253938010204,0.06329973802423053,0.05879828326180257,0.0910704205395642,1.5889506130493045,2.9777973653875556,0.12770996732974874,-0.18167940223551438,False,False,False,not applicable,False,4.786108045493462,1.5051535556694788,0.7,1.1907707454553966,86.7211035297116,,29.825544735293928,241.15870945727656,0.3093893695652631,0.8308267749295487,2.376576957056512
UGC12632,fixed_core,0.01,outer_holdout,True,15,3,9,9.77,2.93,1,46.0,3.0,1.301,2.42,1.744,12.6,71.7,1,spiral_T1_9,late_T8_11,10.66,0.71,4.404958677685951,65.5,0.23331639518552516,0,-5.994485911525184,-5.8118569614572095,0.03921455063571708,0.038493150684931504,-0.08200685914127609,-2.098837873242577,4.477864465216995,-0.16392553278863878,-0.009906464206273858,False,False,False,not applicable,False,0.7372107590901544,0.5319425591938952,0.7,1.221087771149862,46.88297709352407,,2.1484741433146057,71.04087759027034,-0.15401906858236492,0.6439418387101222,1.816241299991783
UGC12732,fixed_core,0.01,outer_holdout,True,16,4,9,13.2,4.0,1,39.0,6.0,1.667,1.98,3.66,17.41,0.0,1,spiral_T1_9,late_T8_11,15.4,0.96,7.777777777777778,79.8,0.20854321549181762,0,-5.738718732087598,-5.6283080632729465,0.03544335741741987,0.035151417302857674,-0.06069006640394908,-1.7712334397216098,3.7583072702302465,0.2259556360672308,0.5405791683944547,False,False,False,not applicable,False,1.9961279249922972,0.7917403829744629,0.7,1.5488772105505766,49.08355483340021,,3.259865869273426,71.30588151159328,-0.31462353232722395,0.8908555305749319,1.9020028913507294
UGCA442,fixed_core,0.01,outer_holdout,True,8,2,9,4.35,0.22,2,64.0,7.0,0.14,1.18,0.263,4.37,56.4,1,spiral_T1_9,late_T8_11,6.33,0.42,5.364406779661017,51.9,0.126702775349912,0,-4.455737732458257,-4.455737732458257,0.03023318124751202,0.03023318124751202,-0.07806913088203138,-4.492720952518219,29.695805374228485,-0.29462578455759136,-0.15775939663274577,False,False,False,not applicable,False,0.1050768547266484,0.5122449549946705,0.7,1.0012609575532527,64.40443154360868,,1.7449676661039368,58.578052229307175,-0.1368663879248456,0.7295217027112297,1.7151673578484579
UGCA444,fixed_core,0.01,outer_holdout,True,36,8,10,0.98,0.05,2,78.0,4.0,0.012,0.83,0.067,2.08,37.0,2,irregular_T10_11,late_T8_11,2.62,0.12,3.1566265060240966,27.85,0.2168806326598016,1,-6.423934307193871,-6.62034987991197,0.15086615265107622,0.1426242781021665,-0.17653519544882285,-1.1654236793650075,1.4317258603109213,-0.3584266845833893,0.5462010636563984,False,False,False,not applicable,False,0.0763669175790423,0.5088698218164212,0.7,0.9967837812310764,77.85193667018649,,0.6500493104723658,30.54494782934601,-0.9046277482397878,0.49922319894367156,1.4448251995097476
CamB,nfw,0.01,fullfit_outer_third,False,9,3,10,3.36,0.26,2,65.0,5.0,0.075,0.47,0.012,1.21,0.0,2,irregular_T10_11,late_T8_11,1.79,0.16,3.808510638297873,10.9,0.6791787131519273,1,-2.533969172622762,-1.89838325059098,0.0886511320946289,0.08928571428571429,-0.13395840271668466,-1.689312781748508,4.903114900607406,0.04485578228758686,0.817011099445087,False,True,False,not applicable,False,1.2702388617449458,0.3732038524475825,0.7,0.939951542773219,60.30988910930001,,4999.999999999995,756.9635751771315,-0.7721553171575001,0.5807551730441758,1.0374264979406236
D512-2,nfw,0.01,fullfit_outer_third,False,4,2,10,15.2,4.56,1,56.0,10.0,0.325,1.24,0.081,0.0,0.0,2,irregular_T10_11,late_T8_11,3.83,0.96,3.088709677419355,34.7,0.20002368178903496,1,0.9560044923548112,0.9560044923548112,0.13960411237906972,0.13960411237906972,0.027123123163461542,0.12365151299235976,0.1489731133665441,0.24699366355473096,-0.12477953887937837,False,False,False,not applicable,False,0.0494244327344735,0.5040227747838253,0.7,1.014827329820342,56.3879246835199,,8.486324358863852,95.09575936831384,0.37177320243410933,0.4897770888063877,1.5403294747908738
