tau,z,D_to_reference,ergotropy_over_kBT,ergotropy_sorted_over_kBT,spectral_mismatch
1.2700000000000000e+00,4.7095913231856051e-01,1.8457205384725528e-01,1.1599798791062323e-01,1.1599798791062321e-01,6.8574065936632039e-02
1.2800000000000002e+00,4.7345140160635357e-01,1.8774969834372787e-01,1.2007213895037339e-01,1.2007213895037361e-01,6.7677559393354458e-02
1.2900000000000000e+00,4.7594499455965900e-01,1.9095396634026879e-01,1.2414845380654983e-01,1.2414845380655026e-01,6.6805512533718941e-02
1.3000000000000003e+00,4.7843978745945331e-01,1.9418472409384324e-01,1.2822673023375691e-01,1.2822673023375697e-01,6.5957993860086245e-02
1.3100000000000001e+00,4.8093565634756957e-01,1.9744183383778419e-01,1.3230676559566737e-01,1.3230676559566756e-01,6.5135068242116789e-02
1.3200000000000003e+00,4.8343247705125553e-01,2.0072515380452019e-01,1.3638835690516829e-01,1.3638835690516826e-01,6.4336796899352067e-02
1.3300000000000001e+00,4.8593012520782047e-01,2.0403453824964962e-01,1.4047130086465112e-01,1.4047130086465098e-01,6.3563237384998514e-02
1.3399999999999999e+00,4.8842847628936514e-01,2.0736983747735704e-01,1.4455539390643860e-01,1.4455539390643835e-01,6.2814443570918421e-02
1.3500000000000001e+00,4.9092740562757986e-01,2.1073089786715876e-01,1.4864043223332224e-01,1.4864043223332257e-01,6.2090465633836411e-02
1.3599999999999999e+00,4.9342678843860222e-01,2.1411756190196890e-01,1.5272621185919802e-01,1.5272621185919766e-01,6.1391350042770881e-02
1.3700000000000001e+00,4.9592649984792553e-01,2.1752966819747685e-01,1.5681252864978371e-01,1.5681252864978390e-01,6.0717139547693116e-02
1.3799999999999999e+00,4.9842641491534379e-01,2.2096705153282098e-01,1.6089917836339809e-01,1.6089917836339818e-01,6.0067873169422914e-02
1.3900000000000001e+00,5.0092640865992577e-01,2.2442954288254996e-01,1.6498595669178531e-01,1.6498595669178573e-01,5.9443586190764536e-02
1.3999999999999999e+00,5.0342635608500574e-01,2.2791696944985551e-01,1.6907265930096826e-01,1.6907265930096815e-01,5.8844310148887150e-02
1.4100000000000001e+00,5.0592613220318161e-01,2.3142915470106584e-01,1.7315908187211324e-01,1.7315908187211315e-01,5.8270072828952552e-02
1.4199999999999999e+00,5.0842561206130776e-01,2.3496591840138087e-01,1.7724502014238619e-01,1.7724502014238630e-01,5.7720898258994680e-02
1.4300000000000002e+00,5.1092467076547576e-01,2.3852707665183986e-01,1.8133026994578874e-01,1.8133026994578860e-01,5.7196806706051040e-02
1.4399999999999999e+00,5.1342318350596661e-01,2.4211244192749731e-01,1.8541462725394853e-01,1.8541462725394853e-01,5.6697814673548647e-02
1.4500000000000002e+00,5.1592102558217068e-01,2.4572182311680019e-01,1.8949788821685612e-01,1.8949788821685631e-01,5.6223934899943956e-02
1.4600000000000000e+00,5.1841807242745874e-01,2.4935502556213912e-01,1.9357984920352142e-01,1.9357984920352123e-01,5.5775176358617756e-02
1.4700000000000002e+00,5.2091419963399699e-01,2.5301185110156188e-01,1.9766030684253991e-01,1.9766030684253977e-01,5.5351544259021862e-02
1.4800000000000000e+00,5.2340928297749567e-01,2.5669209811162963e-01,2.0173905806254969e-01,2.0173905806254977e-01,5.4953040049079943e-02
1.4900000000000002e+00,5.2590319844187816e-01,2.6039556155139137e-01,2.0581590013255743e-01,2.0581590013255724e-01,5.4579661418833719e-02
1.5000000000000000e+00,5.2839582224386261e-01,2.6412203300746234e-01,2.0989063070212355e-01,2.0989063070212355e-01,5.4231402305338600e-02
1.5099999999999998e+00,5.3088703085744682e-01,2.6787130074018628e-01,2.1396304784138717e-01,2.1396304784138720e-01,5.3908252898799067e-02
1.5200000000000005e+00,5.3337670103828105e-01,2.7164314973084974e-01,2.1803295008090928e-01,2.1803295008090928e-01,5.3610199649940599e-02
