BKM_distance,sharp_bound,local_distance_squared,symmetric_cycle_direct,asymmetric_cycle_direct,symmetric_z0,symmetric_z1,asymmetric_z0,asymmetric_z1
4.2749999999999999e-01,1.8276484020231992e-01,1.8275624999999998e-01,1.8276484020231987e-01,1.8867108103458641e-01,3.9393697927580335e-01,6.0606302072419660e-01,8.3573192433108567e-01,9.5913371438391526e-01
4.3500000000000000e-01,1.8923453951955119e-01,1.8922500000000000e-01,1.8923453951955116e-01,1.9551140537690692e-01,3.9210539998413757e-01,6.0789460001586237e-01,8.3336306173912766e-01,9.5935615172303346e-01
4.4250000000000000e-01,1.9581682495620348e-01,1.9580625000000002e-01,1.9581682495620445e-01,2.0247991999962078e-01,3.9027533795850655e-01,6.0972466204149334e-01,8.3098065110987229e-01,9.5957800768958346e-01
4.4999999999999996e-01,2.0251170268909696e-01,2.0249999999999996e-01,2.0251170268909657e-01,2.0957695550860755e-01,3.8844681893412725e-01,6.1155318106587264e-01,8.2858478926564827e-01,9.5979928200277864e-01
4.5749999999999996e-01,2.0931917922611473e-01,2.0930624999999997e-01,2.0931917922611465e-01,2.1680284118840198e-01,3.8661986862451836e-01,6.1338013137548164e-01,8.2617557357544891e-01,9.6001997438256914e-01
4.6499999999999997e-01,2.1623926141830979e-01,2.1622499999999997e-01,2.1623926141830951e-01,2.2415790493372612e-01,3.8479451272113852e-01,6.1520548727886148e-01,8.2375310195097406e-01,9.6024008454964072e-01
4.7249999999999998e-01,2.2327195647227221e-01,2.2325624999999999e-01,2.2327195647227205e-01,2.3164247318418596e-01,3.8297077689302483e-01,6.1702922310697517e-01,8.2131747284265078e-01,9.6045961222541687e-01
4.7999999999999998e-01,2.3041727196275943e-01,2.3039999999999999e-01,2.3041727196275907e-01,2.3925687086197023e-01,3.8114868678643277e-01,6.1885131321356723e-01,8.1886878523563356e-01,9.6067855713205796e-01
4.8749999999999999e-01,2.3767521584559215e-01,2.3765624999999999e-01,2.3767521584559281e-01,2.4700142131247738e-01,3.7932826802447395e-01,6.2067173197552594e-01,8.1640713864577974e-01,9.6089691899246155e-01
4.9500000000000000e-01,2.4504579647082053e-01,2.4502499999999999e-01,2.4504579647082103e-01,2.5487644624774486e-01,3.7750954620675753e-01,6.2249045379324253e-01,8.1393263311560649e-01,9.6111469753026335e-01
5.0249999999999995e-01,2.5252902259616294e-01,2.5250624999999993e-01,2.5252902259616361e-01,2.6288226569256601e-01,3.7569254690902898e-01,6.2430745309097113e-01,8.1144536921022470e-01,9.6133189246983775e-01
5.1000000000000001e-01,2.6012490340072147e-01,2.6010000000000000e-01,2.6012490340072114e-01,2.7101919793321461e-01,3.7387729568281097e-01,6.2612270431718897e-01,8.0894544801325174e-01,9.6154850353629751e-01
5.1749999999999996e-01,2.6783344849897639e-01,2.6780624999999997e-01,2.6783344849897617e-01,2.7928755946864481e-01,3.7206381805504390e-01,6.2793618194495593e-01,8.0643297112270296e-01,9.6176453045549370e-01
5.2500000000000002e-01,2.7565466795506516e-01,2.7562500000000001e-01,2.7565466795506532e-01,2.8768766496415132e-01,3.7025213952772729e-01,6.2974786047227271e-01,8.0390804064686439e-01,9.6197997295401794e-01
5.3249999999999997e-01,2.8358857229734824e-01,2.8355624999999995e-01,2.8358857229734813e-01,2.9621982720732554e-01,3.6844228557756042e-01,6.3155771442243958e-01,8.0137075920014067e-01,9.6219483075920065e-01
5.4000000000000004e-01,2.9163517253326582e-01,2.9160000000000003e-01,2.9163517253326532e-01,3.0488435706626937e-01,3.6663428165558443e-01,6.3336571834441546e-01,7.9882122989888649e-01,9.6240910359911225e-01
5.4749999999999999e-01,2.9979448016448929e-01,2.9975625000000000e-01,2.9979448016448762e-01,3.1368156345000742e-01,3.6482815318682499e-01,6.3517184681317496e-01,7.9625955635721513e-01,9.6262279120256389e-01
5.5499999999999994e-01,3.0806650720237300e-01,3.0802499999999994e-01,3.0806650720237316e-01,3.2261175327096137e-01,3.6302392556993374e-01,6.3697607443006621e-01,7.9368584268278808e-01,9.6283589329910713e-01
5.6250000000000000e-01,3.1645126618370611e-01,3.1640625000000000e-01,3.1645126618370600e-01,3.3167523140952060e-01,3.6122162417683173e-01,6.3877837582316821e-01,7.9110019347258276e-01,9.6304840961903460e-01
5.6999999999999995e-01,3.2494877018677493e-01,3.2489999999999997e-01,3.2494877018677482e-01,3.4087230068054186e-01,3.5942127435235299e-01,6.4057872564764684e-01,7.8850271380864367e-01,9.6326033989338045e-01
5.7750000000000001e-01,3.3355903284773419e-01,3.3350625000000000e-01,3.3355903284773492e-01,3.5020326180176831e-01,3.5762290141388681e-01,6.4237709858611314e-01,7.8589350925381007e-01,9.6347168385392057e-01
5.8499999999999996e-01,3.4228206837729525e-01,3.4222499999999995e-01,3.4228206837729536e-01,3.5966841336413413e-01,3.5582653065102338e-01,6.4417346934897668e-01,7.8327268584742682e-01,9.6368244123317270e-01
5.9250000000000003e-01,3.5111789157773504e-01,3.5105625000000001e-01,3.5111789157773554e-01,3.6926805180384559e-01,3.5403218732519659e-01,6.4596781267480341e-01,7.8064035010103450e-01,9.6389261176439689e-01
5.9999999999999998e-01,3.6006651786022786e-01,3.5999999999999999e-01,3.6006651786022781e-01,3.7900247137622678e-01,3.5223989666933020e-01,6.4776010333066980e-01,7.7799660899404088e-01,9.6410219518159657e-01
6.0749999999999993e-01,3.6912796326250968e-01,3.6905624999999992e-01,3.6912796326250996e-01,3.8887196413125658e-01,3.5044968388748188e-01,6.4955031611251812e-01,7.7534156996937276e-01,9.6431119121951703e-01
6.1499999999999999e-01,3.7830224446687427e-01,3.7822499999999998e-01,3.7830224446687399e-01,3.9887681989079038e-01,3.4866157415448917e-01,6.5133842584551083e-01,7.7267534092910994e-01,9.6451959961364830e-01
6.2249999999999994e-01,3.8758937881850952e-01,3.8750624999999994e-01,3.8758937881851052e-01,4.0901732622736109e-01,3.4687559261561618e-01,6.5312440738438371e-01,7.6999803023010027e-01,9.6472742010022328e-01
6.3000000000000000e-01,3.9698938434417952e-01,3.9690000000000003e-01,3.9698938434417874e-01,4.1929376844457789e-01,3.4509176438619860e-01,6.5490823561380129e-01,7.6730974667955565e-01,9.6493465241621923e-01
6.3749999999999996e-01,4.0650227977125336e-01,4.0640624999999997e-01,4.0650227977125386e-01,4.2970642955906868e-01,3.4331011455129140e-01,6.5668988544870865e-01,7.6461059953062882e-01,9.6514129629935785e-01
