BKM_distance,sharp_bound,local_distance_squared,symmetric_cycle_direct,asymmetric_cycle_direct,symmetric_z0,symmetric_z1,asymmetric_z0,asymmetric_z1
8.6249999999999993e-01,7.4451041406278473e-01,7.4390624999999988e-01,7.4451041406278584e-01,8.0673544263683894e-01,2.9099665817992748e-01,7.0900334182007252e-01,6.7914349677667807e-01,9.7106572116617440e-01
8.7000000000000000e-01,7.5753701515287664e-01,7.5690000000000002e-01,7.5753701515287908e-01,8.2149839199607300e-01,2.8929479931667590e-01,7.1070520068332399e-01,6.7616399004243877e-01,9.7125399761725695e-01
8.7749999999999995e-01,7.7067760977887534e-01,7.7000624999999989e-01,7.7067760977887545e-01,8.3640537109607482e-01,2.8759590349183678e-01,7.1240409650816305e-01,6.7317732391778884e-01,9.7144167763756128e-01
8.8500000000000001e-01,7.8393225311617631e-01,7.8322500000000006e-01,7.8393225311617609e-01,8.5145658587019035e-01,2.8589999459610449e-01,7.1410000540389540e-01,6.7018361978229468e-01,9.7162876098955553e-01
8.9249999999999996e-01,7.9730100194208231e-01,7.9655624999999997e-01,7.9730100194208386e-01,8.6665224009676045e-01,2.8420709647816977e-01,7.1579290352183012e-01,6.6718299930155167e-01,9.7181524743646197e-01
8.9999999999999991e-01,8.1078391467148880e-01,8.0999999999999983e-01,8.1078391467148947e-01,8.8199253542244893e-01,2.8251723294438486e-01,7.1748276705561509e-01,6.6417558442223834e-01,9.7200113674225919e-01
9.0749999999999997e-01,8.2438105139321172e-01,8.2355624999999999e-01,8.2438105139321305e-01,8.9747767138653689e-01,2.8083042775842759e-01,7.1916957224157230e-01,6.6116149736716145e-01,9.7218642867168037e-01
9.1499999999999992e-01,8.3809247390697406e-01,8.3722499999999989e-01,8.3809247390697372e-01,9.1310784544641876e-01,2.7914670464096814e-01,7.2085329535903175e-01,6.5814086063028721e-01,9.7237112299021589e-01
9.2249999999999999e-01,8.5191824576105968e-01,8.5100624999999996e-01,8.5191824576106168e-01,9.2888325300402563e-01,2.7746608726933519e-01,7.2253391273066492e-01,6.5511379697176553e-01,9.7255521946411183e-01
9.2999999999999994e-01,8.6585843229065174e-01,8.6489999999999989e-01,8.6585843229065063e-01,9.4480408743346977e-01,2.7578859927718280e-01,7.2421140072281709e-01,6.5208042941293820e-01,9.7273871786037147e-01
