galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,extended,valid_extended,fit_failed_extended,scalar_core,valid_scalar_core,fit_failed_scalar_core,compact_plummer,valid_compact_plummer,fit_failed_compact_plummer,nfw,valid_nfw,fit_failed_nfw,baryon_only,valid_baryon_only,fit_failed_baryon_only,adaptive_primary,valid_adaptive_primary,fit_failed_adaptive_primary,profiled_baryons,valid_profiled_baryons,fit_failed_profiled_baryons
NGC0055,16,11.05,85.4,7.0,True,False,10.43,86.61466406856357,True,False,86.61466406501665,True,False,86.61466406856357,True,False,91.8215133535764,True,False,47.92651004700747,True,False,86.61466406856357,True,False,72.86013091879003,True,False
NGC0055,17,11.66,86.2,4.1,True,False,10.43,86.03753930559091,True,False,86.03753930203148,True,False,86.03753930559091,True,False,93.24750937124756,True,False,47.05059879570515,True,False,86.03753930559091,True,False,72.5508507006269,True,False
NGC0055,18,12.28,86.09999999999998,6.2,True,False,10.43,85.60367878076725,True,False,85.6036787772226,True,False,85.60367878076725,True,False,94.96609251698796,True,False,46.76397690944136,True,False,85.60367878076725,True,False,72.85962533517181,True,False
NGC0055,19,12.89,87.4,2.5,True,False,10.43,85.17623091109775,True,False,85.17623090758454,True,False,85.17623091109775,True,False,96.71837795110476,True,False,46.74350885645742,True,False,85.17623091109775,True,False,73.70857807497495,True,False
NGC0055,20,13.5,86.5,5.5,True,False,10.43,84.77405321686895,True,False,84.7740532134015,True,False,84.77405321686895,True,False,98.47731479396198,True,False,46.97088654689258,True,False,84.77405321686895,True,False,75.49691074669745,True,False
NGC0100,16,7.98,86.09999999999998,5.53,True,False,7.519999999999999,82.57627375389477,True,False,82.72601328034521,True,False,82.59342446976612,True,False,88.71434698771944,True,False,37.32132674306642,True,False,82.57627375436574,True,False,62.2681287449199,True,False
NGC0100,17,8.439999999999998,87.5,10.2,True,False,7.519999999999999,82.13753176420512,True,False,82.24885998802915,True,False,82.11350030969382,True,False,90.73211296594582,True,False,36.99872521151212,True,False,82.13753176455417,True,False,61.4280706087373,True,False
NGC0100,18,8.9,89.0,7.769999999999999,True,False,7.519999999999999,81.5722682119002,True,False,81.63865309077761,True,False,81.50186043106719,True,False,92.75197072498482,True,False,36.79381934925502,True,False,81.57226821210665,True,False,60.70531139624519,True,False
NGC0100,19,9.35,90.4,5.16,True,False,7.519999999999999,80.93688258388879,True,False,80.95448699204653,True,False,80.81734045207976,True,False,94.728337194755,True,False,36.70804903259303,True,False,80.93688258394059,True,False,60.13678526720116,True,False
NGC0100,20,9.62,91.2,13.7,True,False,7.519999999999999,80.57970186996472,True,False,80.56632794352019,True,False,80.429462320336,True,False,95.95103992644896,True,False,36.8173855286537,True,False,80.57970186991837,True,False,60.03850367690672,True,False
NGC0247,20,11.84,105.0,8.9,True,False,11.3,98.85643188390816,True,False,98.9804749743456,True,False,97.74916270603518,True,False,102.29181131980508,True,False,91.072621293329,True,False,98.98047497434486,True,False,93.0965680861533,True,False
NGC0247,21,12.38,105.0,8.4,True,False,11.3,98.76840622937524,True,False,98.91321377393108,True,False,97.52084605855404,True,False,102.87599560138236,True,False,90.2258167800057,True,False,98.91321377393024,True,False,92.23094466485796,True,False
NGC0247,22,12.91,105.0,9.0,True,False,11.3,98.3626105304582,True,False,98.52957061923176,True,False,96.9676240791733,True,False,103.14754052911974,True,False,89.00142663695982,True,False,98.52957061923084,True,False,90.97934436284234,True,False
NGC0247,23,13.48,106.0,8.4,True,False,11.3,97.68552209435124,True,False,97.87829903346363,True,False,96.12114636884743,True,False,103.25609064749948,True,False,87.36175490265289,True,False,97.87829903346264,True,False,89.30323348468727,True,False
NGC0247,24,14.01,108.0,7.7,True,False,11.3,96.96643535909882,True,False,97.18495879913112,True,False,95.23549272495563,True,False,103.230699850101,True,False,85.67750718723414,True,False,97.18495879913004,True,False,87.58155599384828,True,False
NGC0247,25,14.54,107.0,9.2,True,False,11.3,96.35560436188275,True,False,96.60115189544824,True,False,94.4525303345413,True,False,103.18023260038215,True,False,84.05524076669693,True,False,96.60115189544707,True,False,85.923237235382,True,False
NGC0289,22,55.96,172.0,11.6,True,False,52.99,172.12710667596946,True,False,172.78127796186178,True,False,171.64971899224386,True,False,179.32961092493704,True,False,106.76207164257406,True,False,172.78127759327975,True,False,158.3731286891497,True,False
NGC0289,23,59.03,168.0,12.6,True,False,52.99,169.4228707717271,True,False,169.81973951605616,True,False,168.66529897922476,True,False,178.8248154393784,True,False,103.87674498633528,True,False,169.8197391493138,True,False,154.1482232903226,True,False
NGC0289,24,62.0,158.0,5.38,True,False,52.99,166.13766120432442,True,False,166.25639188108823,True,False,165.08558297605398,True,False,177.84267412470052,True,False,100.21806831676686,True,False,166.25639151584292,True,False,148.03972495539034,True,False
NGC0289,25,65.07,158.0,6.5,True,False,52.99,162.82750781091224,True,False,162.63521174360258,True,False,161.4560414141958,True,False,176.9313587709555,True,False,96.72666798273652,True,False,162.635211380905,True,False,142.1938241155544,True,False
NGC0289,26,68.05,166.0,15.5,True,False,52.99,159.9181628169378,True,False,159.40960911329967,True,False,158.23028696300116,True,False,176.29475075258472,True,False,93.94357935907492,True,False,159.40960875426268,True,False,137.704590178901,True,False
NGC0289,27,71.12,165.0,8.75,True,False,52.99,157.01007824810225,True,False,156.1678916919816,True,False,154.99329844430346,True,False,175.69024766964893,True,False,91.28235476495536,True,False,156.16789133720462,True,False,133.4165381646979,True,False
NGC0300,20,9.96,96.2,1.5,True,False,9.53,86.16241089317369,True,False,86.16127116228044,True,False,85.55817080680059,True,False,95.7395862751121,True,False,49.30968383879439,True,False,90.43874257118452,True,False,68.18873910098145,True,False
NGC0300,21,10.45,94.8,2.1,True,False,9.53,84.7348588038073,True,False,84.46909218034214,True,False,83.86461372040684,True,False,96.3714664598406,True,False,47.70201639221936,True,False,89.60700936715742,True,False,66.04383323951095,True,False
NGC0300,22,10.93,92.5,13.9,True,False,9.53,83.33718419855724,True,False,82.80054132922345,True,False,82.19716343186037,True,False,96.96421641751007,True,False,46.192589544545726,True,False,88.79424957910638,True,False,64.04865390594773,True,False
NGC0300,23,11.32,92.8,10.6,True,False,9.53,82.17142590937013,True,False,81.40879550306266,True,False,80.80737078198403,True,False,97.40685790032732,True,False,44.9384861834712,True,False,88.10469955070835,True,False,62.416801033952034,True,False
NGC0300,24,11.8,93.5,12.1,True,False,9.53,81.11351872913012,True,False,80.07328771629555,True,False,79.4782126198686,True,False,98.11453916757756,True,False,44.10342036201655,True,False,87.60227326925394,True,False,61.22215511362305,True,False
NGC0801,10,45.8,214.0,4.7,True,False,38.74,204.0811772368857,True,False,201.885717236778,True,False,200.693281879628,True,False,208.9377140954577,True,False,159.7156524884273,True,False,201.4870329651264,True,False,178.2310069843777,True,False
NGC0801,11,52.86,216.0,2.6,True,False,38.74,196.61840004936835,True,False,191.3373280528081,True,False,190.0458107479521,True,False,204.39092441934625,True,False,149.73890297602208,True,False,191.6355654265905,True,False,167.23012323090748,True,False
NGC0801,12,59.82,216.0,8.8,True,False,38.74,192.7899127953588,True,False,184.33903063004823,True,False,183.0631394357948,True,False,203.1736277301943,True,False,144.90996994515348,True,False,185.43308046721685,True,False,162.18889798030443,True,False
NGC0891,14,14.4,217.0,2.77,True,False,13.46,214.1587418840381,True,False,214.15874188720127,True,False,214.1587418840381,True,False,222.7808465207954,True,False,126.6959086480296,True,False,214.1587418840381,True,False,186.3998758700612,True,False
NGC0891,15,15.33,216.0,4.43,True,False,13.46,209.54803333722725,True,False,209.54803334034693,True,False,209.54803333722725,True,False,221.9563489161388,True,False,123.050763290544,True,False,209.54803333722725,True,False,180.47415818683945,True,False
NGC0891,16,16.27,210.0,4.47,True,False,13.46,204.57850255707467,True,False,204.5785025601456,True,False,204.57850255707467,True,False,220.86334780812345,True,False,119.1827993719439,True,False,204.57850255707467,True,False,174.92841883996772,True,False
NGC0891,17,17.11,208.0,4.35,True,False,13.46,199.91741177694044,True,False,199.91741177996727,True,False,199.91741177694044,True,False,219.69425574567475,True,False,115.48296196041817,True,False,199.91741177694044,True,False,169.57799912545624,True,False
NGC1003,28,24.44,110.0,3.3,True,False,23.67,103.46230378770404,True,False,104.4297164818684,True,False,104.42971708832567,True,False,105.70624010837685,True,False,49.24414395507807,True,False,104.4297170873084,True,False,68.2477977652411,True,False
NGC1003,29,25.31,110.0,2.7,True,False,23.67,103.07019989448226,True,False,104.05401130011984,True,False,104.05401190891776,True,False,106.02948711084105,True,False,48.420594225225145,True,False,104.05401190789657,True,False,67.11372708242646,True,False
NGC1003,30,26.08,110.0,2.4,True,False,23.67,102.55692616161602,True,False,103.5508541965831,True,False,103.55085480710784,True,False,106.23833485981878,True,False,47.50968546945845,True,False,103.55085480608376,True,False,65.83568515874754,True,False
NGC1003,31,26.95,113.0,2.5,True,False,23.67,102.81078762382344,True,False,103.80206445757618,True,False,103.80206506386683,True,False,107.00197173226653,True,False,48.45177733502512,True,False,103.80206506284983,True,False,67.30346275018658,True,False
NGC1003,32,27.73,114.0,2.2,True,False,23.67,104.16739403675588,True,False,105.14086228313002,True,False,105.14086287818417,True,False,108.38042881756972,True,False,51.73794243323889,True,False,105.140862877186,True,False,72.20590554795476,True,False
NGC1003,33,28.6,112.0,1.7,True,False,23.67,104.14546704102447,True,False,105.10886005391684,True,False,105.108860644186,True,False,108.99641376945512,True,False,52.34484858151435,True,False,105.10886064319588,True,False,73.1578982756097,True,False
NGC1003,34,29.47,113.0,1.8,True,False,23.67,105.05516678470688,True,False,105.99590719005438,True,False,105.99590776952482,True,False,110.1768617215664,True,False,54.867133936828544,True,False,105.9959077685528,True,False,76.9094829417148,True,False
NGC1003,35,30.24,115.0,1.6,True,False,23.67,106.10724739161888,True,False,107.02320403400216,True,False,107.02320460212246,True,False,111.3678279944519,True,False,57.55156795496645,True,False,107.02320460116948,True,False,80.87734292349302,True,False
NGC1090,19,25.11,163.0,2.23,True,False,23.89,161.24407220499018,True,False,162.43368740614235,True,False,162.08493101256514,True,False,164.38529136889687,True,False,111.69135910029532,True,False,162.43368805177033,True,False,144.8088627911645,True,False
NGC1090,20,26.33,162.0,2.23,True,False,23.89,160.41049485155162,True,False,161.62371173165332,True,False,161.2419512842126,True,False,164.25625381893516,True,False,110.05219662969265,True,False,161.6237123852281,True,False,143.67845706426584,True,False
NGC1090,21,27.65,162.0,2.23,True,False,23.89,159.45500438955378,True,False,160.64033740663612,True,False,160.22981687039194,True,False,164.12299526853587,True,False,108.4719097496043,True,False,160.64033806554588,True,False,142.6180587696209,True,False
