galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,model,predicted_kms,valid_prediction,fit_failed,failure_reason,conditioning,inclination_factor,distance_ratio,residual_kms,standardized_residual,squared_standardized_error
NGC2841,16,8.9,321.0,12.7,False,True,43.08,extended,326.66070599400103,True,False,,inner_only_retrospective_prediction,1.0231572754378635,1.1448896992038589,5.6607059940010345,0.4457248814174043,0.19867066991455912
NGC2841,16,8.9,321.0,12.7,False,True,43.08,nfw,322.2411711919592,True,False,,inner_only_retrospective_prediction,0.9940603771945812,0.9863412549781828,1.2411711919592108,0.0977300151148985,0.00955115585435829
NGC2841,16,8.9,321.0,12.7,False,True,43.08,profiled_baryons,397.8528657571426,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.030581788302988,1.5957446808510638,76.85286575714258,6.051406752530912,36.61952368457672
NGC2841,16,8.9,321.0,12.7,False,True,43.08,scalar_core,326.22173381145933,True,False,,inner_only_retrospective_prediction,1.0231572754378635,1.1448896992038589,5.22173381145933,0.41116014263459294,0.1690526628912988
NGC2841,17,9.24,323.0,11.0,False,True,43.08,adaptive_primary,326.09730810614803,True,False,,conditional_inner_validation_retrospective_prediction,1.0231572754378635,1.1448896992038589,3.0973081061480343,0.28157346419527585,0.0792836157389283
NGC2841,17,9.24,323.0,11.0,False,True,43.08,baryon_only,309.24992561568433,True,False,,conditional_ablation_of_inner_fitted_core_calibration,1.0231572754378635,1.1448896992038589,-13.750074384315667,-1.250006762210515,1.5625169055720152
NGC2841,17,9.24,323.0,11.0,False,True,43.08,compact_plummer,326.11702141093,True,False,,inner_only_retrospective_prediction,1.0231572754378635,1.1448896992038589,3.117021410930022,0.28336558281182017,0.08029605352228252
NGC2841,17,9.24,323.0,11.0,False,True,43.08,extended,326.1158156716774,True,False,,inner_only_retrospective_prediction,1.0231572754378635,1.1448896992038589,3.11581567167741,0.2832559701524918,0.08023394462702933
NGC2841,17,9.24,323.0,11.0,False,True,43.08,nfw,322.34787698320315,True,False,,inner_only_retrospective_prediction,0.9940603771945812,0.9863412549781828,-0.6521230167968497,-0.059283910617895424,0.0035145820581506137
NGC2841,17,9.24,323.0,11.0,False,True,43.08,profiled_baryons,396.9881278887952,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.030581788302988,1.5957446808510638,73.98812788879519,6.726193444435927,45.241678251972836
NGC2841,17,9.24,323.0,11.0,False,True,43.08,scalar_core,325.675837844017,True,False,,inner_only_retrospective_prediction,1.0231572754378635,1.1448896992038589,2.6758378440169963,0.24325798581972694,0.05917444766507047
NGC2841,18,9.6,323.0,10.4,False,True,43.08,adaptive_primary,325.2241064260976,True,False,,conditional_inner_validation_retrospective_prediction,1.0231572754378635,1.1448896992038589,2.224106426097592,0.21385638712476843,0.04573455431405882
NGC2841,18,9.6,323.0,10.4,False,True,43.08,baryon_only,307.1383560747775,True,False,,conditional_ablation_of_inner_fitted_core_calibration,1.0231572754378635,1.1448896992038589,-15.861643925222495,-1.525158069732932,2.3261071376714835
