galaxy,model,n_outer,valid,loss,rmse_kms
NGC2903,adaptive_primary,7,True,11.697688674281519,12.882677337731119
NGC2903,baryon_only,7,True,699.8462604770842,88.96186672833267
NGC2903,compact_plummer,7,True,27.730761891557403,19.523221169794773
NGC2903,extended,7,True,11.697688678001457,12.882677339907763
NGC2903,nfw,7,True,0.5159669166352362,2.990243065323565
NGC2903,profiled_baryons,7,True,230.69528933407076,51.862009815112536
NGC2903,scalar_core,7,True,25.240265727065484,18.73637083008811
NGC2915,adaptive_primary,6,True,5.866557480040799,14.300655549390857
NGC2915,baryon_only,6,True,104.58644171918338,62.387938664151825
NGC2915,compact_plummer,6,True,5.866557480040799,14.300655549390857
NGC2915,extended,6,True,5.866557480040799,14.300655549390857
NGC2915,nfw,6,True,0.07146935079341295,1.6682387205591047
NGC2915,profiled_baryons,6,True,48.953513841448334,42.48711255094967
NGC2915,scalar_core,6,True,5.866557488673027,14.300655560261607
NGC2955,adaptive_primary,5,True,5.750789570490722,30.052470032472623
NGC2955,baryon_only,5,True,45.31680748609867,88.57500637106679
NGC2955,compact_plummer,5,True,5.750789569368691,30.05247002942487
NGC2955,extended,5,True,5.750789569368516,30.052470029424402
NGC2955,nfw,5,True,30.775505050546986,65.96997294470005
NGC2955,profiled_baryons,5,True,13.421186841925834,47.75988015546244
NGC2955,scalar_core,5,True,5.750786497668459,30.052461685819917
NGC2976,adaptive_primary,6,True,0.4412693706636886,3.1503214666443777
NGC2976,baryon_only,6,True,29.954704141595855,23.550576461550932
NGC2976,compact_plummer,6,True,0.44126937027530433,3.1503214653784632
NGC2976,extended,6,True,0.4412693706636886,3.1503214666443777
NGC2976,nfw,6,True,1.4434228884469575,5.629923172684181
NGC2976,profiled_baryons,6,True,1.4434258557539483,5.629928659291632
NGC2976,scalar_core,6,True,0.44126937097561614,3.150321467661085
NGC2998,adaptive_primary,3,True,12.505503487097421,10.11243543530326
NGC2998,baryon_only,3,True,525.6254481170012,59.349893224826914
NGC2998,compact_plummer,3,True,12.505503487097421,10.11243543530326
NGC2998,extended,3,True,12.505503489247412,10.112435436102334
NGC2998,nfw,3,True,7.761412502661423,7.47142617271674
NGC2998,profiled_baryons,3,True,110.9870771978542,28.52041756650575
NGC2998,scalar_core,3,True,12.505503971775752,10.11243561543953
