galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,model,predicted_kms,valid_prediction,fit_failed,failure_reason,conditioning,inclination_factor,distance_ratio,residual_kms,standardized_residual,squared_standardized_error
NGC4183,20,18.93,110.0,5.3,True,False,16.03,compact_plummer,91.27502625490796,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-18.724973745092043,-3.5330139141683103,12.482187317706884
NGC4183,20,18.93,110.0,5.3,True,False,16.03,extended,105.16100976155232,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-4.838990238447678,-0.9130170261222035,0.8336000899890323
NGC4183,20,18.93,110.0,5.3,True,False,16.03,nfw,106.90730695692952,True,False,,inner_only_retrospective_prediction,1.000030736838863,1.012198387582516,-3.092693043070483,-0.5835269892585817,0.34050374719318494
NGC4183,20,18.93,110.0,5.3,True,False,16.03,profiled_baryons,86.58465160025011,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.0014795065002549,1.4592569055998523,-23.415348399749888,-4.417990264103753,19.518637973715546
NGC4183,20,18.93,110.0,5.3,True,False,16.03,scalar_core,92.71177511357858,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-17.288224886421418,-3.2619292238530977,10.640182261426872
NGC4183,21,19.97,112.0,10.2,True,False,16.03,adaptive_primary,101.5577743715946,True,False,,conditional_inner_validation_retrospective_prediction,1.0003161403976093,1.1163313105555883,-10.442225628405396,-1.0237476106279801,1.0480591702664985
NGC4183,21,19.97,112.0,10.2,True,False,16.03,baryon_only,58.66375510973997,True,False,,conditional_ablation_of_inner_fitted_core_calibration,1.0003161403976093,1.1163313105555883,-53.33624489026003,-5.22904361669216,27.342897145269028
NGC4183,21,19.97,112.0,10.2,True,False,16.03,compact_plummer,88.7762028304328,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-23.223797169567206,-2.276842859761491,5.184013408046885
NGC4183,21,19.97,112.0,10.2,True,False,16.03,extended,103.99119670746724,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-8.008803292532761,-0.7851767933855649,0.6165025968712381
NGC4183,21,19.97,112.0,10.2,True,False,16.03,nfw,106.02669966818388,True,False,,inner_only_retrospective_prediction,1.000030736838863,1.012198387582516,-5.9733003318161195,-0.5856176795898157,0.34294806664816
NGC4183,21,19.97,112.0,10.2,True,False,16.03,profiled_baryons,84.10705664540956,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.0014795065002549,1.4592569055998523,-27.892943354590443,-2.73460228966573,7.478049682645052
NGC4183,21,19.97,112.0,10.2,True,False,16.03,scalar_core,90.1705217260736,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-21.829478273926398,-2.1401449288163135,4.580220316338184
NGC4183,22,21.02,113.0,11.5,True,False,16.03,adaptive_primary,100.61260940180988,True,False,,conditional_inner_validation_retrospective_prediction,1.0003161403976093,1.1163313105555883,-12.387390598190123,-1.0771643998426195,1.1602831442883106
NGC4183,22,21.02,113.0,11.5,True,False,16.03,baryon_only,57.47613590371495,True,False,,conditional_ablation_of_inner_fitted_core_calibration,1.0003161403976093,1.1163313105555883,-55.52386409628505,-4.828162095329135,23.31114921877302
NGC4183,22,21.02,113.0,11.5,True,False,16.03,compact_plummer,86.74519619598925,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-26.25480380401075,-2.283026417740065,5.212209624099034
NGC4183,22,21.02,113.0,11.5,True,False,16.03,extended,103.1606011213036,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-9.8393988786964,-0.8555999024953391,0.7320511931500339
NGC4183,22,21.02,113.0,11.5,True,False,16.03,nfw,105.41795149606683,True,False,,inner_only_retrospective_prediction,1.000030736838863,1.012198387582516,-7.582048503933166,-0.6593085655594058,0.43468778462000124
NGC4183,22,21.02,113.0,11.5,True,False,16.03,profiled_baryons,82.16072950741382,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.0014795065002549,1.4592569055998523,-30.83927049258618,-2.681675695007494,7.191384533193927
NGC4183,22,21.02,113.0,11.5,True,False,16.03,scalar_core,88.09482190840862,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-24.90517809159138,-2.165667660138381,4.69011641416925
NGC4217,15,13.94,179.0,6.85,True,False,13.12,adaptive_primary,178.35242625332526,True,False,,conditional_inner_validation_retrospective_prediction,0.9998410800604624,0.5683735846890565,-0.6475737466747375,-0.09453631338317336,0.008937114548081564
NGC4217,15,13.94,179.0,6.85,True,False,13.12,baryon_only,81.56909373305156,True,False,,conditional_ablation_of_inner_fitted_core_calibration,0.9998410800604624,0.5683735846890565,-97.43090626694844,-14.223489965977874,202.30766681227328
NGC4217,15,13.94,179.0,6.85,True,False,13.12,compact_plummer,178.35242629502727,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-0.6475737049727286,-0.09453630729528885,0.008937113397029284
NGC4217,15,13.94,179.0,6.85,True,False,13.12,extended,178.35242629502727,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-0.6475737049727286,-0.09453630729528885,0.008937113397029284
NGC4217,15,13.94,179.0,6.85,True,False,13.12,nfw,195.0482883877875,True,False,,inner_only_retrospective_prediction,0.9998688534612276,0.7143009358161881,16.048288387787494,2.342815823034671,5.488785980661623
NGC4217,15,13.94,179.0,6.85,True,False,13.12,profiled_baryons,148.63250276366912,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.0002334171595673,1.3107826375318017,-30.367497236330877,-4.43321127537677,19.653362212127732
NGC4217,15,13.94,179.0,6.85,True,False,13.12,scalar_core,178.3524262950978,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-0.6475737049021859,-0.09453630728499064,0.008937113395082175
NGC4217,16,14.86,177.0,7.25,True,False,13.12,adaptive_primary,174.2836743320751,True,False,,conditional_inner_validation_retrospective_prediction,0.9998410800604624,0.5683735846890565,-2.716325667924906,-0.37466560936895255,0.14037431884380855
NGC4217,16,14.86,177.0,7.25,True,False,13.12,baryon_only,78.9177338631184,True,False,,conditional_ablation_of_inner_fitted_core_calibration,0.9998410800604624,0.5683735846890565,-98.0822661368816,-13.528588432673324,183.02270498066247
NGC4217,16,14.86,177.0,7.25,True,False,13.12,compact_plummer,174.2836743730385,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-2.716325626961492,-0.37466560371882646,0.1403743146099927
