galaxy,model,n_outer,n_valid,fit_failed,failure_reason
UGC02953,nfw,23,23,False,
UGC02953,profiled_baryons,23,23,False,
UGC02953,scalar_core,23,23,False,
UGC03205,adaptive_primary,10,10,False,
UGC03205,baryon_only,10,10,False,
UGC03205,compact_plummer,10,10,False,
UGC03205,extended,10,10,False,
UGC03205,nfw,10,10,False,
UGC03205,profiled_baryons,10,10,False,
UGC03205,scalar_core,10,10,False,
UGC03546,adaptive_primary,6,6,False,
UGC03546,baryon_only,6,6,False,
UGC03546,compact_plummer,6,6,False,
UGC03546,extended,6,6,False,
UGC03546,nfw,6,6,False,
UGC03546,profiled_baryons,6,6,False,
UGC03546,scalar_core,6,6,False,
UGC03580,adaptive_primary,10,10,False,
UGC03580,baryon_only,10,10,False,
UGC03580,compact_plummer,10,10,False,
UGC03580,extended,10,10,False,
UGC03580,nfw,10,10,False,
UGC03580,profiled_baryons,10,10,False,
UGC03580,scalar_core,10,10,False,
UGC04278,adaptive_primary,5,5,False,
UGC04278,baryon_only,5,5,False,
UGC04278,compact_plummer,5,5,False,
UGC04278,extended,5,5,False,
UGC04278,nfw,5,5,False,
UGC04278,profiled_baryons,5,5,False,
UGC04278,scalar_core,5,5,False,
UGC04325,adaptive_primary,2,2,False,
UGC04325,baryon_only,2,2,False,
UGC04325,compact_plummer,2,2,False,
UGC04325,extended,2,2,False,
UGC04325,nfw,2,2,False,
UGC04325,profiled_baryons,2,2,False,
UGC04325,scalar_core,2,2,False,
UGC04483,adaptive_primary,2,2,False,
UGC04483,baryon_only,2,2,False,
UGC04483,compact_plummer,2,2,False,
UGC04483,extended,2,2,False,
UGC04483,nfw,2,2,False,
UGC04483,profiled_baryons,2,2,False,
UGC04483,scalar_core,2,2,False,
UGC04499,adaptive_primary,2,2,False,
UGC04499,baryon_only,2,2,False,
UGC04499,compact_plummer,2,2,False,
UGC04499,extended,2,2,False,
UGC04499,nfw,2,2,False,
UGC04499,profiled_baryons,2,2,False,
UGC04499,scalar_core,2,2,False,
UGC05005,adaptive_primary,3,3,False,
UGC05005,baryon_only,3,3,False,
UGC05005,compact_plummer,3,3,False,
UGC05005,extended,3,3,False,
UGC05005,nfw,3,3,False,
UGC05005,profiled_baryons,3,3,False,
UGC05005,scalar_core,3,3,False,
UGC05253,adaptive_primary,15,15,False,
UGC05253,baryon_only,15,15,False,
UGC05253,compact_plummer,15,15,False,
UGC05253,extended,15,15,False,
UGC05253,nfw,15,15,False,
UGC05253,profiled_baryons,15,15,False,
UGC05253,scalar_core,15,15,False,
UGC05716,adaptive_primary,3,3,False,
UGC05716,baryon_only,3,3,False,
UGC05716,compact_plummer,3,3,False,
UGC05716,extended,3,3,False,
UGC05716,nfw,3,3,False,
UGC05716,profiled_baryons,3,3,False,
UGC05716,scalar_core,3,3,False,
UGC05721,adaptive_primary,5,5,False,
UGC05721,baryon_only,5,5,False,
UGC05721,compact_plummer,5,5,False,
UGC05721,extended,5,5,False,
UGC05721,nfw,5,5,False,
UGC05721,profiled_baryons,5,5,False,
UGC05721,scalar_core,5,5,False,
UGC05750,adaptive_primary,3,3,False,
UGC05750,baryon_only,3,3,False,
UGC05750,compact_plummer,3,3,False,
UGC05750,extended,3,3,False,
UGC05750,nfw,3,3,False,
UGC05750,profiled_baryons,3,3,False,
UGC05750,scalar_core,3,3,False,
UGC05764,adaptive_primary,2,2,False,
UGC05764,baryon_only,2,2,False,
UGC05764,compact_plummer,2,2,False,
UGC05764,extended,2,2,False,
UGC05764,nfw,2,2,False,
UGC05764,profiled_baryons,2,2,False,
UGC05764,scalar_core,2,2,False,
UGC05829,adaptive_primary,3,3,False,
UGC05829,baryon_only,3,3,False,
UGC05829,compact_plummer,3,3,False,
UGC05829,extended,3,3,False,
UGC05829,nfw,3,3,False,
UGC05829,profiled_baryons,3,3,False,
UGC05829,scalar_core,3,3,False,
UGC05918,adaptive_primary,2,2,False,
UGC05918,baryon_only,2,2,False,
UGC05918,compact_plummer,2,2,False,
UGC05918,extended,2,2,False,
UGC05918,nfw,2,2,False,
UGC05918,profiled_baryons,2,2,False,
UGC05918,scalar_core,2,2,False,
