galaxy,model,T,group,Rmax_over_Rdisk,mass_fraction_first_test,mass_fraction_last,median_halo_slope_outer,mean_fractional_residual,median_fractional_residual,median_standardized_residual,last_fractional_residual,last_required_additional_enclosed_over_fitted,last_remaining_mass_over_enclosed,last_shortfall_exceeds_all_remaining_mass,last_halo_required_positive,last_spherical_same_mass_max_speed,last_observed_speed,last_quoted_error,last_capacity_margin_over_observed_squared,outer_baryon_fraction,eta,guard_active
NGC2955,variable_core,3,spiral_T1_9,1.8885927505330489,0.9292071451075911,0.999991151148489,-0.46316203828056235,0.01947981528115114,0.011606454544614807,0.2167676069361883,0.010464068463954394,-0.034889428827140447,8.848929813787265e-06,False,True,229.37594287432742,227.0,11.2,-0.02104296938591305,0.4180574656247987,3.964428174814712,False
NGC2976,variable_core,5,spiral_T1_9,2.2475247524752477,0.17303609217285715,0.4337303664766232,0.7465586860147533,0.02811604640637211,0.023824715092274004,0.4194840630011909,0.0632508034938641,-0.19604085401297405,1.3055798654897663,False,True,120.62073405281298,85.3,5.36,-0.9996126330817015,0.5393793433269759,2.488070371388081,False
NGC2998,variable_core,5,spiral_T1_9,6.819354838709677,0.5992885873368472,0.8774541672606733,0.2019671492786701,0.022057974353935677,0.017668006588317967,1.8816427016558634,0.03718286957599321,-0.1284990684779382,0.13966066526517618,False,True,218.45631690101786,203.0,3.0,-0.15807620650726628,0.49826746309755354,2.838303665881983,False
NGC3109,variable_core,9,spiral_T1_9,4.134615384615385,0.6131973208737742,0.751764992782678,0.0824767958937378,-0.04938705138184588,-0.04856460014830195,-0.9505010047062279,-0.061953481793699604,0.15415242520359423,0.3302029352264375,False,True,71.76607261764009,67.3,3.0,-0.1371250635221834,0.10640897325973572,3.1726196587576383e-18,False
NGC3198,variable_core,5,spiral_T1_9,14.038216560509554,0.9087008651965912,0.9954615317858219,-0.4229729917709646,-0.10341892600654731,-0.10610794805633035,-7.851988156168446,-0.17614839213800013,0.7502241753556371,0.0045591598160867886,True,True,122.93031340259134,149.0,3.0,0.3193161590352089,0.27863526253142906,1.5299450772925405e-15,False
NGC3521,variable_core,4,spiral_T1_9,7.391666666666667,3.451242992896596e-07,8.874408785242717e-06,0.999952717721242,-0.06353642443401505,-0.06209962565700881,-0.8555468753588373,0.015040039900645449,-0.04476329129328167,112682.56283777498,False,True,56898.89596182554,206.0,10.7,-76289.98787997566,0.6275802105531966,999.9997641595172,True
NGC3726,variable_core,5,spiral_T1_9,9.564705882352943,0.6358530425319182,0.7666164438068983,0.05426558610410748,-0.12067528415599321,-0.12593713420185634,-1.6997908914567086,-0.12884000725754524,0.4991316983543315,0.30443327700375855,True,True,158.95389473168277,167.0,15.2,0.094039203615372,0.2932787378588915,2.7821371961514073e-24,False
NGC3741,variable_core,10,irregular_T10_11,35.0,0.8273383982417604,0.9598716442870917,-0.27481580280486195,-0.14388545706389383,-0.14388599909783886,-3.0096154811297966,-0.20394814944352846,0.6577751067836042,0.041805960152841104,True,True,41.824002081185704,51.6,3.24,0.3430205703957746,0.08691520119394422,8.033331328653619e-19,False
NGC3769,variable_core,3,spiral_T1_9,10.994082840236686,0.9999795116898784,0.9999987869389831,-0.49995657820378625,-0.3215706556820976,-0.32143195997312846,-3.711281823083715,-0.32143195997312846,1.7290285925255942,1.2130624884587604e-06,True,True,76.67822004142191,113.0,10.5,0.5395450365165074,0.14840340349842704,0.2497117164983074,False
NGC3877,variable_core,5,spiral_T1_9,4.486166007905139,0.9833790522210428,0.9963946692881785,-0.4635536260222395,-0.07102146403637054,-0.07204065727094426,-2.148581006326408,-0.09629586001463744,0.4210102175467032,0.0036183761544981152,True,True,152.87324761402678,169.0,7.0,0.18174329203951034,0.39663372459810414,0.510988345071806,False
NGC3893,variable_core,5,spiral_T1_9,8.004201680672269,0.9625430063484803,0.9800214463305532,-0.40532336838913774,-0.056020562442477335,-0.056020562442477335,-0.7760474989207415,-0.049884643017270934,0.16921808913889588,0.020385833130745823,True,True,159.6959000514899,167.0,13.5,0.08556131473859048,0.3238001079782341,3.9872653107652756e-17,False
NGC3917,variable_core,6,spiral_T1_9,5.650190114068441,0.9212644032425009,0.9748298832332867,-0.36230408784559964,-0.07852850663961274,-0.08029314397426075,-1.9553573169319183,-0.11436014207148838,0.3802569384201405,0.025820009418699552,True,True,122.45994440239487,137.0,7.5,0.20099962794833812,0.24023647889713307,3.173686387402074e-17,False
NGC3953,variable_core,4,spiral_T1_9,3.206543967280164,0.9829148542418946,0.993216663840137,-0.45409290453490847,-0.0632248789466483,-0.0632248789466483,-1.8037812573047334,-0.07116052474296149,0.5032190460026217,0.00682966406708907,True,True,199.91596920884288,215.0,9.7,0.13539438086076774,0.6013743873621744,5.623130104684553e-17,False
NGC3972,variable_core,4,spiral_T1_9,4.0,0.884578362471829,0.9295176908727716,-0.2629647753817077,-0.10777548474628837,-0.10777548474628837,-2.698338045824391,-0.12298433961788699,0.4863100533481522,0.07582675383084858,True,True,120.23841761868243,134.0,4.9,0.1948497955310379,0.30805437974477157,6.433213358169856e-15,False
NGC3992,variable_core,4,spiral_T1_9,9.278225806451614,0.5055582591528539,0.5925344389272353,0.2566177352768262,-0.012980491164602054,-0.012980491164602054,-0.42797113361456407,-0.013540932173162013,0.05500092244633794,0.6876656179014136,False,True,271.1976195007448,237.0,8.6,-0.30940819353862026,0.5056143801892232,1.3318829541785625e-12,False
NGC4010,variable_core,7,spiral_T1_9,3.725978647686833,0.33983738213318054,0.5093577830821646,0.6051784922347925,0.1500972267822668,0.1550955912349958,3.7709516300273496,0.2059433642611061,-0.4087144681515799,0.963256542285307,False,True,193.8606607518633,122.0,3.9,-1.5249903108807465,0.35845762595514596,2.526033966281225,False
NGC4013,variable_core,3,spiral_T1_9,8.784702549575071,0.4701864755227665,0.6188150984932138,0.25966055415424516,-0.019777705284554963,-0.029103612541793226,-0.8393114156979806,0.022925932926515416,-0.06151085313248065,0.6159915981929882,False,True,208.95606650657717,170.0,10.0,-0.5108179145294501,0.2915544190233874,4.0390509102124164e-15,False
