r_over_L,u,u_prime,initial_vc_over_vs,gravity_acceleration_L_over_vs2,internal_stress_acceleration_L_over_vs2,initial_delta_vc2_over_t2,delta_vc2_t015,delta_vc2_t030,delta_vc2_over_t2_t015,delta_vc2_over_t2_t030,required_confinement_mass_over_core_mass,required_confinement_density
2.051188986232790779e+00,5.116955719047481255e-01,-3.193939815706552943e-01,8.135467112855959693e-01,-3.226705368865968038e-01,1.053399170534348971e-02,-2.828733083039603347e-03,-6.388853094261904870e-05,-2.583652342917324286e-04,-2.839490264116402429e-03,-2.870724825463693772e-03,1.670144765501032497e-02,1.262138334579042745e-03
2.061170212765957466e+00,5.085113295347805096e-01,-3.186497810511598194e-01,8.148499735115161124e-01,-3.221376261015820863e-01,1.044404760633248566e-02,-2.783261238718621241e-03,-6.286731674166981835e-05,-2.543086793664724394e-04,-2.794102966296436660e-03,-2.825651992960804930e-03,1.672038798688552097e-02,1.120722911410829831e-03
2.071151439299123709e+00,5.053345910536123364e-01,-3.178904178350202558e-01,8.161294637780115435e-01,-3.215927570569062088e-01,1.035406887727279707e-02,-2.738110457661263250e-03,-6.185305255126205364e-05,-2.502765970672583330e-04,-2.749024557833869026e-03,-2.780851078525092661e-03,1.673726731714285029e-02,9.824562264454071714e-04
2.081132665832290396e+00,5.021655067007461115e-01,-3.171161129092336384e-01,8.173853251276055332e-01,-3.210361264820020821e-01,1.026407395379494610e-02,-2.693291119425018487e-03,-6.084597988678535111e-05,-2.462700403699735708e-04,-2.704265772746015581e-03,-2.736333781888595183e-03,1.675209385211526639e-02,8.473082989289715955e-04
2.091113892365456639e+00,4.990042245090528517e-01,-3.163270874958304391e-01,8.186177016243726401e-01,-3.204679304457765943e-01,1.017408097939583381e-02,-2.648813165170356421e-03,-5.984633043596435326e-05,-2.422900236952440763e-04,-2.659836908265082560e-03,-2.692111374391601124e-03,1.676487645839143045e-02,7.152487055201335597e-04
2.101095118898623326e+00,4.958508903025268810e-01,-3.155235630001769764e-01,8.198267383211250703e-01,-3.198883643204939453e-01,1.008410780373813348e-02,-2.604686101777725724e-03,-5.885432611080559185e-05,-2.383375228419643357e-04,-2.615747827146915495e-03,-2.648194698244048066e-03,1.677562465079712392e-02,5.862466015675079495e-04
2.111076345431789569e+00,4.927056476940417928e-01,-3.147057609597644912e-01,8.210125812264846834e-01,-3.192976227462326344e-01,9.994171981103848815e-03,-2.560919006238852359e-03,-5.787017920431738056e-05,-2.344134755536072558e-04,-2.572007964636328133e-03,-2.604594172817858554e-03,1.678434858014471801e-02,4.602707421825658757e-04
2.121057571964956256e+00,4.895686380848411345e-01,-3.138739029934307645e-01,8.221753772726206888e-01,-3.186958995965171737e-01,9.904290769033149283e-03,-2.517520530336083296e-03,-5.689409239858890326e-05,-2.305187814859549998e-04,-2.528626328826173719e-03,-2.561319794288388803e-03,1.679105902081826085e-02,3.372895031818114869e-04
2.131038798498122500e+00,4.864400006642500274e-01,-3.130282107511770939e-01,8.233152742830717186e-01,-3.180833879446643420e-01,9.814481127120203152e-03,-2.474498905573470700e-03,-5.592625887972560547e-05,-2.266543026227899613e-04,-2.485611505765582610e-03,-2.518381140253221889e-03,1.679576735816382463e-02,2.172709018083609361e-04
2.141020025031289187e+00,4.833198724095041365e-01,-3.121689058645420456e-01,8.244324209405672343e-01,-3.174602800307725348e-01,9.724759715960165640e-03,-2.431861948345014068e-03,-5.496686247392470527e-05,-2.228208636392097733e-04,-2.442971665507764727e-03,-2.475787373768997650e-03,1.679848557569079207e-02,1.001826172233894613e-04
