analysis,split,left_model,right_model,galaxy,n_points,left_loss,right_loss,delta_left_minus_right,outcome
guard_0.001,holdout,variable_core,nfw,NGC2403,15,139.85871510463977,18.99455281242652,120.86416229221325,right_win
guard_0.001,holdout,variable_core,nfw,NGC2683,3,5.03111806073449,0.0413180419005061,4.989800018833984,right_win
guard_0.001,holdout,variable_core,nfw,NGC2841,10,53.20682499836983,23.495498710578254,29.71132628779158,right_win
guard_0.001,holdout,variable_core,nfw,NGC2903,7,22.62180093208804,0.5159669166352349,22.105834015452803,right_win
guard_0.001,holdout,variable_core,nfw,NGC2915,6,5.511385320184154,0.0714693507934134,5.43991596939074,right_win
guard_0.001,holdout,variable_core,nfw,NGC2955,5,0.2202153524183045,30.775505050547,-30.555289698128696,left_win
guard_0.001,holdout,variable_core,nfw,NGC2976,6,0.3692232492334857,1.443422888446959,-1.0741996392134734,left_win
guard_0.001,holdout,variable_core,nfw,NGC2998,3,3.505784798025441,7.761412502661396,-4.255627704635955,left_win
guard_0.001,holdout,variable_core,nfw,NGC3109,5,1.1383292959498763,5.035835746587408,-3.897506450637532,left_win
guard_0.001,holdout,variable_core,nfw,NGC3198,9,55.195695811376325,3.408432884001521,51.787262927374805,right_win
guard_0.001,holdout,variable_core,nfw,NGC3521,9,2.1314550302136586,18.67953925584569,-16.54808422563203,left_win
guard_0.001,holdout,variable_core,nfw,NGC3726,3,2.974860197120216,0.6496500528630564,2.3252101442571598,right_win
guard_0.001,holdout,variable_core,nfw,NGC3741,5,8.0098538464969,0.7383936268785158,7.271460219618385,right_win
guard_0.001,holdout,variable_core,nfw,NGC3769,3,13.269464092008972,0.0660393535884965,13.203424738420475,right_win
guard_0.001,holdout,variable_core,nfw,NGC3877,3,4.152602056579305,2.7984025489320525,1.3541995076472522,right_win
guard_0.001,holdout,variable_core,nfw,NGC3893,2,0.6275167270211841,1.046760436421066,-0.419243709399882,left_win
guard_0.001,holdout,variable_core,nfw,NGC3917,4,4.19455624289571,0.0739861410851046,4.120570101810605,right_win
guard_0.001,holdout,variable_core,nfw,NGC3953,2,3.3049344625290478,0.0952702019827077,3.20966426054634,right_win
