x,f,f_prime,phi,phi_prime,radial_mass_integral
10.91875,5.221103643718338e-05,-6.124457180862998e-05,-0.2430397355034854,0.02225893278723063,2.653689968633616
10.92,5.213453639281685e-05,-6.115552132753401e-05,-0.2430119150224448,0.02225383717277429,2.653689969039305
10.92125,5.205814758041198e-05,-6.106659914533939e-05,-0.2429841009098245,0.02224874330787368,2.653689969443899
10.9225,5.198186984020731e-05,-6.097780507980804e-05,-0.2429562931634404,0.02224365119172899,2.653689969847401
10.92375,5.190570301273891e-05,-6.088913894903644e-05,-0.2429284917811096,0.02223856082354099,2.653689970249813
10.925,5.182964693854319e-05,-6.080060057112153e-05,-0.2429006967606489,0.02223347220251046,2.653689970651139
10.92625,5.175370145815657e-05,-6.071218976416025e-05,-0.2428729080998756,0.02222838532783818,2.65368997105138
10.9275,5.167786641211514e-05,-6.062390634624912e-05,-0.2428451257966067,0.02222330019872493,2.653689971450541
10.92875,5.160214164095533e-05,-6.053575013548509e-05,-0.2428173498486591,0.02221821681437148,2.653689971848624
10.93,5.152652698521355e-05,-6.044772094996504e-05,-0.2427895802538501,0.02221313517397863,2.653689972245632
10.93125,5.145102228573414e-05,-6.035981860813241e-05,-0.2427618170099979,0.02220805527674773,2.653689972641569
10.9325,5.137562738456768e-05,-6.027204292978774e-05,-0.2427340601149263,0.02220297712188264,2.653689973036435
10.93375,5.130034212405941e-05,-6.018439373506311e-05,-0.2427063095664602,0.02219790070858777,2.653689973430236
10.935,5.122516634655425e-05,-6.009687084409022e-05,-0.2426785653624249,0.02219282603606755,2.653689973822973
10.93625,5.115009989439759e-05,-6.000947407700128e-05,-0.2426508275006451,0.02218775310352641,2.653689974214649
10.9375,5.107514260993434e-05,-5.992220325392798e-05,-0.242623095978946,0.02218268191016875,2.653689974605267
10.93875,5.100029433550976e-05,-5.983505819500242e-05,-0.2425953707951526,0.02217761245519901,2.653689974994831
10.94,5.09255549134691e-05,-5.974803872035666e-05,-0.24256765194709,0.02217254473782163,2.653689975383342
10.94125,5.085092418646209e-05,-5.966114465046546e-05,-0.2425399394325844,0.02216747875724163,2.653689975770804
10.9425,5.07764019983312e-05,-5.957437580714579e-05,-0.2425122332494676,0.02216241451266646,2.653689976157219
10.94375,5.070198819321028e-05,-5.948773201254253e-05,-0.2424845333955725,0.02215735200330419,2.653689976542591
10.945,5.062768261523286e-05,-5.940121308880015e-05,-0.242456839868732,0.02215229122836284,2.653689976926922
10.94625,5.055348510853279e-05,-5.93148188580635e-05,-0.2424291526667792,0.02214723218705049,2.653689977310214
10.9475,5.04793955172439e-05,-5.922854914247747e-05,-0.2424014717875471,0.0221421748785752,2.653689977692472
