r_dimensionless,u,u_prime,phi,phi_prime,enclosed_mass_integral
0.12,0.9976174084399372,-0.03965824064414286,-1.612957354054935,0.0398856904866158,0.000574353942996403
0.1212,0.9975695818519359,-0.04005272900460859,-1.612909253295173,0.04028223100617727,0.0005917234155026421
0.1224,0.9975212819152831,-0.04044715496276799,-1.612860676728107,0.04067870254982368,0.0006094385587017899
0.1236,0.9974725087052305,-0.04084151790604755,-1.612811624436913,0.04107510444302342,0.0006275027276445302
0.1248,0.9974232622977628,-0.04123581722202888,-1.612762096505577,0.04147143601149141,0.0006459192747251344
0.126,0.997373542769597,-0.04163005229845014,-1.612712093018889,0.04186769658119135,0.0006646915509969866
0.1272,0.9973233501981861,-0.04202422252320843,-1.61266161406245,0.04226388547833944,0.0006838229048063663
0.1284,0.9972726846617226,-0.04241832728436209,-1.612610659722675,0.042660002029408,0.0007033166831333422
0.1296,0.9972215462391321,-0.0428123659701308,-1.612559230086785,0.04305604556112567,0.0007231762302002669
0.1308,0.9971699350100717,-0.04320633796889693,-1.612507325242808,0.04345201540047945,0.0007434048888379966
0.132,0.99711785105493,-0.04360024266920699,-1.612454945279574,0.04384791087471696,0.0007640059990691437
0.1332,0.9970652944548295,-0.04399407945977358,-1.612402090286723,0.04424373131134959,0.0007849828994995815
0.1344,0.997012265291631,-0.04438784772947831,-1.612348760354707,0.04463947603815696,0.0008063389258764944
0.1356,0.9969587636479289,-0.04478154686737194,-1.612294955574782,0.04503514438318728,0.0008280774125051255
0.1368,0.9969047896070479,-0.04517517626267545,-1.61224067603901,0.04543073567475889,0.0008502016907816709
0.138,0.9968503432530439,-0.04556873530478155,-1.612185921840257,0.0458262492414626,0.000872715090635228
0.1392,0.9967954246707033,-0.0459622233832563,-1.61213069307219,0.04622168441216434,0.000895620939035573
0.1404,0.9967400339455502,-0.04635563988784226,-1.612074989829291,0.04661704051600997,0.0009189225614602685
0.1416,0.9966841711638427,-0.04674898420845905,-1.612018812206843,0.04701231688242637,0.0009426232803773724
0.1428,0.996627836412568,-0.04714225573520416,-1.611962160300937,0.04740751284112231,0.0009667264167376601
0.144,0.9965710297794436,-0.04753545385835423,-1.61190503420846,0.04780262772209086,0.0009912352884323063
0.1452,0.9965137513529156,-0.04792857796836673,-1.611847434027105,0.04819766085561166,0.001016153211810177
0.1464,0.9964560012221659,-0.04832162745588281,-1.611789359855371,0.04859261157225561,0.001041483500110535
0.1476,0.9963977794771103,-0.04871460171172879,-1.611730811792562,0.04898747920288716,0.001067229465005357
0.1488,0.9963390862083935,-0.04910750012691633,-1.611671789938785,0.04938226307866442,0.001093394415007104
0.15,0.996279921507389,-0.04950032209264385,-1.611612294394946,0.04977696253104152,0.001119981657036017
0.1512,0.9962202854661978,-0.04989306700029802,-1.611552325262751,0.05017157689177082,0.001146994494803008
0.1524,0.9961601781776535,-0.05028573424145634,-1.611491882644708,0.050566105492907,0.001174436230401881
0.1536,0.996099599735324,-0.05067832320788942,-1.611430966644134,0.05096054766681059,0.001202310162667392
0.1548,0.9960385502335061,-0.05107083329156088,-1.611369577365144,0.05135490274614782,0.00123061958879235
0.156,0.9959770297672231,-0.05146326388462862,-1.611307714912651,0.05174917006389254,0.001259367802660891
0.1572,0.9959150384322261,-0.05185561437944631,-1.611245379392366,0.05214334895332856,0.001288558096490422
0.1584,0.9958525763249947,-0.05224788416856552,-1.611182570910801,0.05253743874805289,0.001318193759140144
0.1596,0.9957896435427428,-0.05264007264473868,-1.611119289575271,0.05293143878198058,0.001348278077777794
0.1608,0.9957262401834129,-0.05303217920091911,-1.611055535493892,0.0533253483893444,0.001378814336163478
0.162,0.9956623663456732,-0.05342420323026185,-1.610991308775575,0.05371916690469641,0.001409805816341147
0.1632,0.9955980221289177,-0.05381614412612527,-1.610926609530028,0.05411289366291028,0.001441255796897799
0.1644,0.9955332076332674,-0.05420800128207275,-1.610861437867754,0.05450652799918398,0.001473167554679639
0.1656,0.9954679229595758,-0.0545997740918761,-1.610795793900061,0.05490006924904506,0.001505544363026698
0.1668,0.9954021682094245,-0.05499146194951588,-1.610729677739053,0.05529351674835113,0.001538389493513627
0.168,0.9953359434851209,-0.05538306424918197,-1.610663089497631,0.05568686983329073,0.001571706214159789
0.1692,0.9952692488896959,-0.05577458038527501,-1.610596029289489,0.05608012784038557,0.001605497791194633
0.1704,0.995202084526906,-0.056166009752408,-1.610528497229113,0.05647329010649294,0.001639767487243305
0.1716,0.9951344505012371,-0.05655735174540952,-1.610460493431792,0.05686635596881078,0.001674518563116561
0.1728,0.9950663469179047,-0.056948605759325,-1.61039201801361,0.05725932476487956,0.00170975427597195
0.174,0.994997773882848,-0.05733977118941669,-1.610323071091447,0.05765219583258231,0.001745477881128203
0.1752,0.9949287315027292,-0.05773084743116508,-1.610253652782972,0.05804496851014673,0.001781692630202049
0.1764,0.9948592198849335,-0.05812183388027047,-1.610183763206647,0.05843764213614756,0.00181840177294703
0.1776,0.9947892391375734,-0.05851272993265573,-1.610113402481729,0.05883021604951091,0.001855608555365998
0.1788,0.9947187893694912,-0.05890353498446854,-1.610042570728273,0.0592226895895178,0.001893316221574303
0.18,0.9946478706902511,-0.05929424843208108,-1.609971268067126,0.05961506209580351,0.00193152801188803
0.1812,0.9945764832101401,-0.05968486967209125,-1.609899494619924,0.06000733290835952,0.001970247164711503
0.1824,0.9945046270401663,-0.06007539810132423,-1.609827250509092,0.06039950136753582,0.002009476914601321
0.1836,0.9944323022920619,-0.06046583311683464,-1.609754535857846,0.06079156681404436,0.002049220494178119
0.1848,0.9943595090782883,-0.06085617411590983,-1.609681350790202,0.06118352858896408,0.002089481132166456
0.186,0.9942862475120292,-0.06124642049606934,-1.609607695430962,0.06157538603374008,0.002130262055330786
0.1872,0.9942125177071883,-0.061636571655066,-1.609533569905719,0.06196713849018516,0.002171566486491255
0.1884,0.9941383197783904,-0.06202662699088728,-1.609458974340849,0.06235878530048197,0.002213397646483817
0.1896,0.9940636538409809,-0.06241658590175719,-1.609383908863519,0.06275032580718598,0.002255758752152002
0.1908,0.993988520011033,-0.06280644778613995,-1.609308373601692,0.06314175935323106,0.002298653018331117
0.192,0.9939129184053422,-0.06319621204273997,-1.609232368684115,0.06353308528192948,0.002342083655816058
0.1932,0.993836849141423,-0.06358587807050227,-1.609155894240326,0.0639243029369725,0.002386053873369525
0.1944,0.9937603123375089,-0.06397544526861411,-1.609078950400643,0.06431541166243275,0.002430566875665926
0.1956,0.9936833081125525,-0.06436491303650645,-1.609001537296172,0.0647064108027666,0.002475625865323574
0.1968,0.9936058365862307,-0.06475428077385756,-1.608923655058809,0.06509729970281967,0.002521234040824727
0.198,0.9935278978789437,-0.06514354788059397,-1.608845303821239,0.06548807770782836,0.002567394598571706
0.1992,0.9934494921118094,-0.06553271375689042,-1.60876648371693,0.0658787441634195,0.002614110730783146
0.2004,0.9933706194066629,-0.06592177780317117,-1.608687194880132,0.06626929841561256,0.002661385627573956
0.2016,0.9932912798860564,-0.06631073942011159,-1.608607437445879,0.06665973981082191,0.002709222474827851
0.2028,0.9932114736732641,-0.06669959800864132,-1.608527211549988,0.06705006769586169,0.0027576244563011
0.204,0.9931312008922826,-0.06708835296994622,-1.608446517329069,0.06744028141794906,0.002806594751471396
0.2052,0.9930504616678255,-0.06747700370546793,-1.608365354920511,0.06783038032470307,0.002856136537665321
0.2064,0.9929692561253221,-0.06786554961690511,-1.60828372446248,0.06822036376414678,0.002906252987883628
0.2076,0.9928875843909175,-0.06825399010621493,-1.608201626093928,0.06861023108470941,0.002956947272952368
0.2088,0.9928054465914745,-0.06864232457561552,-1.608119059954584,0.06899998163523012,0.00300822255932463
0.21,0.9927228428545789,-0.06903055242758922,-1.608036026184967,0.06938961476496308,0.003060082011255266
0.2112,0.9926397733085321,-0.06941867306488189,-1.607952524926375,0.06977912982357616,0.003112528788579176
0.2124,0.9925562380823501,-0.06980668589050376,-1.607868556320882,0.07016852616115236,0.003165566048909556
0.2136,0.9924722373057622,-0.07019459030773099,-1.607784120511341,0.07055780312819211,0.003219196945392779
0.2148,0.9923877711092138,-0.07058238572010762,-1.607699217641382,0.07094696007561616,0.003273424628930113
0.216,0.9923028396238708,-0.07097007153144945,-1.607613847855422,0.07133599635477163,0.00332825224590927
0.2172,0.9922174429816143,-0.07135764714584361,-1.607528011298654,0.07172491131743133,0.003383682940449526
0.2184,0.9921315813150389,-0.07174511196764917,-1.607441708117048,0.07211370431579439,0.003439719852109998
0.2196,0.9920452547574511,-0.07213246540149837,-1.607354938457346,0.07250237470248849,0.003496366118158096
0.2208,0.9919584634428703,-0.0725197068522985,-1.607267702467067,0.07289092183057229,0.003553624871254609
0.222,0.9918712075060339,-0.07290683572523572,-1.607180000294511,0.07327934505354156,0.003611499241745422
0.2232,0.9917834870823952,-0.07329385142577556,-1.607091832088755,0.07366764372532984,0.003669992355323466
0.2244,0.9916953023081189,-0.0736807533596629,-1.607003197999649,0.07405581720030822,0.003729107335343638
0.2256,0.9916066533200798,-0.07406754093292321,-1.606914098177815,0.07444386483328744,0.003788847300461689
0.2268,0.9915175402558641,-0.07445421355186432,-1.606824532774647,0.07483178597952013,0.003849215366972276
0.228,0.9914279632537725,-0.07484077062307956,-1.606734501942315,0.07521957999470603,0.003910214646424858
0.2292,0.9913379224528213,-0.07522721155344986,-1.606644005833765,0.07560724623499503,0.003971848247984804
0.2304,0.9912474179927367,-0.07561353575014293,-1.606553044602717,0.07599478405698569,0.004034119276026376
0.2316,0.9911564500139545,-0.07599974262061455,-1.606461618403656,0.07638219281772733,0.004097030832516825
0.2328,0.9910650186576182,-0.07638583157261006,-1.60636972739184,0.07676947187472208,0.004160586014586526
0.234,0.9909731240655835,-0.07677180201416704,-1.606277371723294,0.07715662058592911,0.004224787916935989
0.2352,0.990880766380421,-0.0771576533536186,-1.606184551554824,0.07754363830976962,0.00428963962938322
0.2364,0.9907879457454104,-0.07754338499959226,-1.606091267044,0.07793052440512499,0.004355144239293585
0.2376,0.9906946623045382,-0.077928996361011,-1.605997518349162,0.07831727823133827,0.004421304829104465
0.2388,0.990600916202498,-0.07831448684709466,-1.605903305629413,0.07870389914821629,0.004488124478777891
0.24,0.9905067075846917,-0.07869985586736213,-1.605808629044626,0.07909038651603298,0.00455560626330257
0.2412,0.990412036597235,-0.07908510283163535,-1.605713488755446,0.07947673969553545,0.004623753255169229
0.2424,0.9903169033869514,-0.07947022715003854,-1.605617884923284,0.07986295804794284,0.004692568521850082
0.2436,0.9902213081013704,-0.07985522823299873,-1.605521817710319,0.08024904093494679,0.004762055128296803
0.2448,0.9901252508887262,-0.08024010549124715,-1.605425287279487,0.08063498771871369,0.004832216134397507
0.246,0.9900287318979584,-0.08062485833582102,-1.605328293794491,0.08102079776188729,0.004903054597497289
0.2472,0.9899317512787181,-0.08100948617806768,-1.605230837419805,0.081406470427595,0.004974573569832792
0.2484,0.9898343091813639,-0.08139398842964485,-1.605132918320667,0.08179200507944821,0.005046776101075227
0.2496,0.9897364057569586,-0.08177836450252039,-1.605034536663075,0.08217740108154177,0.00511966523574261
0.2508,0.9896380411572681,-0.08216261380897369,-1.604935692613789,0.0825626577984561,0.005193244015765195
0.252,0.9895392155347612,-0.08254673576159728,-1.60483638634033,0.08294777459525955,0.005267515477875454
0.2532,0.9894399290426145,-0.08293072977330049,-1.604736618010981,0.08333275083751385,0.005342482656195829
0.2544,0.9893401818347125,-0.08331459525731111,-1.604636387794791,0.08371758589127687,0.005418148579606546
0.2556,0.9892399740656419,-0.08369833162717462,-1.60453569586157,0.08410227912310095,0.005494516274355637
0.2568,0.9891393058906908,-0.08408193829675525,-1.604434542381881,0.08448682990003473,0.005571588761404614
0.258,0.9890381774658475,-0.08446541468023763,-1.604332927527048,0.0848712375896253,0.005649369059060698
0.2592,0.9889365889478057,-0.08484876019212974,-1.604230851469152,0.08525550155992292,0.005727860180300479
0.2604,0.9888345404939651,-0.08523197424726597,-1.60412831438104,0.08563962117948562,0.00580706513542421
0.2616,0.9887320322624272,-0.08561505626080598,-1.604025316436313,0.08602359581737705,0.005886986929357556
0.2628,0.9886290644119921,-0.08599800564823551,-1.603921857809326,0.08640742484316788,0.005967628564327898
0.264,0.9885256371021592,-0.08638082182536794,-1.60381793867519,0.08679110762693804,0.006048993037144213
0.2652,0.988421750493129,-0.08676350420834658,-1.60371355920977,0.08717464353927998,0.006131083341895344
0.2664,0.9883174047458066,-0.08714605221364879,-1.603608719589692,0.08755803195130521,0.006213902467208057
0.2675999999999999,0.988212600021798,-0.08752846525808496,-1.603503419992335,0.08794127223464231,0.006297453398967207
0.2688,0.9881073364834063,-0.08791074275879886,-1.603397660595833,0.0883243637614375,0.006381739117552095
0.27,0.9880016142936314,-0.08829288413326915,-1.603291441579066,0.08870730590435685,0.006466762600578383
0.2712,0.9878954336161709,-0.08867488879931124,-1.603184763121668,0.08909009803658895,0.006552526820112865
0.2724,0.9877887946154259,-0.0890567561750816,-1.603077625404029,0.08947273953185148,0.00663903474543707
0.2736,0.9876816974564963,-0.08943848567907785,-1.602970028607293,0.08985522976439117,0.006726289340240488
0.2748,0.9875741423051778,-0.08982007673013821,-1.602861972913351,0.09023756810898301,0.006814293565405822
0.276,0.9874661293279613,-0.09020152874744308,-1.602753458504841,0.09061975394093225,0.006903050376180708
0.2772,0.987357658692032,-0.09058284115051658,-1.602644485565149,0.09100178663607685,0.006992562724984552
0.2784,0.9872487305652754,-0.09096401335923056,-1.602535054278416,0.09138366557079347,0.007082833558558857
0.2796,0.9871393451162758,-0.09134504479380606,-1.602425164829529,0.0917653901219997,0.007173865820795514
0.2808,0.9870295025143112,-0.09172593487481222,-1.602314817404125,0.09214695966715201,0.007265662449865859
0.282,0.9869192029293524,-0.09210668302316748,-1.602204012188583,0.09252837358424761,0.007358226381070301
0.2832,0.9868084465320633,-0.09248728866014114,-1.602092749370026,0.09290963125182677,0.007451560543946209
0.2844,0.9866972334938029,-0.09286775120735676,-1.601981029136325,0.0932907320489777,0.007545667865138824
0.2856,0.986585563986629,-0.09324807008679488,-1.6018688516761,0.09367167535534093,0.007640551265487994
0.2868,0.9864734381832914,-0.0936282447207918,-1.601756217178715,0.0940524605511069,0.007736213662920336
0.288,0.9863608562572306,-0.09400827453204032,-1.601643125834272,0.09443308701701722,0.007832657969514907
0.2892,0.9862478183825779,-0.09438815894359126,-1.601529577833618,0.09481355413436686,0.007929887094416496
0.2904,0.9861343247341562,-0.09476789737885608,-1.601415573368336,0.0951938612850078,0.008027903940880354
0.2916,0.9860203754874858,-0.09514748926161096,-1.601301112630763,0.09557400785135552,0.00812671140920649
0.2927999999999999,0.9859059708187775,-0.09552693401599545,-1.601186195813971,0.09595399321638638,0.008226312393763577
0.294,0.9857911109049307,-0.09590623106651286,-1.601070823111773,0.09633381676363843,0.008326709785944192
0.2952,0.9856757959235333,-0.09628537983803173,-1.600954994718716,0.09671347787721317,0.008427906471167909
0.2964,0.985560026052862,-0.09666437975578784,-1.600838710830088,0.09709297594177878,0.008529905331857445
0.2976,0.9854438014718875,-0.0970432302453887,-1.600721971641918,0.09747231034257677,0.008632709244421046
0.2988,0.9853271223602709,-0.09742193073281326,-1.600604777350974,0.09785148046542123,0.008736321082249409
0.3,0.9852099888983598,-0.09780048064441142,-1.600487128154758,0.09823048569669814,0.008840743712677485
0.3012,0.9850924012671877,-0.09817887940690545,-1.600369024251507,0.09860932542336728,0.00894598000000205
0.3023999999999999,0.984974359648474,-0.09855712644739169,-1.600250465840191,0.09898799903296464,0.009052032802423038
0.3036,0.9848558642246292,-0.0989352211933449,-1.600131453120517,0.09936650591360896,0.009158904975081705
0.3048,0.9847369151787533,-0.09931316307261924,-1.600011986292931,0.09974484545400322,0.009266599366981512
0.306,0.9846175126946302,-0.09969095151344719,-1.599892065558608,0.1001230170434325,0.009375118824046834
0.3072,0.9844976569567281,-0.1000685859444407,-1.599771691119455,0.1005010200717661,0.009484466186023494
0.3084,0.9843773481501987,-0.1004460657945929,-1.599650863178107,0.1008788539294591,0.009594644289557894
0.3096,0.9842565864608803,-0.1008233904932815,-1.599529581937934,0.1012565180075584,0.009705655965077328
0.3108,0.9841353720752998,-0.1012005594702717,-1.59940784760304,0.1016340116977065,0.009817504039889399
0.312,0.984013705180667,-0.1015775721557143,-1.599285660378257,0.1020113343921386,0.009930191335042235
0.3132,0.9838915859648731,-0.101954427980147,-1.599163020469143,0.1023884854836839,0.01004372066844412
0.3144,0.9837690146164902,-0.1023311263744954,-1.599039928081983,0.1027654643657679,0.01015809485170365
0.3156,0.9836459913247734,-0.1027076667700762,-1.598916383423791,0.1031422704324162,0.01027331669326954
0.3168,0.983522516279665,-0.1030840485986012,-1.59879238670231,0.1035189030782609,0.01038938899525075
0.3179999999999999,0.9833985896717886,-0.1034602712921753,-1.598667938126011,0.1038953616985377,0.01050631455657642
