theta_radians,theta_over_pi_half,lambda_min_B_over_E,lambda_max_B_over_E,D_matrix,D_formula,E_s_over_E,E_a_over_E,virial_over_E,entropy_change
4.1233403578366040e-01,2.6250000000000001e-01,4.1906021441432073e-02,9.5809397855856782e-01,1.4354829262422215e+00,1.4354829262422215e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.7395498619187877e-01
4.1626102660064762e-01,2.6500000000000001e-01,4.2696420100693210e-02,9.5730357989930681e-01,1.4330170943506286e+00,1.4330170943506286e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.7642081808347165e-01
4.2018801741763484e-01,2.6750000000000002e-01,4.3493870946867831e-02,9.5650612905313215e-01,1.4305447512349077e+00,1.4305447512349077e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.7889316119919263e-01
4.2411500823462212e-01,2.7000000000000002e-01,4.4298361682277368e-02,9.5570163831772270e-01,1.4280660712826394e+00,1.4280660712826394e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.8137184115146088e-01
4.2804199905160933e-01,2.7250000000000002e-01,4.5109879900679502e-02,9.5489012009932051e-01,1.4255812275499058e+00,1.4255812275499058e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.8385668488419449e-01
4.3196898986859661e-01,2.7500000000000002e-01,4.5928413087459354e-02,9.5407158691254057e-01,1.4230903917834001e+00,1.4230903917834001e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.8634752065070015e-01
4.3589598068558383e-01,2.7750000000000002e-01,4.6753948619822662e-02,9.5324605138017737e-01,1.4205937344418724e+00,1.4205937344418724e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.8884417799222786e-01
4.3982297150257110e-01,2.8000000000000003e-01,4.7586473766990260e-02,9.5241352623300979e-01,1.4180914247169407e+00,1.4180914247169407e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.9134648771715956e-01
4.4374996231955832e-01,2.8250000000000003e-01,4.8425975690394474e-02,9.5157402430960558e-01,1.4155836305532890e+00,1.4155836305532890e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.9385428188081133e-01
4.4767695313654554e-01,2.8500000000000003e-01,4.9272441443877164e-02,9.5072755855612279e-01,1.4130705186682726e+00,1.4130705186682726e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.9636739376582768e-01
4.5160394395353282e-01,2.8750000000000003e-01,5.0125857973889305e-02,9.4987414202611065e-01,1.4105522545709552e+00,1.4105522545709552e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.9888565786314505e-01
4.5553093477052004e-01,2.9000000000000004e-01,5.0986212119692176e-02,9.4901378788030788e-01,1.4080290025805959e+00,1.4080290025805959e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.0140890985350435e-01
4.5945792558750731e-01,2.9250000000000004e-01,5.1853490613560677e-02,9.4814650938643941e-01,1.4055009258446043e+00,1.4055009258446043e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.0393698658949599e-01
4.6338491640449453e-01,2.9500000000000004e-01,5.2727680080987466e-02,9.4727231991901251e-01,1.4029681863559862e+00,1.4029681863559862e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.0646972607811409e-01
4.6731190722148175e-01,2.9749999999999999e-01,5.3608767040889571e-02,9.4639123295911043e-01,1.4004309449702945e+00,1.4004309449702945e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.0900696746380576e-01
4.7123889803846902e-01,3.0000000000000004e-01,5.4496737905816078e-02,9.4550326209418389e-01,1.3978893614221024e+00,1.3978893614221024e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.1154855101199788e-01
