z,virial_over_E,sharp_lower_bound,local_quadratic
1.9800000000000001e-01,2.1980000000000000e+00,9.3490411775732946e-02,8.5008333333333352e-02
2.0000000000000001e-01,2.2000000000000002e+00,9.1516221849435780e-02,8.3333333333333356e-02
2.0200000000000001e-01,2.2020000000000000e+00,8.9567032261693658e-02,8.1675000000000011e-02
2.0400000000000001e-01,2.2040000000000002e+00,8.7642657514268307e-02,8.0033333333333345e-02
2.0600000000000002e-01,2.2060000000000000e+00,8.5742916055015050e-02,7.8408333333333344e-02
2.0800000000000002e-01,2.2080000000000002e+00,8.3867630165251311e-02,7.6800000000000007e-02
2.0999999999999999e-01,2.2100000000000000e+00,8.2016625851479757e-02,7.5208333333333363e-02
2.1199999999999999e-01,2.2120000000000002e+00,8.0189732741259900e-02,7.3633333333333356e-02
2.1400000000000000e-01,2.2140000000000000e+00,7.8386783983033392e-02,7.2075000000000028e-02
2.1600000000000000e-01,2.2160000000000002e+00,7.6607616149716617e-02,7.0533333333333365e-02
2.1800000000000000e-01,2.2180000000000000e+00,7.4852069145888184e-02,6.9008333333333352e-02
2.2000000000000000e-01,2.2200000000000002e+00,7.3119986118406533e-02,6.7500000000000018e-02
2.2200000000000000e-01,2.2220000000000000e+00,7.1411213370300902e-02,6.6008333333333349e-02
2.2400000000000000e-01,2.2240000000000002e+00,6.9725600277789179e-02,6.4533333333333359e-02
2.2600000000000001e-01,2.2260000000000000e+00,6.8062999210284164e-02,6.3075000000000020e-02
2.2800000000000001e-01,2.2280000000000002e+00,6.6423265453254915e-02,6.1633333333333352e-02
2.3000000000000001e-01,2.2300000000000000e+00,6.4806257133818157e-02,6.0208333333333350e-02
2.3200000000000001e-01,2.2320000000000002e+00,6.3211835148943879e-02,5.8800000000000012e-02
2.3400000000000001e-01,2.2340000000000000e+00,6.1639863096159264e-02,5.7408333333333346e-02
2.3600000000000002e-01,2.2360000000000002e+00,6.0090207206646096e-02,5.6033333333333345e-02
2.3800000000000002e-01,2.2380000000000000e+00,5.8562736280632188e-02,5.4675000000000001e-02
2.3999999999999999e-01,2.2400000000000002e+00,5.7057321624977439e-02,5.3333333333333365e-02
2.4199999999999999e-01,2.2420000000000000e+00,5.5573836992865278e-02,5.2008333333333358e-02
