tau,E_s_over_E0,E_a_over_E0,E_over_E0,z,virial_over_E0,virial_over_E,numerical_logZ_derivative,BKM_speed_squared,D_to_uniform,entropy_lower_bound,D_to_reference,cone_direct_over_E0,cone_closed_over_E0,cone_partition_part_over_E0,cone_radial_part_over_E0
-2.2300000000000000e+00,9.2498906299748277e-03,2.4865655459224830e-04,9.4985471845670747e-03,2.6178377572967922e-02,1.9245750923726403e-02,2.0261783775729687e+00,2.0261783775724997e+00,2.5493070120615052e-02,4.0024419195472893e-01,4.0024419195472871e-01,1.3823863802290109e-01,9.4758342825552311e-01,9.4758342825552300e-01,1.3130662259908141e-03,9.4627036202953230e-01
-2.2199999999999998e+00,9.4367508158012571e-03,2.5622927407684251e-04,9.6929800898780984e-03,2.6434519796900244e-02,1.9642189453833045e-02,2.0264345197969007e+00,2.0264345197965237e+00,2.5735735960007531e-02,3.9942304574252818e-01,3.9942304574252802e-01,1.3766872359686477e-01,9.4670135932261257e-01,9.4670135932261257e-01,1.3344201968233415e-03,9.4536693912578917e-01
-2.2100000000000000e+00,9.6273858277790194e-03,2.6403261720410053e-04,9.8914184449831206e-03,2.6693099546103681e-02,2.0046869507170339e-02,2.0266930995461032e+00,2.0266930995461361e+00,2.5980577982725482e-02,3.9859667105613483e-01,3.9859667105613511e-01,1.3709597149272651e-01,9.4580499994417044e-01,9.4580499994417044e-01,1.3560736211560350e-03,9.4444892632301436e-01
-2.2000000000000002e+00,9.8218719224547474e-03,2.7207360750957857e-04,1.0093945529964326e-02,2.6954138666779603e-02,2.0459964667438234e-02,2.0269541386667798e+00,2.0269541386663072e+00,2.6227613075511618e-02,3.9776504704792881e-01,3.9776504704792864e-01,1.3652038229025987e-01,9.4489413220167151e-01,9.4489413220167151e-01,1.3780293025677894e-03,9.4351610289910381e-01
-2.1899999999999999e+00,1.0020286896859508e-02,2.8035948242733489e-04,1.0300646379286843e-02,2.7217659174389147e-02,2.0881652241001022e-02,2.0272176591743891e+00,2.0272176591736488e+00,2.6476858203455939e-02,3.9692815298813422e-01,3.9692815298813433e-01,1.3594195685309718e-01,9.4396853521292090e-01,9.4396853521292090e-01,1.4002900256520237e-03,9.4256824518726889e-01
-2.1800000000000002e+00,1.0222710119628609e-02,2.8889769980410842e-04,1.0511607819432715e-02,2.7483683254432859e-02,2.1312113338669544e-02,2.0274836832544332e+00,2.0274836832537466e+00,2.6728330409202864e-02,3.9608596826912584e-01,3.9608596826912573e-01,1.3536069633380110e-01,9.4302798510226771e-01,9.4302798510226771e-01,1.4228585540262408e-03,9.4160512654824147e-01
-2.1699999999999999e+00,1.0429222562750189e-02,2.9769594461188589e-04,1.0726918507362074e-02,2.7752233263222043e-02,2.1751532959336038e-02,2.0277522332632225e+00,2.0277522332630880e+00,2.6982046812125755e-02,3.9523847240979310e-01,3.9523847240979321e-01,1.3477660217898552e-01,9.4207225497087876e-01,9.4207225497087876e-01,1.4457376282731354e-03,9.4062651734260561e-01
-2.1600000000000001e+00,1.0639906833955014e-02,3.0676213586489261e-04,1.0946668969819905e-02,2.8023331728641784e-02,2.2200100075504707e-02,2.0280233317286425e+00,2.0280233317277276e+00,2.7238024607468284e-02,3.9438564505997498e-01,3.9438564505997514e-01,1.3418967613449773e-01,9.4110111486708992e-01,9.4110111486708992e-01,1.4689299638116888e-03,9.3963218490327827e-01
-2.1499999999999999e+00,1.0854847209760748e-02,3.1610443374724374e-04,1.1170951643507992e-02,2.8297001350905328e-02,2.2658007720763228e-02,2.0282970013509054e+00,2.0282970013500248e+00,2.7496281065452190e-02,3.9352746600495497e-01,3.9352746600495514e-01,1.3359992025065437e-01,9.4011433175685111e-01,9.4011433175685111e-01,1.4924382486965842e-03,9.3862189350815450e-01
-2.1400000000000001e+00,1.1074129669183599e-02,3.2573124695765615e-04,1.1399860916141254e-02,2.8573265003299101e-02,2.3125453079240167e-02,2.0285732650032995e+00,2.0285732650025721e+00,2.7756833530350342e-02,3.9266391517002702e-01,3.9266391517002686e-01,1.3300733688753816e-01,9.3911166949428482e-01,9.3911166949428482e-01,1.5162651413442793e-03,9.3759540435294053e-01
