run,case,t,r,rho,vf2,vb2,vtotal2,mass_field
J479_R24,coupled_rotated,0.075,2.1,0.21745763672499072,0.9861563983419045,0.47189972249206347,1.458056120833968,26.024054249100573
J479_R24,coupled_rotated,0.075,2.125,0.20613409237107147,0.9856715430226859,0.47433762675395374,1.4600091697766397,26.32091706650698
J479_R24,coupled_rotated,0.075,2.1500000000000004,0.1953108006830116,0.9848715094748188,0.47666123092395235,1.4615327403987712,26.608959850505443
J479_R24,coupled_rotated,0.075,2.1750000000000003,0.18497225293707079,0.9837694232690827,0.4788729391575886,1.4626423624266713,26.888244298825235
J479_R24,coupled_rotated,0.075,2.2,0.17510292821364626,0.9823780927675644,0.48097516380769156,1.4633532565752558,27.15883983371797
J479_R24,coupled_rotated,0.075,2.225,0.16568732796768648,0.9807104501874381,0.4829703206206993,1.4636807708081374,27.42083543590759
J479_R24,coupled_rotated,0.075,2.25,0.1567100553482055,0.9787790554588892,0.48486082428859534,1.4636398797474846,27.67432581105483
J479_R24,coupled_rotated,0.075,2.2750000000000004,0.14815578860271525,0.976596535770311,0.4866490843402906,1.4632456201106017,27.919423370904987
J479_R24,coupled_rotated,0.075,2.3000000000000003,0.1400094046786541,0.9741751021440256,0.48833750135639953,1.462512603500425,28.15624436669297
J479_R24,coupled_rotated,0.075,2.325,0.13225590007579302,0.9715269830250027,0.4899284634915727,1.4614554465165754,28.38492090351112
J479_R24,coupled_rotated,0.075,2.35,0.1248805508033081,0.9686639573384227,0.4914243432888133,1.460088300627236,28.605587178413092
J479_R24,coupled_rotated,0.075,2.375,0.11786878901308764,0.9655977781827692,0.4928274947705246,1.4584252729532938,28.818391419485334
J479_R24,coupled_rotated,0.075,2.4000000000000004,0.1112063919184629,0.9623397255111806,0.4941402507914007,1.4564799763025813,29.02348235446602
J479_R24,coupled_rotated,0.075,2.4250000000000003,0.10487932211837032,0.9589010165109968,0.4953649206386767,1.4542659371496736,29.221020973210106
J479_R24,coupled_rotated,0.075,2.45,0.09887393869272205,0.9552923804441507,0.49650378786567684,1.4517961683098275,29.41116733944977
J479_R24,coupled_rotated,0.075,2.475,0.09317680859641513,0.9515244528234647,0.49755910834506356,1.4490835611685282,29.594092083942318
J479_R24,coupled_rotated,0.075,2.5000000000000004,0.08777493380330953,0.9476073743680052,0.4985331085286489,1.4461404828966542,29.769963658020387
J479_R24,coupled_rotated,0.075,2.5250000000000004,0.08265554054172665,0.9435511666080467,0.49942798390112486,1.4429791505091716,29.93895947434938
J479_R24,coupled_rotated,0.075,2.5500000000000003,0.07780631703886909,0.9393653563687889,0.5002458976155557,1.4396112539843446,30.101253686570445
J479_R24,coupled_rotated,0.075,2.575,0.07321518671430467,0.9350593309395382,0.5009889792989719,1.43604831023851,30.25702790492748
J479_R24,coupled_rotated,0.075,2.6,0.06887055175818015,0.9306419890004517,0.5016593240169058,1.4323013130173576,30.406459571966526
J479_R24,coupled_rotated,0.075,2.6250000000000004,0.0647610557211897,0.9261220739679412,0.5022589913862038,1.428381065354145,30.549732191002793
J479_R24,coupled_rotated,0.075,2.6500000000000004,0.06087582882563929,0.9215078518288706,0.50279000482594,1.4242978566548108,30.687024353827454
J479_R24,coupled_rotated,0.075,2.6750000000000003,0.05720424471077278,0.916807421716387,0.5032543509367461,1.420061772653133,30.818519430782572
J479_R24,coupled_rotated,0.075,2.7,0.053736164011974896,0.9120284207169973,0.5036539789993392,1.4156823997163364,30.944395293007894
J479_R24,coupled_rotated,0.075,2.725,0.05046168935638262,0.9071783111339204,0.5039908005835054,1.4111691117174259,31.064833423522092
J479_R24,coupled_rotated,0.075,2.7500000000000004,0.047371404342001114,0.9022641119856306,0.5042666892592488,1.4065308012448794,31.180009363929535
J479_R24,coupled_rotated,0.075,2.7750000000000004,0.04445613024393968,0.8972926627742234,0.5044834804022483,1.4017761431764717,31.290101216155918
J479_R24,coupled_rotated,0.075,2.8000000000000003,0.0417071580748551,0.8922703810987731,0.5046429710862108,1.396913352184984,31.39528083188751
J479_R24,coupled_rotated,0.075,2.825,0.0391160098671038,0.8872035030625377,0.5047469200551065,1.391950423117644,31.4957216843025
J479_R24,coupled_rotated,0.075,2.85,0.03667466199429265,0.8820978661791062,0.5047970477686838,1.3868949139477902,31.591590807944847
J479_R24,coupled_rotated,0.075,2.8750000000000004,0.03437531334625864,0.8769591268243591,0.5047950365150409,1.3817541633394,31.683056028794155
J479_R24,coupled_rotated,0.075,2.9000000000000004,0.03221059853650892,0.871792567415162,0.5047425305844013,1.3765350979995632,31.77027865284963
J479_R24,coupled_rotated,0.075,2.9250000000000003,0.03017336478961652,0.8666032915408186,0.5046411364986005,1.3712444280394191,31.853420051092023
J479_R24,coupled_rotated,0.075,2.95,0.02825687405074845,0.8613960542396396,0.5044924232911197,1.3658884775307594,31.932635086799745
J479_R24,coupled_rotated,0.075,2.975,0.026454589960916583,0.8561754356320764,0.5042979228328405,1.360473358464917,32.00807805931269
J479_R24,coupled_rotated,0.075,3.0000000000000004,0.0247603682239183,0.8509456930059949,0.5040591301989936,1.3550048232049885,32.07989685301811
