run,case,t,N,T,Qg,Ea,Es,Wf,Vb,Wb,E,I,mixed_orthogonal_number_fraction,Es_tail_bound
J959_R24_tight,coupled_rotated,0.0675,33.34725351587581,12.48475428150334,3.9225110887502095,0.4209346314553197,0.00043942084875157113,-25.14973706520647,-34.5161381904739,-11.586740269401622,-42.8376752539715,101.15067185612082,0.039409625656057594,9.009519815030056e-26
J959_R24_tight,coupled_rotated,0.07,33.3472535158758,12.484724357007702,3.922452118358729,0.4208947951872035,0.00047295215712526143,-25.14964682266531,-34.51609970185982,-11.586783553457312,-42.8376752539715,101.1511059100273,0.039405124989673496,9.009519815028162e-26
J959_R24_tight,coupled_rotated,0.0725,33.34725351587579,12.484693402147906,3.9223910333393444,0.420853460176319,0.0005077575722419955,-25.149553325840387,-34.51605982379471,-11.586828390320425,-42.83767525397153,101.15155571029776,0.0394004631384724,9.009519815027656e-26
J959_R24_tight,coupled_rotated,0.075,33.347253515875806,12.4846614228518,3.9223278368539938,0.42081062132125563,0.0005438426857404768,-25.14945657763859,-34.516018557359914,-11.58687477773935,-42.837675253971454,101.15202125292709,0.03939564036432214,9.009519815031048e-26
J959_R24_tight,coupled_rotated,0.0775,33.34725351587583,12.484628425210248,3.9222625321711044,0.4207662733877814,0.0005812132381619313,-25.14935658106657,-34.51597590367406,-11.586922713386139,-42.8376752539715,101.15250253377049,0.03939065693769259,9.009519815029699e-26
J959_R24_tight,coupled_rotated,0.08,33.34725351587584,12.484594415472806,3.9221951226651477,0.42072041101326857,0.0006198751144165793,-25.149253339230036,-34.515931863892675,-11.586972194856806,-42.83767525397149,101.15299954854319,0.03938551313759784,9.009519815031386e-26
J959_R24_tight,coupled_rotated,0.0825,33.34725351587578,12.484559400043368,3.9221256118162064,0.42067302871119394,0.0006598343391538373,-25.14914685533387,-34.51588643920841,-11.587023219671568,-42.83767525397151,101.15351229282057,0.039380209251535805,9.00951981503203e-26
J959_R24_tight,coupled_rotated,0.085,33.34725351587578,12.484523385475665,3.922054003209466,0.42062412087574863,0.0007010970720413423,-25.149037132681652,-34.51583963085073,-11.587075785275188,-42.8376752539715,101.15404076203863,0.03937474557542704,9.009519815026402e-26
J959_R24_tight,coupled_rotated,0.08750000000000001,33.347253515875806,12.484486378468699,3.9219803005347362,0.4205736817865162,0.0007436696029577006,-25.14892417467546,-34.51579144008601,-11.587129889037238,-42.837675253971526,101.15458495149353,0.039369122413551144,9.009519815030995e-26
J959_R24_tight,coupled_rotated,0.09,33.34725351587581,12.484448385862127,3.921904507585936,0.42052170561322877,0.0007875583471041611,-25.14880798481555,-34.51574186821727,-11.587185528252439,-42.837675253971526,101.15514485634218,0.03936334007848283,9.009519815019799e-26
J959_R24_tight,coupled_rotated,0.0925,33.34725351587582,12.484409414631559,3.921826628260618,0.4204681864206054,0.0008327698400402896,-25.148688566700145,-34.51569091658416,-11.587242700140932,-42.837675253971526,101.15572047160182,0.03935739889102494,9.009519815041233e-26
J959_R24_tight,coupled_rotated,0.095,33.34725351587582,12.484369471883776,3.921746666559391,0.4204131181732489,0.0008793107326487354,-25.148565924025007,-34.51563858656289,-11.587301401848647,-42.83767525397148,101.15631179215062,0.03935129918014189,9.009519815029148e-26
J959_R24_tight,coupled_rotated,0.0975,33.34725351587585,12.484328564851907,3.9216646265854096,0.4203564947406041,0.0009271877860343759,-25.148440060583237,-34.51558487956619,-11.587361630447624,-42.837675253971504,101.15691881272701,0.039345041282890195,9.009519815022136e-26
