run,t,r_initial,v_initial,delta_radius,delta_radial_speed,delta_tangential_speed,radius_jet,radial_speed_jet,tangential_speed_jet,instantaneous_delta_vc2,instantaneous_vc2_jet,baseline_radial_drift
J959_R24_tight,0.0275,1.0116885382292078,0.8969812462478036,1.4860712112746816e-09,2.1611528012697218e-07,-1.3175774915552552e-09,1.4868677028352072e-09,2.1627166586693917e-07,-1.318283636413574e-09,-2.384682420676418e-05,-2.386904350923484e-05,2.117275264388633e-19
J959_R24_tight,0.03,1.0116885382292078,0.8969812462478036,2.104567714910022e-09,2.8054640338638147e-07,-1.8659475076177046e-09,2.1058458224158766e-09,2.8077944298878353e-07,-1.8670807652941646e-09,-2.8375533546434696e-05,-2.8406134424213364e-05,2.418592519633447e-19
J959_R24_tight,0.0325,1.0116885382292078,0.8969812462478036,2.8985291562815947e-09,3.566486041018872e-07,-2.5698880801172663e-09,2.9005142039940135e-09,3.5698636356849396e-07,-2.5716480390416015e-09,-3.3296537120213474e-05,-3.3337754983972634e-05,2.733842583731476e-19
J959_R24_tight,0.035,1.0116885382292078,0.8969812462478036,3.898343068198106e-09,4.4538956488980313e-07,-3.456340991192519e-09,3.901339366991144e-09,4.458673562275592e-07,-3.4589976215056258e-09,-3.8609458272333624e-05,-3.8663905188512645e-05,3.039317523040743e-19
J959_R24_tight,0.0375,1.0116885382292078,0.8969812462478036,5.136814736921345e-09,5.477357908354719e-07,-4.554392307731803e-09,5.141225152382512e-09,5.483973495874679e-07,-4.5583026496439565e-09,-4.4313890210451504e-05,-4.4384585037833385e-05,3.382948182847446e-19
J959_R24_tight,0.04,1.0116885382292078,0.8969812462478036,6.64916414531995e-09,6.646525190336377e-07,-5.895268384570329e-09,6.655512722697093e-09,6.655512722697092e-07,-5.900897233522299e-09,-5.0409396009128645e-05,-5.049979453193488e-05,3.7407267112937037e-19
J959_R24_tight,0.0425,1.0116885382292078,0.8969812462478036,8.47302268973388e-09,7.971036281082244e-07,-7.512334199155646e-09,8.481980562017578e-09,7.98304052895772e-07,-7.520276456314331e-09,-5.6895508609045474e-05,-5.7009533670817115e-05,4.0833624632866104e-19
J959_R24_tight,0.045,1.0116885382292078,0.8969812462478036,1.064842967073272e-08,9.460515477363549e-07,-9.441089132700142e-09,1.0660844475980374e-08,9.476306200871445e-07,-9.452096374301709e-09,-6.377173081891081e-05,-6.391380245448007e-05,4.402313690340327e-19
J959_R24_tight,0.0475,1.0116885382292078,0.8969812462478036,1.3217828557784528e-08,1.1124571682942251e-06,-1.171916430564579e-08,1.323475759177563e-08,1.1145059024653164e-06,-1.1734174016874076e-08,-7.103753531905608e-05,-7.121260088292378e-05,4.677964815439526e-19
J959_R24_tight,0.05,1.0116885382292078,0.8969812462478036,1.6226063027943166e-08,1.2972797504125257e-06,-1.4386318913928164e-08,1.62488103581472e-08,1.2999048286517762e-06,-1.4406487386529051e-08,-7.869236466356936e-05,-7.890592895614824e-05,4.969484938032347e-19
J959_R24_tight,0.0525,1.0116885382292078,0.8969812462478036,1.9720372778616035e-08,1.5014768347016543e-06,-1.7484436565240458e-08,1.9750530545392655e-08,1.5048023272680117e-06,-1.7511175458872224e-08,-8.673563128478824e-05,-8.699378667415342e-05,5.25495647646719e-19
J959_R24_tight,0.055,1.0116885382292078,0.8969812462478036,2.3750389114514774e-08,1.7260041513286217e-06,-2.1057521615297503e-08,2.3789883245363315e-08,1.7301733269355134e-06,-2.1092538182617184e-08,-9.516671749891578e-05,-9.547617403693937e-05,5.537644897487421e-19
J959_R24_tight,0.0575,1.0116885382292078,0.8969812462478036,2.8368130308858548e-08,1.971815529895603e-06,-2.515169361672065e-08,2.841927087146419e-08,1.9769927562757696e-06,-2.5197036479585474e-08,-0.00010398497551096262,-0.00010435309104450605,5.803200212542874e-19
J959_R24_tight,0.06,1.0116885382292078,0.8969812462478036,3.362799673901845e-08,2.2398628091066453e-06,-2.981518554268092e-08,3.3693533158654026e-08,2.2462355439102683e-06,-2.987329224470663e-08,-0.00011318972742350788,-0.00011362453769685345,6.024708127526371e-19
J959_R24_tight,0.0625,1.0116885382292078,0.8969812462478036,3.958676579661222e-08,2.5310957466304236e-06,-3.509833690351627e-08,3.966994716344531e-08,2.5388766184604997e-06,-3.517208834601819e-08,-0.00012278026524523557,-0.00012329051399398162,6.193198194002991e-19
J959_R24_tight,0.065,1.0116885382292078,0.8969812462478036,4.630358657236054e-08,2.846461929032293e-06,-4.105359041606249e-08,4.6408227263904216e-08,2.8558909085479516e-06,-4.1146368624665624e-08,-0.00013275585090171725,-0.00013335101993589054,6.358115725081381e-19
J959_R24_tight,0.0675,1.0116885382292078,0.8969812462478036,5.3839974315627514e-08,3.186906681688315e-06,-4.7735486563560414e-08,5.397052515965067e-08,3.198253342794113e-06,-4.785123789490242e-08,-0.00014311571624608238,-0.00014380605552258017,6.501967282480546e-19
J959_R24_tight,0.07,1.0116885382292078,0.8969812462478036,6.225980466901901e-08,3.553372978833528e-06,-5.520065871067459e-08,6.24214298718583e-08,3.5669388498204737e-06,-5.534396194409001e-08,-0.00015385906307530489,-0.00015465562075405058,6.646445215593825e-19
J959_R24_tight,0.0725,1.0116885382292078,0.8969812462478036,7.16293076781084e-08,3.946801353611852e-06,-6.350782733033355e-08,7.18279677432544e-08,3.962922358248519e-06,-6.36839675326978e-08,-0.00016498506314457993,-0.00016589971563030166,6.809145099514879e-19
J959_R24_tight,0.075,1.0116885382292078,0.8969812462478036,8.201706157653623e-08,4.368129808358482e-06,-7.271779545181545e-08,8.225960243812019e-08,4.387178796699743e-06,-7.29328423943033e-08,-0.00017649285818507055,-0.00017753834015133354,6.952971050226327e-19
J959_R24_tight,0.0775,1.0116885382292078,0.8969812462478036,9.349398634658643e-08,4.818293724753791e-06,-8.289344144429833e-08,9.378823494229036e-08,4.840683093795631e-06,-8.315433523559184e-08,-0.00018838155992345138,-0.00018957149431714614,7.073929065160037e-19
J959_R24_tight,0.08,1.0116885382292078,0.8969812462478036,1.0613333705564606e-07,5.298225774230914e-06,-9.409971479801271e-08,1.0648820356315348e-07,5.324410178157674e-06,-9.441435573635678e-08,-0.00020065025010819145,-0.00020199917812773952,7.179363754754533e-19
J959_R24_tight,0.0825,1.0116885382292078,0.8969812462478036,1.2001069696861562e-07,5.8088558284606435e-06,-1.0640362879676957e-07,1.2043628392965177e-07,5.83933497840736e-06,-1.0678097454949949e-07,-0.00021329798052965954,-0.0002148213915831136,7.280065049919585e-19
J959_R24_tight,0.085,1.0116885382292078,0.8969812462478036,1.3520397043669826e-07,6.351110869908012e-06,-1.1987425485582293e-07,1.3571168899228125e-07,6.386432423166176e-06,-1.203244233010293e-07,-0.00022632377305022584,-0.00022803813468326846,7.355748263956918e-19
J959_R24_tight,0.08750000000000001,1.0116885382292078,0.8969812462478036,1.5179337556266495e-07,6.9259149025158635e-06,-1.3458271563848712e-07,1.5239606902309154e-07,6.966677441055612e-06,-1.351170945900635e-07,-0.0002397266196364979,-0.00024164940742820403,7.413810342434095e-19
J959_R24_tight,0.09,1.0116885382292078,0.8969812462478036,1.6986143664313328e-07,7.5341888625464585e-06,-1.506021782837763e-07,1.70573511615686e-07,7.581044960697156e-06,-1.5123354198882734e-07,-0.00025350548238953463,-0.0002556552098179203,7.523072867340247e-19
J959_R24_tight,0.0925,1.0116885382292078,0.8969812462478036,1.8949297638802792e-07,8.176850529544781e-06,-1.680078481891556e-07,1.9033054168522193e-07,8.2305099107123e-06,-1.6875048004265416e-07,-0.0002676592935848322,-0.0002700555418524174,7.623159809639717e-19
J959_R24_tight,0.095,1.0116885382292078,0.8969812462478036,2.1077510791758632e-07,8.854814437443866e-06,-1.8687696101693518e-07,2.117561214684101e-07,8.916047219722531e-06,-1.8774678426998522e-07,-0.0002821869557097267,-0.0002848504035316951,7.754650313669356e-19
J959_R24_tight,0.0975,1.0116885382292078,0.8969812462478036,2.3379722653733847e-07,9.568991785763481e-06,-2.0728877625497688e-07,2.3494165052351513e-07,9.638631816349337e-06,-2.0830349116236972e-07,-0.00029708734150933294,-0.0003000397948557537,7.8741224658001655e-19
J959_R24_tight,0.1,1.0116885382292078,0.8969812462478036,2.586510012915169e-07,1.032029035116505e-05,-2.29324569112066e-07,2.599809657303552e-07,1.039923862921421e-05,-2.3050379818446482e-07,-0.00031235929403259564,-0.00031562371582459297,8.031880660198174e-19
J959_R24_tight,0.10250000000000001,1.0116885382292078,0.8969812462478036,2.8543036629510214e-07,1.1109614398915778e-05,-2.530676227463502e-07,2.869703412903025e-07,1.1198842586938631e-05,-2.544330637740358e-07,-0.00032800162668406897,-0.000331602166438213,8.149176699866704e-19
J959_R24_tight,0.105,1.0116885382292078,0.8969812462478036,3.142315118452786e-07,1.1937864594774473e-05,-2.786032212709344e-07,3.160084887262825e-07,1.2038418618144093e-05,-2.801788073419556e-07,-0.0003440131232786164,-0.00034797514669661367,8.340131515082834e-19
J959_R24_tight,0.1075,1.0116885382292078,0.8969812462478036,3.4515287531250036e-07,1.2805937916988306e-05,-3.060186400949405e-07,3.4719655688277497e-07,1.2918941651452092e-05,-3.0783070927220563e-07,-0.00036039253809936776,-0.0003647426565997952,8.539590566675282e-19
J959_R24_tight,0.11,1.0116885382292078,0.8969812462478036,3.7829513181190724e-07,1.3714727568439633e-05,-3.3540313959523615e-07,3.8063813192581304e-07,1.3841386615484107e-05,-3.3748061092187494e-07,-0.000377138595964325,-0.00038190469614775746,8.758010337039257e-19
J959_R24_tight,0.1125,1.0116885382292078,0.8969812462478036,4.137611846554358e-07,1.4665122889097047e-05,-3.6684795490238287e-07,4.1643923734298347e-07,1.4806728438861638e-05,-3.692225146211605e-07,-0.00039424999229173256,-0.0003994612653405005,9.000974152210648e-19
J959_R24_tight,0.115,1.0116885382292078,0.8969812462478036,4.516561555853204e-07,1.5658009268695493e-05,-4.004462886841864e-07,4.5470833394342706e-07,1.5815942050206157e-05,-4.031525836733676e-07,-0.00041172539317229896,-0.0004174123641780242,9.222949904698306e-19
J959_R24_tight,0.11750000000000001,1.0116885382292078,0.8969812462478036,4.92087374789608e-07,1.669426805965918e-05,-4.362933011536896e-07,4.95556319857838e-07,1.6870002378139165e-05,-4.3936914235490925e-07,-0.0004295634354500672,-0.00043575799266032866,9.438086512879728e-19
J959_R24_tight,0.12,1.0116885382292078,0.8969812462478036,5.351643707002382e-07,1.7774776490226436e-05,-4.74486101187388e-07,5.390965305384644e-07,1.7969884351282146e-05,-4.779726759153061e-07,-0.0004477627268009266,-0.0004544981507874138,9.68324471472229e-19
J959_R24_tight,0.1225,1.0116885382292078,0.8969812462478036,5.809988595744278e-07,1.8900407577983847e-05,-5.15123738220602e-07,5.854447387591082e-07,1.9116562898256596e-05,-5.190658305771878e-07,-0.00046632184582168234,-0.0004736328385592798,9.906163040953047e-19
J959_R24_tight,0.125,1.0116885382292078,0.8969812462478036,6.297047348600538e-07,2.007203004352699e-05,-5.583071912562687e-07,6.347191546151249e-07,2.0311012947683997e-05,-5.62753413536291e-07,-0.0004852393421219334,-0.0004931620559759265,1.018063276401482e-18
