augmented,baseline,fit_mode,region,galaxy,augmented_loss,baseline_loss,augmented_rms_kms,baseline_rms_kms
A_core,bar_fixed,inner,outer,NGC3953,3.889753013702471,57.286144690524566,15.033077469806004,55.442425760945056
A_core,bar_fixed,inner,outer,NGC3972,8.290861859133905,126.73484683300933,15.104289509422935,60.4712866545779
A_core,bar_fixed,inner,outer,NGC3992,14.300104257623573,281.41679767456424,28.043717992280545,119.73757554723858
A_core,bar_fixed,inner,outer,NGC4010,24.41251937148186,116.60968997491273,21.24243396182439,49.448559714078996
A_core,bar_fixed,inner,outer,NGC4013,17.372982464418953,266.97540790489813,23.11543949029113,91.46014652250913
A_core,bar_fixed,inner,outer,NGC4088,0.6333907113783623,36.96698741561477,6.299934518753916,44.75921513753162
A_core,bar_fixed,inner,outer,NGC4100,1.3222234214474218,99.35904103123627,8.881017971534984,71.96090067563044
A_core,bar_fixed,inner,outer,NGC4157,0.7344244380512751,47.71637805458346,10.630066555294336,80.3126655668093
A_core,bar_fixed,inner,outer,NGC4183,7.3938076769304955,88.37334183849119,19.20255467793604,58.68394262268098
A_core,bar_fixed,inner,outer,NGC4217,0.7832997417054625,31.14599239305399,8.400285124510168,46.630763191152106
A_core,bar_fixed,inner,outer,NGC4559,0.21565433797271377,72.27069402614438,2.803487075381154,50.70506804372776
A_core,bar_fixed,inner,outer,NGC5005,0.7122610973937974,5.813137258191946,18.55202413082342,53.06064002641191
A_core,bar_fixed,inner,outer,NGC5033,13.422424783376012,827.6797287170559,15.179577159520285,99.26326467704467
A_core,bar_fixed,inner,outer,NGC5055,200.4764142024425,6385.092318750303,18.657134180240856,83.08772135135115
A_core,bar_fixed,inner,outer,NGC5371,80.51339622357942,205.79159317981882,41.14315470167502,64.07160689581812
A_core,bar_fixed,inner,outer,NGC5585,7.582731964465066,931.6017096652528,4.5937844207718,48.878804779256484
A_core,bar_fixed,inner,outer,NGC5907,48.66496421472325,797.1879433252028,27.540686879213705,103.79106340326781
A_core,bar_fixed,inner,outer,NGC5985,105.13296400661791,1109.1525821007158,42.60113830436705,143.70020218824402
A_core,bar_fixed,inner,outer,NGC6015,91.64036488365589,336.32338584486,44.0614549542507,86.03627440506384
A_core,bar_fixed,inner,outer,NGC6195,30.23136167104128,108.93692632842367,29.217420765688644,58.85728279591758
A_core,bar_fixed,inner,outer,NGC6503,30.92632842830113,810.7767637426998,15.682701345043943,70.33566156159279
A_core,bar_fixed,inner,outer,NGC6674,137.95517707026224,2430.8264672471805,37.48914466323714,145.01854486243954
A_core,bar_fixed,inner,outer,NGC6946,1.0151632295644566,22.822161689856387,13.546417005586626,57.998723710407525
A_core,bar_fixed,inner,outer,NGC7331,1.456275221385488,399.3932146416275,6.890510786150571,94.02929281419533
A_core,bar_fixed,inner,outer,NGC7793,2.9617874063993725,31.163778768650484,12.998451833231812,41.63027317242417
A_core,bar_fixed,inner,outer,NGC7814,17.40918306722039,460.5998732241474,20.181996246909492,102.77958992227754
A_core,bar_fixed,inner,outer,UGC00128,77.21689108641944,1018.8520783065729,24.87520806115752,86.01648218345395
A_core,bar_fixed,inner,outer,UGC00191,353.4137933437355,2762.9214332376255,16.64605974473174,41.09860767666547
A_core,bar_fixed,inner,outer,UGC00731,8.798196176682513,141.6429426273066,9.480129868576109,37.149680247258594
A_core,bar_fixed,inner,outer,UGC01281,45.573018307969996,65.9120771140077,27.003116355849002,32.47450128676533
A_core,bar_fixed,inner,outer,UGC02259,27.094722283571308,417.69456481284533,14.250823945601718,53.23089496726313
A_core,bar_fixed,inner,outer,UGC02487,46.011985866708926,2588.5140658035416,39.49681402298698,194.44339394736883
A_core,bar_fixed,inner,outer,UGC02885,14.147878240008534,222.0472975524962,37.613665389069084,149.01251543158924
A_core,bar_fixed,inner,outer,UGC02916,23.94883484333736,28.577608115437215,54.998230609093895,61.122276194168535
A_core,bar_fixed,inner,outer,UGC02953,302.04829983140377,2300.439956850433,62.09954942174065,142.99915706865843
A_core,bar_fixed,inner,outer,UGC03205,427.1051338375004,2116.388717025052,51.06862176325259,98.92688950458363
A_core,bar_fixed,inner,outer,UGC03546,2.731440164372598,664.5350849079147,15.49127691974027,80.10546854461467
A_core,bar_fixed,inner,outer,UGC03580,1795.9610867881916,1532.7650048455992,76.26480703110064,63.55847790004235
A_core,bar_fixed,inner,outer,UGC04278,0.12329525391290148,41.67831074256854,1.8382792032106654,47.614776164499716
A_core,bar_fixed,inner,outer,UGC04325,10.931270870761525,251.39171993664564,10.084054109100123,48.358778672653074
A_core,bar_fixed,inner,outer,UGC04483,2.3165964232700595,51.22343996155756,2.2316333971421907,10.98546716679204
A_core,bar_fixed,inner,outer,UGC04499,2.695021926982796,165.2353059052902,4.379223063706833,34.25740355168561
A_core,bar_fixed,inner,outer,UGC05005,0.4969219972713475,32.19588557158664,7.049269446342277,56.741418356952124
A_core,bar_fixed,inner,outer,UGC05253,161.78845070413044,1234.8910154644832,51.2752819968298,99.86589230505312
A_core,bar_fixed,inner,outer,UGC05716,40.99845965035161,1690.1089754753004,8.494062588392044,42.71264382392104
A_core,bar_fixed,inner,outer,UGC05721,9.061869780427436,122.00040371803667,13.757043438807953,50.47738336731436
A_core,bar_fixed,inner,outer,UGC05750,0.15806331438680007,11.58481345009274,4.380995919512192,38.54677950642937
