galaxy,ml_disk,ml_bulge,n,Q,D_Mpc,inclination_deg,refs,baryon_invalid_rows,baryon_chi2_valid,baryon_chi2_per_valid_row,core_length_kpc,core_amplitude_kms,core_excess_amplitude_kms,core_admissible_min_amplitude_kms,core_chi2,core_reduced_chi2,core_dof,core_success,core_optimality,core_bound_hit,core_bound_distance_log,core_restart_chi2_spread,core_near_best_starts,nfw_length_kpc,nfw_amplitude_kms,nfw_excess_amplitude_kms,nfw_admissible_min_amplitude_kms,nfw_chi2,nfw_reduced_chi2,nfw_dof,nfw_success,nfw_optimality,nfw_bound_hit,nfw_bound_distance_log,nfw_restart_chi2_spread,nfw_near_best_starts
IC4202,0.5,0.7,32,1,100.4,90.0,SG06,0,4832.568482251778,151.01776507036806,5.27296054328373,219.33909548707263,219.33909548707263,0.0,997.818363456028,33.260612115200935,30,True,0.0017218294317257036,False,2.6157486541204644,7.853486749809235e-10,9,50.454777809965016,532.9183568850829,532.9183568850829,0.0,1205.2439035068114,40.17479678356038,30,True,0.0015731032085177378,False,1.7279993317929607,2.2039330360712484e-09,9
KK98-251,0.5,0.7,15,2,6.8,59.0,BC04,0,320.32667118542884,21.35511141236192,1.5364428131263144,36.139270218985956,36.139270218985956,0.0,2.9801253069747347,0.22924040822882574,13,True,9.321870648680203e-07,False,4.341492888401886,6.217248937900877e-14,9,499.9999999999736,478.29317468617126,478.29317468617126,0.0,23.732268401309057,1.8255591077930045,13,True,2.0044603184305266e-07,True,5.240252676230739e-14,7.23332505003782e-12,9
NGC0024,0.5,0.7,29,1,7.3,64.0,"Di08,Ch06",0,2593.771884973251,89.44040982666382,1.533339651273439,144.7185962921163,144.7185962921163,0.0,94.17376230591499,3.487917122441296,27,True,0.00010643311638387911,False,3.031576426084291,1.021760454023024e-11,9,4.25993789090551,215.89972346259427,215.89972346259427,0.0,25.14247378315946,0.9312027327096096,27,True,2.0281243639709063e-05,False,2.631553510989062,3.943512183468556e-13,9
NGC0055,0.5,0.7,21,2,2.11,77.0,"Sa96,Pu91",0,2501.1598652073803,119.10285072416097,4.129672360836467,85.16866179429569,85.16866179429569,0.0,2.4243526247935985,0.12759750656808413,19,True,2.0777680090597223e-06,False,3.561734020792871,2.2648549702353193e-14,9,209.96967561085376,468.9060007245352,468.9060007245352,0.0,56.40452051743247,2.968658974601709,19,True,0.00048150834708025225,False,0.8676449799847514,5.944045256001118e-10,9
NGC0100,0.5,0.7,21,1,13.5,89.0,"dB02,Rh96",0,1081.6603720984226,51.50763676659155,2.9511153046207688,91.62541002122224,91.62541002122224,0.0,4.089543746534733,0.2152391445544596,19,True,1.4862050387874677e-05,False,3.4886589324605675,3.774758283725532e-13,9,499.99999999999227,899.8688861671449,899.8688861671449,0.0,14.372297287112115,0.7564366993216902,19,True,1.2014248872627383e-05,True,1.509903313490213e-14,6.3433702734982944e-12,9
NGC0247,0.5,0.7,26,2,3.7,74.0,"Sa96,Ca90",0,9240.956648737436,355.4214095668245,2.4672427454839627,91.39055560220882,91.39055560220882,0.0,356.89160976695445,14.87048374028977,24,True,0.002944395214649556,False,3.4912254249206827,8.917027116694953e-10,9,22.31247920068612,229.5967932782804,229.5967932782804,0.0,44.39268776366127,1.8496953234858864,24,True,4.340653091265544e-05,False,2.57004286986038,3.069544618483633e-12,9
NGC0289,0.5,0.7,28,2,20.8,46.0,Wa97,0,4161.142927278398,148.61224740279994,11.288994331131917,188.66289028671721,188.66289028671721,0.0,171.07597963641163,6.579845370631217,26,True,0.0010945006147036055,False,2.7664057944636404,2.8759927772625815e-10,9,19.46102088075913,321.3938166401628,321.3938166401628,0.0,50.767436793847324,1.9525937228402817,26,True,5.91768212892795e-06,False,2.233700353361514,1.0231815394945443e-12,9
NGC0300,0.5,0.7,25,2,2.08,42.0,"Sa96,CP90",0,4034.9988682811177,161.39995473124472,2.848846167327609,104.0838941739748,104.0838941739748,0.0,44.43290621842408,1.9318654877575687,23,True,9.870453534158088e-05,False,3.361170318946323,7.979394922585925e-12,9,20.19559791460412,232.28615709098378,232.28615709098378,0.0,14.887566099096148,0.6472854825693978,23,True,4.247279765441879e-06,False,2.5583975203038722,4.849454171562684e-13,9
NGC0801,0.5,0.7,13,1,80.7,80.0,"Sa96,Br92",0,2540.6798834586,195.43691411220001,16.272997552885098,194.51112637238538,194.51112637238538,0.0,178.3510911573453,16.213735559758664,11,True,0.00029747453648304955,False,2.735878201228478,1.9264234651927836e-10,9,28.06558547336175,348.90545179161063,348.90545179161063,0.0,83.97238614026388,7.633853285478534,11,True,0.00019320869767400995,False,2.151566593922931,1.6073897768364986e-10,9
NGC0891,0.5,0.7,18,1,9.91,90.0,Fr11,0,2954.952459614038,164.16402553411322,7.4745521376858015,182.5092815298275,182.5092815298275,0.0,217.70680081197702,13.606675050748564,16,True,0.0005732629328994971,False,2.7995665382232238,1.9554136088117957e-10,9,499.99999999999585,1205.0179340398995,1205.0179340398995,0.0,292.50151828547797,18.281344892842373,16,True,0.0001673203637843722,True,7.993605777301127e-15,3.581135388230905e-12,9
NGC1003,0.5,0.7,36,1,11.4,67.0,"Sa96,Br92",0,21327.782120065363,592.4383922240379,8.16047333796001,123.16376564011732,123.16376564011732,0.0,425.95194423689674,12.527998359908727,34,True,0.0008029454078046365,False,3.1928526698736563,1.9332446754560806e-10,9,29.669312884660343,239.9422779463889,239.9422779463889,0.0,87.2979270057172,2.567586088403447,34,True,1.747259261567923e-05,False,2.5259691817917886,4.703792910731863e-12,9
