galaxy,point_index,model,abs_z,weight,cumulative_weight
ESO079-G014,13,extended,3.2409999212850558,0.002544529262086514,0.7969119468870507
UGC06786,44,extended,3.25939329474305,0.0008481764206955047,0.7977601233077461
F583-1,23,extended,3.269652488522072,0.0015267175572519084,0.799286840864998
UGC09133,66,extended,3.2855702573564525,0.0005452562704471102,0.7998320971354451
NGC3741,17,extended,3.2875867980938693,0.0015267175572519084,0.801358814692697
DDO161,29,extended,3.293581679794125,0.0010905125408942203,0.8024493272335912
NGC6503,29,extended,3.297548449823349,0.0010905125408942203,0.8035398397744854
NGC7331,33,extended,3.3090618361233792,0.0009541984732824427,0.8044940382477679
NGC2903,29,extended,3.319736223290448,0.0010905125408942203,0.8055845507886621
NGC7331,32,extended,3.335787787779742,0.0009541984732824427,0.8065387492619446
NGC2403,68,extended,3.3955677740998667,0.0005089058524173028,0.8070476551143618
NGC3769,10,extended,3.3963271047917942,0.002544529262086514,0.8095921843764483
UGC02953,98,extended,3.4374644991901904,0.00033189512114171923,0.80992407949759
NGC3769,9,extended,3.4566997119381235,0.002544529262086514,0.8124686087596765
NGC2955,23,extended,3.5162100647093912,0.0015267175572519084,0.8139953263169284
F571-8,12,extended,3.519534784975639,0.002544529262086514,0.8165398555790149
UGC11455,33,extended,3.5282681648420184,0.0009541984732824427,0.8174940540522974
IC2574,30,extended,3.5723867292382256,0.0010905125408942203,0.8185845665931916
NGC3741,18,extended,3.611611251096341,0.0015267175572519084,0.8201112841504434
NGC2903,31,extended,3.616192540591385,0.0010905125408942203,0.8212017966913376
NGC6015,37,extended,3.6500768833575137,0.0008481764206955047,0.8220499731120331
NGC3741,20,extended,3.71107776151601,0.0015267175572519084,0.823576690669285
NGC3741,19,extended,3.7129287614072,0.0015267175572519084,0.8251034082265368
NGC2841,41,extended,3.733547302618864,0.0007633587786259542,0.8258667670051628
NGC5055,22,extended,3.736495784972606,0.001272264631043257,0.8271390316362061
NGC2903,28,extended,3.77873074318894,0.0010905125408942203,0.8282295441771003
NGC5985,27,extended,3.810857981901453,0.0010905125408942203,0.8293200567179945
NGC4010,10,extended,3.951272128244659,0.002544529262086514,0.831864585980081
UGC11914,55,extended,3.998199169520801,0.0005871990604815032,0.8324517850405625
NGC1003,31,extended,4.075684950470622,0.0009541984732824427,0.833405983513845
UGC02953,105,extended,4.139522705573481,0.00033189512114171923,0.8337378786349867
NGC2403,66,extended,4.168236200708332,0.0005089058524173028,0.834246784487404
UGC08699,36,extended,4.177566924514768,0.0008481764206955047,0.8350949609080994
UGC11455,34,extended,4.2237412149976405,0.0009541984732824427,0.8360491593813819
